model_id,fold,kind,architecture,mode,seed,participant,score
fold1__regression__LSTM__history__20260907,1,regression,LSTM,history,20260907,P22,-1.0020553330844237
fold1__regression__LSTM__history__20260907,1,regression,LSTM,history,20260907,P24,-0.9945423118926029
fold1__regression__LSTM__history__20260907,1,regression,LSTM,history,20260907,P30,-1.0060192828381997
fold1__regression__LSTM__history__20260907,1,regression,LSTM,history,20260907,P43,-1.000960955817688
fold1__regression__LSTM__history__20260907,1,regression,LSTM,history,20260907,P48,-1.006139204289265
fold1__regression__LSTM__history__20260908,1,regression,LSTM,history,20260908,P22,-1.0175867471648967
fold1__regression__LSTM__history__20260908,1,regression,LSTM,history,20260908,P24,-1.0006599445639102
fold1__regression__LSTM__history__20260908,1,regression,LSTM,history,20260908,P30,-0.9876183363569071
fold1__regression__LSTM__history__20260908,1,regression,LSTM,history,20260908,P43,-0.9882474313922219
fold1__regression__LSTM__history__20260908,1,regression,LSTM,history,20260908,P48,-1.0055724978856757
fold1__regression__LSTM__repeat_current__20260907,1,regression,LSTM,repeat_current,20260907,P22,-1.0011484098389922
fold1__regression__LSTM__repeat_current__20260907,1,regression,LSTM,repeat_current,20260907,P24,-0.996977680574299
fold1__regression__LSTM__repeat_current__20260907,1,regression,LSTM,repeat_current,20260907,P30,-1.0033783487636652
fold1__regression__LSTM__repeat_current__20260907,1,regression,LSTM,repeat_current,20260907,P43,-1.0004134650802157
fold1__regression__LSTM__repeat_current__20260907,1,regression,LSTM,repeat_current,20260907,P48,-1.0042266394898887
fold1__regression__LSTM__repeat_current__20260908,1,regression,LSTM,repeat_current,20260908,P22,-1.008811000360391
fold1__regression__LSTM__repeat_current__20260908,1,regression,LSTM,repeat_current,20260908,P24,-0.9929086717056749
fold1__regression__LSTM__repeat_current__20260908,1,regression,LSTM,repeat_current,20260908,P30,-1.010295475188602
fold1__regression__LSTM__repeat_current__20260908,1,regression,LSTM,repeat_current,20260908,P43,-1.0013043863362574
fold1__regression__LSTM__repeat_current__20260908,1,regression,LSTM,repeat_current,20260908,P48,-1.006855576328961
fold1__regression__BiLSTM__history__20260907,1,regression,BiLSTM,history,20260907,P22,-1.0019314273100448
fold1__regression__BiLSTM__history__20260907,1,regression,BiLSTM,history,20260907,P24,-0.9993337104965453
fold1__regression__BiLSTM__history__20260907,1,regression,BiLSTM,history,20260907,P30,-0.9996623572690679
fold1__regression__BiLSTM__history__20260907,1,regression,BiLSTM,history,20260907,P43,-0.9960944393447757
fold1__regression__BiLSTM__history__20260907,1,regression,BiLSTM,history,20260907,P48,-1.0047891340508897
fold1__regression__BiLSTM__history__20260908,1,regression,BiLSTM,history,20260908,P22,-1.0025512094608047
fold1__regression__BiLSTM__history__20260908,1,regression,BiLSTM,history,20260908,P24,-0.9903785281346915
fold1__regression__BiLSTM__history__20260908,1,regression,BiLSTM,history,20260908,P30,-1.003631113523435
fold1__regression__BiLSTM__history__20260908,1,regression,BiLSTM,history,20260908,P43,-0.9983460820759792
fold1__regression__BiLSTM__history__20260908,1,regression,BiLSTM,history,20260908,P48,-1.0023799331144148
fold1__regression__BiLSTM__repeat_current__20260907,1,regression,BiLSTM,repeat_current,20260907,P22,-0.9991468851103819
fold1__regression__BiLSTM__repeat_current__20260907,1,regression,BiLSTM,repeat_current,20260907,P24,-1.0062643608740898
fold1__regression__BiLSTM__repeat_current__20260907,1,regression,BiLSTM,repeat_current,20260907,P30,-0.9952597564603382
fold1__regression__BiLSTM__repeat_current__20260907,1,regression,BiLSTM,repeat_current,20260907,P43,-0.9974269034075806
fold1__regression__BiLSTM__repeat_current__20260907,1,regression,BiLSTM,repeat_current,20260907,P48,-1.0033098093010826
fold1__regression__BiLSTM__repeat_current__20260908,1,regression,BiLSTM,repeat_current,20260908,P22,-0.9997224980571902
fold1__regression__BiLSTM__repeat_current__20260908,1,regression,BiLSTM,repeat_current,20260908,P24,-0.9944563558423172
fold1__regression__BiLSTM__repeat_current__20260908,1,regression,BiLSTM,repeat_current,20260908,P30,-1.0009869009823285
fold1__regression__BiLSTM__repeat_current__20260908,1,regression,BiLSTM,repeat_current,20260908,P43,-1.000874921042219
fold1__regression__BiLSTM__repeat_current__20260908,1,regression,BiLSTM,repeat_current,20260908,P48,-1.0031169166897669
fold1__regression__MLP_current__current__20260907,1,regression,MLP_current,current,20260907,P22,-1.0003201785628408
fold1__regression__MLP_current__current__20260907,1,regression,MLP_current,current,20260907,P24,-0.9966997528632808
fold1__regression__MLP_current__current__20260907,1,regression,MLP_current,current,20260907,P30,-1.0018195538330013
fold1__regression__MLP_current__current__20260907,1,regression,MLP_current,current,20260907,P43,-1.0011761374418437
fold1__regression__MLP_current__current__20260907,1,regression,MLP_current,current,20260907,P48,-1.0036791925820625
fold1__regression__MLP_current__current__20260908,1,regression,MLP_current,current,20260908,P22,-1.0037977423532338
fold1__regression__MLP_current__current__20260908,1,regression,MLP_current,current,20260908,P24,-1.0030053520370195
fold1__regression__MLP_current__current__20260908,1,regression,MLP_current,current,20260908,P30,-1.0066768403119732
fold1__regression__MLP_current__current__20260908,1,regression,MLP_current,current,20260908,P43,-0.9990889342114146
fold1__regression__MLP_current__current__20260908,1,regression,MLP_current,current,20260908,P48,-1.0044594846918582
fold1__regression__dummy_mean__current__20260907,1,regression,dummy_mean,current,20260907,P22,-0.9999999989605116
fold1__regression__dummy_mean__current__20260907,1,regression,dummy_mean,current,20260907,P24,-1.000000000756799
fold1__regression__dummy_mean__current__20260907,1,regression,dummy_mean,current,20260907,P30,-1.000000010742796
fold1__regression__dummy_mean__current__20260907,1,regression,dummy_mean,current,20260907,P43,-1.000000002441209
fold1__regression__dummy_mean__current__20260907,1,regression,dummy_mean,current,20260907,P48,-1.0000000010238301
fold1__regression__ridge__current__20260907,1,regression,ridge,current,20260907,P22,-1.0056774123716121
fold1__regression__ridge__current__20260907,1,regression,ridge,current,20260907,P24,-0.9940526860395758
fold1__regression__ridge__current__20260907,1,regression,ridge,current,20260907,P30,-1.007994043442604
fold1__regression__ridge__current__20260907,1,regression,ridge,current,20260907,P43,-0.9972296955944713
fold1__regression__ridge__current__20260907,1,regression,ridge,current,20260907,P48,-1.0013293019857314
fold1__regression__random_forest__current__20260907,1,regression,random_forest,current,20260907,P22,-1.0709881783333897
fold1__regression__random_forest__current__20260907,1,regression,random_forest,current,20260907,P24,-1.0270558742039635
fold1__regression__random_forest__current__20260907,1,regression,random_forest,current,20260907,P30,-1.0195515489439841
fold1__regression__random_forest__current__20260907,1,regression,random_forest,current,20260907,P43,-1.03164255563443
fold1__regression__random_forest__current__20260907,1,regression,random_forest,current,20260907,P48,-1.0579040319515736
fold2__classification__TCN__history__20260907,2,classification,TCN,history,20260907,P12,0.3043988269794721
fold2__classification__TCN__history__20260907,2,classification,TCN,history,20260907,P19,0.35499213836477983
fold2__classification__TCN__history__20260907,2,classification,TCN,history,20260907,P2,0.39761646018981384
fold2__classification__TCN__history__20260907,2,classification,TCN,history,20260907,P35,0.3277777777777778
fold2__classification__TCN__history__20260907,2,classification,TCN,history,20260907,P40,0.33843318437728803
fold2__classification__TCN__history__20260908,2,classification,TCN,history,20260908,P12,0.2873481357352325
fold2__classification__TCN__history__20260908,2,classification,TCN,history,20260908,P19,0.3514412997903564
fold2__classification__TCN__history__20260908,2,classification,TCN,history,20260908,P2,0.39980439034992393
fold2__classification__TCN__history__20260908,2,classification,TCN,history,20260908,P35,0.30370370370370375
fold2__classification__TCN__history__20260908,2,classification,TCN,history,20260908,P40,0.34417682849857356
fold2__classification__TCN__repeat_current__20260907,2,classification,TCN,repeat_current,20260907,P12,0.2956570311409021
fold2__classification__TCN__repeat_current__20260907,2,classification,TCN,repeat_current,20260907,P19,0.32366352201257864
fold2__classification__TCN__repeat_current__20260907,2,classification,TCN,repeat_current,20260907,P2,0.40390494819966677
fold2__classification__TCN__repeat_current__20260907,2,classification,TCN,repeat_current,20260907,P35,0.31666666666666665
fold2__classification__TCN__repeat_current__20260907,2,classification,TCN,repeat_current,20260907,P40,0.30764472720846275
fold2__classification__TCN__repeat_current__20260908,2,classification,TCN,repeat_current,20260908,P12,0.3412791509565703
fold2__classification__TCN__repeat_current__20260908,2,classification,TCN,repeat_current,20260908,P19,0.37427935010482183
fold2__classification__TCN__repeat_current__20260908,2,classification,TCN,repeat_current,20260908,P2,0.40892559588495253
fold2__classification__TCN__repeat_current__20260908,2,classification,TCN,repeat_current,20260908,P35,0.3074074074074074
fold2__classification__TCN__repeat_current__20260908,2,classification,TCN,repeat_current,20260908,P40,0.2993132873841804
fold2__classification__LSTM__history__20260907,2,classification,LSTM,history,20260907,P12,0.267867616254713
fold2__classification__LSTM__history__20260907,2,classification,LSTM,history,20260907,P19,0.355398322851153
fold2__classification__LSTM__history__20260907,2,classification,LSTM,history,20260907,P2,0.4105339418966891
fold2__classification__LSTM__history__20260907,2,classification,LSTM,history,20260907,P35,0.3574074074074074
