model_id,fold,kind,architecture,mode,seed,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
fold3__classification__BiLSTM__repeat_current__20260907,3,classification,BiLSTM,repeat_current,20260907,0.3562499277492045,2659,5,0.3529202543467738,0.34239110508447257,,,
fold3__classification__BiLSTM__repeat_current__20260908,3,classification,BiLSTM,repeat_current,20260908,0.3620279606718139,2659,5,0.35034547092847745,0.3446377673744268,,,
fold3__classification__MLP_current__current__20260907,3,classification,MLP_current,current,20260907,0.3345927261987592,2659,5,0.3431332493792201,0.3237436608094828,,,
fold3__classification__MLP_current__current__20260908,3,classification,MLP_current,current,20260908,0.3516009364769102,2659,5,0.354947942771684,0.32949457549444355,,,
fold3__classification__dummy_prior__current__20260907,3,classification,dummy_prior,current,20260907,0.36666666666666664,2659,5,0.3333333333333333,0.19281831952240935,,,
fold3__classification__logistic__current__20260907,3,classification,logistic,current,20260907,0.3546890213195786,2659,5,0.3656403817662451,0.35066729901420074,,,
fold3__classification__random_forest__current__20260907,3,classification,random_forest,current,20260907,0.3393211461184076,2659,5,0.33916012643408705,0.33612937225721645,,,
fold3__regression__TCN__history__20260907,3,regression,TCN,history,20260907,-0.9989232033428683,2659,5,,,0.0008714643990667126,0.6821994538214442,0.9991285347154589
fold3__regression__TCN__history__20260908,3,regression,TCN,history,20260908,-0.9983332484254126,2659,5,,,0.001604720026298856,0.6807019106780825,0.9983952790888766
fold3__regression__TCN__repeat_current__20260907,3,regression,TCN,repeat_current,20260907,-0.9998498812348189,2659,5,,,0.00014564200047972875,0.6844467224330789,0.9998543571134026
fold3__regression__TCN__repeat_current__20260908,3,regression,TCN,repeat_current,20260908,-1.0008325317864393,2659,5,,,-0.0004518351741333859,0.6785231798546145,1.0004518342874864
fold3__regression__LSTM__history__20260907,3,regression,LSTM,history,20260907,-1.0003410962034702,2659,5,,,-7.696191734818392e-05,0.6820355673673515,1.0000769610310334
fold3__regression__LSTM__history__20260908,3,regression,LSTM,history,20260908,-0.9991457793160526,2659,5,,,0.0002543688294142088,0.6854724498863127,0.9997456302845645
fold3__regression__LSTM__repeat_current__20260907,3,regression,LSTM,repeat_current,20260907,-1.000202742967924,2659,5,,,0.00011907101852737245,0.6810780502542936,0.9998809280953315
fold3__regression__LSTM__repeat_current__20260908,3,regression,LSTM,repeat_current,20260908,-0.9998098684747715,2659,5,,,-4.2980848857787635e-06,0.6819847460281915,1.0000042971986354
fold3__regression__BiLSTM__history__20260907,3,regression,BiLSTM,history,20260907,-0.9964785708747625,2659,5,,,0.0028812948571236285,0.6855337669928133,0.9971187042591833
fold3__regression__BiLSTM__history__20260908,3,regression,BiLSTM,history,20260908,-0.9985061442190595,2659,5,,,0.0005894544963259696,0.6894167771855423,0.9994105446179498
fold3__regression__BiLSTM__repeat_current__20260907,3,regression,BiLSTM,repeat_current,20260907,-0.9986211908071294,2659,5,,,0.0008678050149919514,0.6840829652280157,0.9991321940995305
fold3__regression__BiLSTM__repeat_current__20260908,3,regression,BiLSTM,repeat_current,20260908,-1.0004076861707543,2659,5,,,-0.0013160164265324514,0.6886989251236465,1.0013160155391194
fold3__regression__MLP_current__current__20260907,3,regression,MLP_current,current,20260907,-0.9986426538018607,2659,5,,,0.001359939129226273,0.6825932937537946,0.9986400599857324
fold3__regression__MLP_current__current__20260908,3,regression,MLP_current,current,20260908,-0.9986975562327342,2659,5,,,0.0011839720441690904,0.6843449567558391,0.9988160270706335
fold3__regression__dummy_mean__current__20260907,3,regression,dummy_mean,current,20260907,-0.9999999993167326,2659,5,,,0.0,0.6823229675981112,0.9999999991137534
fold3__regression__ridge__current__20260907,3,regression,ridge,current,20260907,-0.9989517464571452,2659,5,,,0.0010144460544865286,0.6823602835212396,0.9989855530601658
fold3__regression__random_forest__current__20260907,3,regression,random_forest,current,20260907,-1.0276390193211073,2659,5,,,-0.027083694166677885,0.6971308466811253,1.0270836932564285
fold4__classification__TCN__history__20260907,4,classification,TCN,history,20260907,0.33985128276064075,2660,5,0.33880786174005767,0.3214618705847661,,,
fold4__classification__TCN__history__20260908,4,classification,TCN,history,20260908,0.342016922920024,2660,5,0.3396095088066657,0.2901892634728993,,,
fold4__classification__TCN__repeat_current__20260907,4,classification,TCN,repeat_current,20260907,0.3418388264308957,2660,5,0.34030723866093554,0.3215391462220783,,,
fold4__classification__TCN__repeat_current__20260908,4,classification,TCN,repeat_current,20260908,0.3350819386343265,2660,5,0.33320566361531795,0.2874794745647382,,,
fold4__classification__LSTM__history__20260907,4,classification,LSTM,history,20260907,0.3435800735794702,2660,5,0.34511330369359944,0.3450713612953992,,,
fold4__classification__LSTM__history__20260908,4,classification,LSTM,history,20260908,0.33658659393224777,2660,5,0.33761514663354886,0.3239792981816661,,,
fold4__classification__LSTM__repeat_current__20260907,4,classification,LSTM,repeat_current,20260907,0.3345721152754633,2660,5,0.33570264577464126,0.33534545909374275,,,
fold4__classification__LSTM__repeat_current__20260908,4,classification,LSTM,repeat_current,20260908,0.34406588426621754,2660,5,0.3458551453441272,0.3415933400278645,,,
fold4__classification__BiLSTM__history__20260907,4,classification,BiLSTM,history,20260907,0.3249625307075375,2660,5,0.32331189669695964,0.32307829926104936,,,
fold4__classification__BiLSTM__history__20260908,4,classification,BiLSTM,history,20260908,0.345211816868651,2660,5,0.34476465084240804,0.3351503805721927,,,
fold4__classification__BiLSTM__repeat_current__20260907,4,classification,BiLSTM,repeat_current,20260907,0.333878633952204,2660,5,0.33646399841197533,0.33598081941161867,,,
fold4__classification__BiLSTM__repeat_current__20260908,4,classification,BiLSTM,repeat_current,20260908,0.34605678565878806,2660,5,0.34588441182433666,0.3446420532872918,,,
fold4__classification__MLP_current__current__20260907,4,classification,MLP_current,current,20260907,0.34206157339532606,2660,5,0.3425310670049702,0.33292505794965005,,,
fold4__classification__MLP_current__current__20260908,4,classification,MLP_current,current,20260908,0.33319476301592055,2660,5,0.3353845318593207,0.2908900082718482,,,
fold4__classification__dummy_prior__current__20260907,4,classification,dummy_prior,current,20260907,0.3333333333333333,2660,5,0.3333333333333333,0.16671365473169816,,,
fold4__classification__logistic__current__20260907,4,classification,logistic,current,20260907,0.35007826960496136,2660,5,0.3526759318404884,0.3401286177008327,,,
fold4__classification__random_forest__current__20260907,4,classification,random_forest,current,20260907,0.3413189368485714,2660,5,0.3409566152000767,0.3396021150056223,,,
fold4__regression__TCN__history__20260907,4,regression,TCN,history,20260907,-1.0010715487226156,2660,5,,,-0.002337377543315089,0.6310691235950786,1.0023373768047286
fold4__regression__TCN__history__20260908,4,regression,TCN,history,20260908,-1.0015006658523193,2660,5,,,-0.001667519810405249,0.6296454713551044,1.0016675190723126
fold4__regression__TCN__repeat_current__20260907,4,regression,TCN,repeat_current,20260907,-1.0006495480438782,2660,5,,,-0.0007106133272087867,0.632859117534347,1.000710612589821
fold4__regression__TCN__repeat_current__20260908,4,regression,TCN,repeat_current,20260908,-1.0020285660929817,2660,5,,,-0.002191882888621821,0.630428295787539,1.0021918821501425
fold4__regression__LSTM__history__20260907,4,regression,LSTM,history,20260907,-1.004779584282916,2660,5,,,-0.00517743184238606,0.6310173056162228,1.005177431101707
fold4__regression__LSTM__history__20260908,4,regression,LSTM,history,20260908,-1.002332938733122,2660,5,,,-0.0030457792505518277,0.6310391852703336,1.0030457785114435
fold4__regression__LSTM__repeat_current__20260907,4,regression,LSTM,repeat_current,20260907,-1.0033729126186743,2660,5,,,-0.003582871717635161,0.6330472924979565,1.0035828709781311
fold4__regression__LSTM__repeat_current__20260908,4,regression,LSTM,repeat_current,20260908,-1.0022609674289356,2660,5,,,-0.0028408724118842432,0.6314637528707541,1.0028408716729267
fold4__regression__BiLSTM__history__20260907,4,regression,BiLSTM,history,20260907,-1.0019191891698855,2660,5,,,-0.00202882784362024,0.6316051413112868,1.002028827105261
fold4__regression__BiLSTM__history__20260908,4,regression,BiLSTM,history,20260908,-1.001495177711837,2660,5,,,-0.0021922267521301553,0.6329415976791325,1.0021922260136507
fold4__regression__BiLSTM__repeat_current__20260907,4,regression,BiLSTM,repeat_current,20260907,-1.0023456904024375,2660,5,,,-0.0028874351486567473,0.632435204311789,1.002887434409665
fold4__regression__BiLSTM__repeat_current__20260908,4,regression,BiLSTM,repeat_current,20260908,-1.0022460512833038,2660,5,,,-0.002777637670562827,0.6333238224535652,1.002777636931652
fold4__regression__MLP_current__current__20260907,4,regression,MLP_current,current,20260907,-1.0001405181493435,2660,5,,,-0.000495235811014183,0.6308685111579726,1.0004952350737852
fold4__regression__MLP_current__current__20260908,4,regression,MLP_current,current,20260908,-1.0006835005786339,2660,5,,,-0.0010197525862543078,0.6326321116060248,1.0010197518486388
fold4__regression__dummy_mean__current__20260907,4,regression,dummy_mean,current,20260907,-0.9999999991793809,2660,5,,,2.220446049250313e-16,0.632301364691039,0.9999999992631358
fold4__regression__ridge__current__20260907,4,regression,ridge,current,20260907,-0.9992553554056446,2660,5,,,0.0007149566956458075,0.6320974439869076,0.9992850425680169
fold4__regression__random_forest__current__20260907,4,regression,random_forest,current,20260907,-1.0408924918875146,2660,5,,,-0.04140512459586976,0.6602652168441316,1.0414051238284956
fold5__classification__TCN__history__20260907,5,classification,TCN,history,20260907,0.34492849323171904,2707,5,0.3520607442972383,0.33968212358014277,,,
fold5__classification__TCN__history__20260908,5,classification,TCN,history,20260908,0.3719461537011642,2707,5,0.3694920926308541,0.3674847521308937,,,
fold5__classification__TCN__repeat_current__20260907,5,classification,TCN,repeat_current,20260907,0.3443735074686618,2707,5,0.3486520552302201,0.3446820493072498,,,
fold5__classification__TCN__repeat_current__20260908,5,classification,TCN,repeat_current,20260908,0.3562030237582287,2707,5,0.3564312363850259,0.3563026620739636,,,
fold5__classification__LSTM__history__20260907,5,classification,LSTM,history,20260907,0.3459168101650148,2707,5,0.33854655988611837,0.3083416456364409,,,
fold5__classification__LSTM__history__20260908,5,classification,LSTM,history,20260908,0.3596685118285077,2707,5,0.33576169937979256,0.3173791032795128,,,
fold5__classification__LSTM__repeat_current__20260907,5,classification,LSTM,repeat_current,20260907,0.3450416427437112,2707,5,0.32655343612776605,0.30124302503136285,,,
fold5__classification__LSTM__repeat_current__20260908,5,classification,LSTM,repeat_current,20260908,0.3505650115909973,2707,5,0.32643272617227925,0.2997090494157529,,,
fold5__classification__BiLSTM__history__20260907,5,classification,BiLSTM,history,20260907,0.3609984233300738,2707,5,0.3568487526412701,0.35140819536602746,,,
fold5__classification__BiLSTM__history__20260908,5,classification,BiLSTM,history,20260908,0.36402470941250215,2707,5,0.35755574709822185,0.3554410398501843,,,
fold5__classification__BiLSTM__repeat_current__20260907,5,classification,BiLSTM,repeat_current,20260907,0.3413160109386434,2707,5,0.34125125222078473,0.34088950626465647,,,
fold5__classification__BiLSTM__repeat_current__20260908,5,classification,BiLSTM,repeat_current,20260908,0.33211734462813747,2707,5,0.3274072875247279,0.32342861281231167,,,
fold5__classification__MLP_current__current__20260907,5,classification,MLP_current,current,20260907,0.3386678799034757,2707,5,0.3394716780178236,0.3323136553369112,,,
fold5__classification__MLP_current__current__20260908,5,classification,MLP_current,current,20260908,0.3573933650767789,2707,5,0.364762398365521,0.3518873178477992,,,
fold5__classification__dummy_prior__current__20260907,5,classification,dummy_prior,current,20260907,0.36666666666666664,2707,5,0.3333333333333333,0.20640992943976877,,,
fold5__classification__logistic__current__20260907,5,classification,logistic,current,20260907,0.3643129305609092,2707,5,0.3558277852494016,0.3426806397274082,,,
fold5__classification__random_forest__current__20260907,5,classification,random_forest,current,20260907,0.34521136631951127,2707,5,0.33949460927934744,0.3366240680327059,,,
fold5__regression__TCN__history__20260907,5,regression,TCN,history,20260907,-1.011129140686247,2707,5,,,-0.010975684809171549,0.5676161143400713,1.0109756836141317
fold5__regression__TCN__history__20260908,5,regression,TCN,history,20260908,-1.005729464574986,2707,5,,,-0.005506496750318668,0.5629644858267042,1.0055064955617437
fold5__regression__TCN__repeat_current__20260907,5,regression,TCN,repeat_current,20260907,-1.002267464579469,2707,5,,,-0.0022891161153471007,0.5567524165926336,1.0022891149305753
fold5__regression__TCN__repeat_current__20260908,5,regression,TCN,repeat_current,20260908,-1.0014844888068317,2707,5,,,-0.0014591968274424438,0.5513476079032247,1.0014591956436516
fold5__regression__LSTM__history__20260907,5,regression,LSTM,history,20260907,-1.015349496503961,2707,5,,,-0.015458669907714606,0.5743234090518966,1.0154586687073754
fold5__regression__LSTM__history__20260908,5,regression,LSTM,history,20260908,-1.0065793853836662,2707,5,,,-0.006592366360920643,0.5652887316338572,1.006592365171062
fold5__regression__LSTM__repeat_current__20260907,5,regression,LSTM,repeat_current,20260907,-1.000636735606743,2707,5,,,-0.0006181509467244606,0.564719214153823,1.000618149763928
fold5__regression__LSTM__repeat_current__20260908,5,regression,LSTM,repeat_current,20260908,-1.0020992888637867,2707,5,,,-0.002107274221989197,0.5613750294442957,1.0021072730374323
fold5__regression__BiLSTM__history__20260907,5,regression,BiLSTM,history,20260907,-1.0059048582550956,2707,5,,,-0.005870139772476524,0.5688705223918092,1.0058701385834716
fold5__regression__BiLSTM__history__20260908,5,regression,BiLSTM,history,20260908,-1.0037276936808588,2707,5,,,-0.0035952992842811504,0.5632267336332285,1.0035952980979652
fold5__regression__BiLSTM__repeat_current__20260907,5,regression,BiLSTM,repeat_current,20260907,-1.0022066194759174,2707,5,,,-0.002215478555050332,0.5626887983098091,1.0022154773703658
fold5__regression__BiLSTM__repeat_current__20260908,5,regression,BiLSTM,repeat_current,20260908,-0.9996469654250472,2707,5,,,0.0003627161953411173,0.5601400220442466,0.9996372826230218
fold5__regression__MLP_current__current__20260907,5,regression,MLP_current,current,20260907,-0.999574122661009,2707,5,,,0.0004215903565282231,0.5533183134760687,0.9995784084619043
fold5__regression__MLP_current__current__20260908,5,regression,MLP_current,current,20260908,-0.9997097870647563,2707,5,,,0.000336879578650473,0.5579395647648191,0.9996631192396818
fold5__regression__dummy_mean__current__20260907,5,regression,dummy_mean,current,20260907,-0.9999999988091588,2707,5,,,2.220446049250313e-16,0.5590408682468787,0.9999999988179339
fold5__regression__ridge__current__20260907,5,regression,ridge,current,20260907,-0.9975796762617201,2707,5,,,0.0023699919727953045,0.5578928921370295,0.9976300068479402
fold5__regression__random_forest__current__20260907,5,regression,random_forest,current,20260907,-1.0481281107557683,2707,5,,,-0.04800178523142207,0.6006880775909738,1.048001783992615
