kind,architecture,reference,reference_mode,participant,delta
classification,LSTM,logistic,current,P30,0.012727780315720028
classification,LSTM,logistic,current,P33,-0.03919848641210866
classification,LSTM,logistic,current,P34,0.043944099378881996
classification,LSTM,logistic,current,P35,0.05740740740740741
classification,LSTM,logistic,current,P36,0.017426615616660868
classification,LSTM,logistic,current,P4,0.0
classification,LSTM,logistic,current,P40,-0.018726804514125617
classification,LSTM,logistic,current,P43,0.00017664723547078376
classification,LSTM,logistic,current,P44,-0.023424207850437362
classification,LSTM,logistic,current,P46,0.055484693877551006
classification,LSTM,logistic,current,P48,0.020304568527918843
classification,LSTM,logistic,current,P8,-0.011669324827219663
classification,LSTM,logistic,current,P9,-0.005716087604632547
classification,LSTM,random_forest,current,P12,-0.022510822510822537
classification,LSTM,random_forest,current,P13,0.036801718845917764
classification,LSTM,random_forest,current,P18,0.03821656050955413
classification,LSTM,random_forest,current,P19,0.009008123689727476
classification,LSTM,random_forest,current,P2,0.026534086792726286
classification,LSTM,random_forest,current,P20,0.02043526396974671
classification,LSTM,random_forest,current,P21,-0.024120895088637018
classification,LSTM,random_forest,current,P22,0.027876730743379485
classification,LSTM,random_forest,current,P24,0.06938656629475293
classification,LSTM,random_forest,current,P26,0.04571428571428571
classification,LSTM,random_forest,current,P27,0.09840106130428711
classification,LSTM,random_forest,current,P3,-0.033126293995859146
classification,LSTM,random_forest,current,P30,-0.019241832055902408
classification,LSTM,random_forest,current,P33,-0.023443412452700374
classification,LSTM,random_forest,current,P34,0.021450754214729417
classification,LSTM,random_forest,current,P35,0.06296296296296294
classification,LSTM,random_forest,current,P36,0.08256178210929338
classification,LSTM,random_forest,current,P4,0.008714596949891018
classification,LSTM,random_forest,current,P40,-0.034884748415764055
classification,LSTM,random_forest,current,P43,0.052790346907994
classification,LSTM,random_forest,current,P44,-0.04193939030004601
classification,LSTM,random_forest,current,P46,-0.021045918367346983
classification,LSTM,random_forest,current,P48,0.03722504230118451
classification,LSTM,random_forest,current,P8,-0.030937191463507263
classification,LSTM,random_forest,current,P9,0.021241830065359513
classification,LSTM,dummy_prior,current,P12,-0.02749615975422426
classification,LSTM,dummy_prior,current,P13,0.03003887865766325
classification,LSTM,dummy_prior,current,P18,-0.006369426751592355
classification,LSTM,dummy_prior,current,P19,-0.001958857442347972
classification,LSTM,dummy_prior,current,P2,0.043088459030645565
classification,LSTM,dummy_prior,current,P20,0.02369445688411209
classification,LSTM,dummy_prior,current,P21,-0.011082049791727167
classification,LSTM,dummy_prior,current,P22,-0.000375274454451735
classification,LSTM,dummy_prior,current,P24,0.08346776000358475
classification,LSTM,dummy_prior,current,P26,0.051428571428571435
classification,LSTM,dummy_prior,current,P27,0.10194805194805195
classification,LSTM,dummy_prior,current,P3,0.03312629399585926
classification,LSTM,dummy_prior,current,P30,-0.021492140838874463
classification,LSTM,dummy_prior,current,P33,-0.04629629629629628
classification,LSTM,dummy_prior,current,P34,-0.13933007985803014
classification,LSTM,dummy_prior,current,P35,0.037037037037037035
classification,LSTM,dummy_prior,current,P36,0.1086785009861933
classification,LSTM,dummy_prior,current,P4,-0.01307189542483661
classification,LSTM,dummy_prior,current,P40,-0.007630841475422201
classification,LSTM,dummy_prior,current,P43,0.032713709184297446
classification,LSTM,dummy_prior,current,P44,-0.0004253487860044758
classification,LSTM,dummy_prior,current,P46,-0.16135204081632654
classification,LSTM,dummy_prior,current,P48,0.03722504230118451
classification,LSTM,dummy_prior,current,P8,-0.012436394015341412
classification,LSTM,dummy_prior,current,P9,0.03629744295378973
classification,BiLSTM,BiLSTM,repeat_current,P12,-0.030072615556486493
classification,BiLSTM,BiLSTM,repeat_current,P13,0.030412318395743765
classification,BiLSTM,BiLSTM,repeat_current,P18,0.01698513800424628
classification,BiLSTM,BiLSTM,repeat_current,P19,0.029186320754717054
classification,BiLSTM,BiLSTM,repeat_current,P2,0.001579366804317972
classification,BiLSTM,BiLSTM,repeat_current,P20,-0.039474175250037324
classification,BiLSTM,BiLSTM,repeat_current,P21,0.027869805289160166
classification,BiLSTM,BiLSTM,repeat_current,P22,-0.0018315633821750499
classification,BiLSTM,BiLSTM,repeat_current,P24,0.012708921450015676
classification,BiLSTM,BiLSTM,repeat_current,P26,0.0342857142857142
classification,BiLSTM,BiLSTM,repeat_current,P27,-0.0518293534422567
classification,BiLSTM,BiLSTM,repeat_current,P3,0.031055900621118016
classification,BiLSTM,BiLSTM,repeat_current,P30,-0.0025844711774359874
classification,BiLSTM,BiLSTM,repeat_current,P33,-0.008714596949891074
classification,BiLSTM,BiLSTM,repeat_current,P34,0.04551907719609588
classification,BiLSTM,BiLSTM,repeat_current,P35,0.009259259259259245
classification,BiLSTM,BiLSTM,repeat_current,P36,0.022531616196774573
