fold,id,family,epoch,smoothing,score
5,Transformer_2,Transformer,12,32,0.33122277294592406
5,TCN_0,TCN,4,1,0.3412983524358171
5,TCN_0,TCN,4,8,0.3603804350709462
5,TCN_0,TCN,4,32,0.3605650059912096
5,TCN_0,TCN,8,1,0.34492071748692543
5,TCN_0,TCN,8,8,0.3553373469177141
5,TCN_0,TCN,8,32,0.3561424042694942
5,TCN_0,TCN,12,1,0.34519545272974894
5,TCN_0,TCN,12,8,0.34877931704184517
5,TCN_0,TCN,12,32,0.3440424510789031
5,TCN_1,TCN,4,1,0.3518786745551451
5,TCN_1,TCN,4,8,0.370107383590067
5,TCN_1,TCN,4,32,0.373005710147877
5,TCN_1,TCN,8,1,0.3712596618664564
5,TCN_1,TCN,8,8,0.3933451319159927
5,TCN_1,TCN,8,32,0.4075325811071311
5,TCN_1,TCN,12,1,0.3543813941659095
5,TCN_1,TCN,12,8,0.3634499098225375
5,TCN_1,TCN,12,32,0.36197787154326094
5,TCN_2,TCN,4,1,0.36019773851681286
5,TCN_2,TCN,4,8,0.3600452427589376
5,TCN_2,TCN,4,32,0.3578507696144687
5,TCN_2,TCN,8,1,0.339850923703533
5,TCN_2,TCN,8,8,0.3363155209881736
5,TCN_2,TCN,8,32,0.33529551823615494
5,TCN_2,TCN,12,1,0.35368442599670963
5,TCN_2,TCN,12,8,0.3551252086798759
5,TCN_2,TCN,12,32,0.35645841369454584
