task,kind,model,split,rows,participants,mae,rmse,r2,participant_macro_mae,participant_macro_rmse,participant_macro_r2,balanced_accuracy,macro_f1,participant_macro_balanced_accuracy,participant_macro_macro_f1
arousal_pca_sensitivity,regression,dummy_mean,validation,4662,8,0.41514295,1,0,0.41920915,1,-1.3877788e-17,,,,
arousal_pca_sensitivity,regression,dummy_mean,test,4025,8,0.38957371,1,2.220446e-16,0.39209613,1,1.3877788e-17,,,,
arousal_pca_sensitivity,regression,dummy_mean,sensitivity,482,1,0.49486416,1,0,0.49486416,1,0,,,,
arousal_pca_sensitivity,regression,ridge,validation,4662,8,0.42384955,1.0000279,-5.5801779e-05,0.42632758,0.99995074,9.4658449e-05,,,,
arousal_pca_sensitivity,regression,ridge,test,4025,8,0.39073335,0.99958039,0.00083905033,0.3933463,0.99955507,0.0008867779,,,,
arousal_pca_sensitivity,regression,ridge,sensitivity,482,1,0.4962265,1.0044415,-0.0089027468,0.4962265,1.0044415,-0.0089027468,,,,
arousal_pca_sensitivity,regression,random_forest,validation,4662,8,0.51395963,1.0332682,-0.067643178,0.50691093,1.0284524,-0.05873921,,,,
arousal_pca_sensitivity,regression,random_forest,test,4025,8,0.4196621,1.0097166,-0.019527576,0.42231486,1.0097978,-0.019735682,,,,
arousal_pca_sensitivity,regression,random_forest,sensitivity,482,1,0.51653879,1.0080351,-0.01613484,0.51653879,1.0080351,-0.01613484,,,,
arousal_pca_sensitivity,classification,dummy_prior,validation,4662,8,,,,,,,0.33333333,0.16658622,0.33333333,0.16658856
arousal_pca_sensitivity,classification,dummy_prior,test,4025,8,,,,,,,0.33333333,0.19763445,0.35416667,0.20722725
arousal_pca_sensitivity,classification,dummy_prior,sensitivity,482,1,,,,,,,0.33333333,0.16692587,0.33333333,0.16692587
arousal_pca_sensitivity,classification,logistic,validation,4662,8,,,,,,,0.33733282,0.33532125,0.33908459,0.31673972
arousal_pca_sensitivity,classification,logistic,test,4025,8,,,,,,,0.31753994,0.31519076,0.34475665,0.30306412
arousal_pca_sensitivity,classification,logistic,sensitivity,482,1,,,,,,,0.30342909,0.26991537,0.30342909,0.26991537
arousal_pca_sensitivity,classification,random_forest,validation,4662,8,,,,,,,0.34792219,0.34395785,0.34739368,0.33981277
arousal_pca_sensitivity,classification,random_forest,test,4025,8,,,,,,,0.3294897,0.32953713,0.33359375,0.31535251
arousal_pca_sensitivity,classification,random_forest,sensitivity,482,1,,,,,,,0.3133411,0.30058052,0.3133411,0.30058052
