fold,inner,representation,estimator,smoothing,score,fit_participants,evaluation_participants
1,2,eye__current,rbf,4,0.35374987435527977,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__current,rbf,8,0.3540642451571636,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_0.1,1,0.3325885843955364,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_0.1,4,0.3320953892745287,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_0.1,8,0.3275787629813653,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_1,1,0.34022432626775273,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_1,4,0.33267541712484683,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,logistic_1,8,0.33317527707472305,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,hgb,1,0.3313293909146387,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,hgb,4,0.32539586537726184,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,hgb,8,0.3257705108231678,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,rbf,1,0.33741699488914134,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,rbf,4,0.3300512464382703,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,eye__recording_8,rbf,8,0.3216010783109528,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,logistic_0.1,1,0.35798386632586504,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,logistic_0.1,4,0.36221804584128137,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,logistic_0.1,8,0.3628912566993012,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,logistic_1,1,0.35944783648254813,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,logistic_1,4,0.36272771894984757,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,logistic_1,8,0.36397705401309727,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,hgb,1,0.35655089484966557,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,hgb,4,0.3555489528767929,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,hgb,8,0.3497423233508702,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,rbf,1,0.3552633840838899,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,rbf,4,0.35099226803661565,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__current,rbf,8,0.35270721467246613,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,logistic_0.1,1,0.34924702076920494,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,logistic_0.1,4,0.33864381393269427,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,logistic_0.1,8,0.3322567989582782,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,logistic_1,1,0.3472030097415052,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,logistic_1,4,0.34143315391505447,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,logistic_1,8,0.3318522858420833,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
1,2,full__recording_8,hgb,1,0.34678484763193546,P12|P13|P18|P2|P26|P3|P34|P35|P36|P40|P46|P8|P9,P19|P20|P21|P27|P33|P4|P44
