fold,task,kind,model,subset,n_features,macro_score,balanced_accuracy,macro_f1,rows,r2,mse
0,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,0.32097234371103817,0.32120582120582125,0.32132998327720447,2886,,
0,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,0.32490644159390525,0.3264033264033264,0.3215516252128187,2886,,
0,arousal_primary_6s,regression,dummy,full,25,-1.000000002785029,,,2886,-2.220446049250313e-16,1.0000000029354044
0,arousal_primary_6s,regression,ridge,full,25,-1.0119107890253183,,,2886,-0.011902273779274886,1.0119022767496173
0,arousal_primary_6s,regression,ridge,Pupil,6,-1.0018822640391478,,,2886,-0.001704370620945861,1.0017043735613531
0,arousal_primary_6s,regression,ridge,Eye_Pupil,16,-1.0109248591236024,,,2886,-0.010671204402494139,1.0106712073692228
0,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,-1.0012566278867987,,,2886,-0.0012345023186439708,1.0012345052576719
0,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,-1.0097481375260553,,,2886,-0.009690727340381455,1.0096907303042317
0,arousal_primary_6s,regression,random_forest,full,25,-1.0950882261108539,,,2886,-0.08861490369679537,1.08861490689232
0,arousal_primary_6s,regression,random_forest,Pupil,6,-1.0421897421863278,,,2886,-0.04057553908428391,1.0405755421387939
0,arousal_primary_6s,regression,random_forest,Eye_Pupil,16,-1.0312345942185321,,,2886,-0.030548312752855855,1.0305483157779318
0,arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,-1.0448174837362212,,,2886,-0.0440539806399447,1.0440539837046652
0,arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,-1.0344425327213198,,,2886,-0.033392050338770796,1.0333920533721943
1,attention_primary,classification,dummy,full,18,0.3333333333333333,0.3333333333333333,0.1665709362435382,2612,,
1,attention_primary,classification,logistic,full,18,0.3487206193182618,0.34699374318956727,0.3325809547705891,2612,,
1,attention_primary,classification,logistic,EEG,9,0.349504093772291,0.3474278533516116,0.32044491470184694,2612,,
1,attention_primary,classification,logistic,compact_no_noise,9,0.3494758981538557,0.34775211782487964,0.33284357343499993,2612,,
1,attention_primary,classification,random_forest,full,18,0.3473631593342613,0.3465051495658898,0.34591874722765253,2612,,
1,attention_primary,classification,random_forest,EEG,9,0.3253511679370529,0.3238839678020317,0.3223770972684575,2612,,
1,attention_primary,classification,random_forest,compact_no_noise,9,0.33264771894480055,0.3323561460859784,0.3283231984838833,2612,,
1,attention_primary,regression,dummy,full,18,-1.0000000023619573,,,2612,0.0,1.0000000021644515
1,attention_primary,regression,ridge,full,18,-1.0062991048081442,,,2612,-0.006799576739564772,1.0067995789187336
1,attention_primary,regression,ridge,EEG,9,-1.0077739419075598,,,2612,-0.008268781367526179,1.008268783549875
1,attention_primary,regression,ridge,compact_no_noise,9,-1.0099715348142995,,,2612,-0.010403518509386922,1.0104035206963564
1,attention_primary,regression,random_forest,full,18,-1.0530205688265992,,,2612,-0.050909111444565,1.0509091137192068
1,attention_primary,regression,random_forest,EEG,9,-1.0744377623212493,,,2612,-0.07385794896398945,1.073857951288303
