task,kind,model,subset,n_participants,mean_score,sd_participants,mean_features,delta_full,low_full,high_full,positive_full,delta_dummy,low_dummy,high_dummy,positive_dummy
arousal_primary_6s,regression,dummy,full,25,-1.0000000001080904,3.850528652948608e-09,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
arousal_primary_6s,regression,random_forest,Eye_Pupil,25,-1.0341840316209843,0.026120872037127034,16.0,0.015692343021085676,-0.005237686276450316,0.04796892822024646,12,-0.0341840315128939,-0.04427717029382638,-0.024628409923558046,1
arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,25,-1.0315685776300993,0.023727398584095498,15.0,0.018307797011970748,-0.0036947120613646427,0.050031878095156614,15,-0.03156857752200883,-0.04046303235256382,-0.02289819715591005,0
arousal_primary_6s,regression,random_forest,Pupil,25,-1.0396670111331263,0.021071883789535843,6.0,0.01020936350894389,-0.012187058621857708,0.04108959269817083,12,-0.03966701102503569,-0.04756617719994702,-0.031601336345771565,1
arousal_primary_6s,regression,random_forest,Pupil_no_quality,25,-1.0409690723495864,0.02075947053026559,5.0,0.008907302292483581,-0.016221418079784222,0.042278236543967194,12,-0.040969072241496,-0.04882628550935381,-0.032933774052201666,0
arousal_primary_6s,regression,random_forest,full,25,-1.04987637464207,0.07316811709058996,25.0,0.0,0.0,0.0,0,-0.04987637453397958,-0.08116566742366046,-0.026555446574135035,5
arousal_primary_6s,regression,ridge,Eye_Pupil,25,-1.0068194459703905,0.013622276349091455,16.0,0.000700669192522252,-0.002340464698343849,0.003867126308632186,14,-0.006819445862299997,-0.012156311181240423,-0.0017611421416850832,6
arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,25,-1.004691230963827,0.009337412109465867,15.0,0.0028288841990858193,-0.0010096037016233087,0.006939034578025775,15,-0.00469123085573643,-0.008468348246211396,-0.0013223117346243644,7
arousal_primary_6s,regression,ridge,Pupil,25,-1.0021407684479702,0.010094112250020515,6.0,0.00537934671494249,0.0015287042564732178,0.009250169945919552,17,-0.0021407683398797592,-0.006191484179625865,0.0014909110191578608,9
arousal_primary_6s,regression,ridge,Pupil_no_quality,25,-0.9999739491691807,0.004379792668391663,5.0,0.007546165993731982,0.002678361968912341,0.012512779068484787,18,2.605093890973187e-05,-0.0015893456285161161,0.0016545936712732256,14
arousal_primary_6s,regression,ridge,full,25,-1.0075201151629127,0.01415514774633554,25.0,0.0,0.0,0.0,0,-0.007520115054822249,-0.012882360080793178,-0.002149398316519046,8
attention_primary,classification,dummy,full,25,0.33333333333333337,5.665583147960493e-17,18.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
attention_primary,classification,logistic,EEG,25,0.34453336216592484,0.027850754086575037,9.0,0.011024084970839567,0.002550363879485432,0.01903807769508311,16,0.01120002883259155,0.0009355915167300348,0.02188783682042803,14
attention_primary,classification,logistic,compact_no_noise,25,0.3294656211431855,0.03633886710815467,9.0,-0.004043656051899786,-0.014631172722024136,0.00737338107892802,14,-0.003867712190147803,-0.018616817341674634,0.009612431166401581,13
attention_primary,classification,logistic,full,25,0.33350927719508516,0.02983447473757025,18.0,0.0,0.0,0.0,0,0.00017594386175198373,-0.010556143255309706,0.011596126603889442,13
attention_primary,classification,random_forest,EEG,25,0.33686768868337874,0.021322696406483474,9.0,-0.012306674011404138,-0.025032221195473534,0.00035603797113805226,11,0.0035343553500453793,-0.004787488003621063,0.011166247457345553,14
attention_primary,classification,random_forest,compact_no_noise,25,0.33816995198702715,0.024815719380871622,9.0,-0.0110044107077557,-0.02106183092280764,-0.000774224885860101,8,0.004836618653693816,-0.004496274341349055,0.014242541553274838,15
attention_primary,classification,random_forest,full,25,0.34917436269478286,0.0213855218338246,18.0,0.0,0.0,0.0,0,0.015841029361449516,0.0072466176842784,0.023909677392969234,19
attention_primary,regression,dummy,full,25,-1.0000000004987053,2.4903446509550633e-09,18.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
attention_primary,regression,random_forest,EEG,25,-1.04841914285777,0.02838715528297762,9.0,0.01069254101247628,-0.01034441112115545,0.03375131621600489,13,-0.04841914235906487,-0.05987539955464905,-0.03834224009072931,0
attention_primary,regression,random_forest,compact_no_noise,25,-1.0577753125316918,0.042871319104496174,9.0,0.0013363713385546117,-0.007802897453541113,0.009932518236049338,14,-0.05777531203298654,-0.07401976744370313,-0.042080173790163086,1
attention_primary,regression,random_forest,full,25,-1.0591116838702463,0.0398607347342103,18.0,0.0,0.0,0.0,0,-0.05911168337154115,-0.07472217842343624,-0.044906766775103225,0
attention_primary,regression,ridge,EEG,25,-1.003676863620358,0.010604158312705335,9.0,0.003236734216920074,0.0006607273580059003,0.006071814582046847,16,-0.003676863121652558,-0.008023949133996395,-6.607678598002366e-05,8
attention_primary,regression,ridge,compact_no_noise,25,-1.0062666553740027,0.01394927249148238,9.0,0.000646942463275062,-0.0011874064910667702,0.002511313438549834,14,-0.0062666548752975705,-0.011734568181191242,-0.001327987639599136,8
attention_primary,regression,ridge,full,25,-1.0069135978372779,0.013127292367884857,18.0,0.0,0.0,0.0,0,-0.006913597338572632,-0.011795555576067259,-0.0019719019641185943,7
