fold,task,kind,model,subset,n_features,participant,score
3,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P33,0.3377938309826855
3,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P4,0.32026143790849676
3,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,P9,0.3970416236670107
3,arousal_primary_6s,classification,random_forest,full,25,P20,0.3598111658456486
3,arousal_primary_6s,classification,random_forest,full,25,P3,0.41821946169772256
3,arousal_primary_6s,classification,random_forest,full,25,P33,0.3494782708404999
3,arousal_primary_6s,classification,random_forest,full,25,P4,0.35294117647058826
3,arousal_primary_6s,classification,random_forest,full,25,P9,0.33085655314757484
3,arousal_primary_6s,classification,random_forest,Pupil,6,P20,0.3294086182017217
3,arousal_primary_6s,classification,random_forest,Pupil,6,P3,0.3768115942028985
3,arousal_primary_6s,classification,random_forest,Pupil,6,P33,0.2909758055268891
3,arousal_primary_6s,classification,random_forest,Pupil,6,P4,0.32897603485838783
3,arousal_primary_6s,classification,random_forest,Pupil,6,P9,0.3092649925467263
3,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P20,0.34819251629596454
3,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P3,0.3354037267080745
3,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P33,0.3142644192179796
3,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P4,0.35947712418300654
3,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,P9,0.3424492604059168
3,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P20,0.35385256505946155
3,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P3,0.3581780538302277
3,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P33,0.32024997133356264
3,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P4,0.3202614379084967
3,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,P9,0.34446737759431256
3,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P20,0.3323195004229487
3,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P3,0.3540372670807453
3,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P33,0.3279784428391239
3,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P4,0.3333333333333333
3,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,P9,0.33273707143676184
3,arousal_primary_6s,regression,dummy,full,25,P20,-1.0000000001799392
3,arousal_primary_6s,regression,dummy,full,25,P3,-0.9999999993168249
3,arousal_primary_6s,regression,dummy,full,25,P33,-1.0000000076532847
3,arousal_primary_6s,regression,dummy,full,25,P4,-0.9999999985243824
3,arousal_primary_6s,regression,dummy,full,25,P9,-0.9999999902224734
3,arousal_primary_6s,regression,ridge,full,25,P20,-1.0035176218505861
3,arousal_primary_6s,regression,ridge,full,25,P3,-0.9893462227335218
3,arousal_primary_6s,regression,ridge,full,25,P33,-1.0079777678865924
3,arousal_primary_6s,regression,ridge,full,25,P4,-0.9986395668471875
3,arousal_primary_6s,regression,ridge,full,25,P9,-1.0075629387583265
3,arousal_primary_6s,regression,ridge,Pupil,6,P20,-1.0023905192917044
3,arousal_primary_6s,regression,ridge,Pupil,6,P3,-0.9940559252291117
3,arousal_primary_6s,regression,ridge,Pupil,6,P33,-1.0015774804363051
3,arousal_primary_6s,regression,ridge,Pupil,6,P4,-0.9983016274412307
3,arousal_primary_6s,regression,ridge,Pupil,6,P9,-1.0044487665978714
3,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P20,-1.0025783200290255
3,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P3,-0.998688162372549
3,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P33,-1.0040953653054576
3,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P4,-0.9978606344916799
3,arousal_primary_6s,regression,ridge,Eye_Pupil,16,P9,-1.0083503543595007
3,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P20,-0.999379941181771
3,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P3,-0.9920201067987182
3,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,P33,-0.9989376437542489
