variant,kind,macro_score,rows,participants,balanced_accuracy,macro_f1,loss_vs_reference,ci_low,ci_high,people_hurt_by_removal,ties
drop_eeg_delta_relative,variable,0.377240226548307,13524,25,0.37158844156819293,0.3667032512557302,-0.002490289484292155,-0.0065472323564694165,0.0009238118819276881,10,2
drop_eeg_theta_relative,variable,0.3740364533541851,13524,25,0.36726847474256563,0.36229811018804464,0.0007134837098297142,-0.0032443132360745024,0.004194883580711095,11,4
drop_eeg_alpha_relative,variable,0.3787543652435207,13524,25,0.3726143667093497,0.3679495710150558,-0.004004428179505855,-0.007885222949966362,-0.0004854329437813421,9,3
drop_eeg_beta_relative,variable,0.37594876588653064,13524,25,0.36988099035535593,0.3651456329447496,-0.0011988288225158183,-0.003959421611455232,0.0012692032282598004,11,1
drop_eeg_gamma_relative,variable,0.3737310410409856,13524,25,0.36751984095631646,0.36291957190704766,0.0010188960230292788,-0.0024098502593416977,0.004639102071642238,13,1
drop_eeg_line_noise_ratio,variable,0.3748119952297695,13524,25,0.36785239644027806,0.36140158356443863,-6.205816575471367e-05,-0.008442422721888346,0.009624486461011779,8,2
pca_0.8,pca,0.35539187134505856,13524,25,0.3454045411488253,0.3325907978109183,0.019358065718956163,-0.008071415992970352,0.04317146597946056,16,1
pca_0.9,pca,0.37640138844831844,13524,25,0.3670546262932124,0.3613564954470725,-0.0016514513843036737,-0.024329420731995975,0.0203170343552146,13,0
pca_0.95,pca,0.3643938925685701,13524,25,0.35667855664007586,0.35144975361267283,0.01035604449544474,-0.008750133610374177,0.030043009531444675,14,0
pca_full,pca,0.37474993706401477,13524,25,0.3693257755335371,0.3645956499840788,0.0,0.0,0.0,0,25
