variant,participant,loss
current_keep_smooth,P12,0.13632174277335568
current_keep_smooth,P19,0.005896226415094297
current_keep_smooth,P2,-0.02963123958559727
current_keep_smooth,P35,0.0
current_keep_smooth,P40,0.010313312630967797
current_keep_smooth,P18,0.1316348195329087
current_keep_smooth,P27,-0.0550342130987293
current_keep_smooth,P36,-0.04543450516301212
current_keep_smooth,P46,0.01658163265306123
current_keep_smooth,P8,0.07808156755525186
current_keep_smooth,P20,-0.06010847390157731
current_keep_smooth,P3,-0.0082815734989648
current_keep_smooth,P33,0.07241142070863438
current_keep_smooth,P4,-0.1633986928104575
current_keep_smooth,P9,0.0036463708290335184
current_keep_smooth,P13,0.020278289339062783
current_keep_smooth,P21,0.026813910684878428
current_keep_smooth,P26,0.024761904761904763
current_keep_smooth,P34,0.01091393078970715
current_keep_smooth,P44,0.018274985488100304
no_smooth,P22,0.017520276022762904
no_smooth,P24,0.07130214634583493
no_smooth,P30,-0.006801685193645046
no_smooth,P43,0.019628225510578412
no_smooth,P48,0.015228426395938965
no_smooth,P12,0.012987012987012991
no_smooth,P19,0.01045597484276728
no_smooth,P2,-0.010888937187567782
no_smooth,P35,-0.0037037037037037646
no_smooth,P40,0.0020323663813779924
no_smooth,P18,0.0
no_smooth,P27,0.006256109481915906
no_smooth,P36,-0.01371388792203282
no_smooth,P46,0.021683673469387765
no_smooth,P8,-0.020672894357104843
no_smooth,P20,-0.0043041249937801895
no_smooth,P3,-0.03519668737060039
no_smooth,P33,0.0039215686274509665
no_smooth,P4,-0.05010893246187359
no_smooth,P9,0.035282651072124915
no_smooth,P13,0.0
no_smooth,P21,0.0
no_smooth,P26,0.0
no_smooth,P34,0.0
no_smooth,P44,0.0
current_no_smooth,P22,0.017520276022762904
current_no_smooth,P24,0.07130214634583493
current_no_smooth,P30,-0.006801685193645046
current_no_smooth,P43,0.019628225510578412
current_no_smooth,P48,0.015228426395938965
current_no_smooth,P12,0.10173160173160167
current_no_smooth,P19,-0.006485849056603821
current_no_smooth,P2,-0.014069405201767693
current_no_smooth,P35,-0.0185185185185186
current_no_smooth,P40,-0.00810421873816547
current_no_smooth,P18,0.07006369426751591
current_no_smooth,P27,-0.0376064795419635
current_no_smooth,P36,-0.017890706578489513
current_no_smooth,P46,0.04846938775510207
current_no_smooth,P8,0.08929141034404198
current_no_smooth,P20,-0.0630193561228044
current_no_smooth,P3,-0.0082815734989648
