model_id,fold,variant,kind,macro_score,rows,participants,balanced_accuracy,macro_f1
fold1_pca_0.9,1,pca_0.9,pca,0.3873537282578513,2886,5,0.38669438669438666,0.3623203363313717
fold1_pca_0.95,1,pca_0.95,pca,0.3790541885309418,2886,5,0.37941787941787947,0.35503447591577086
fold1_pca_full,1,pca_full,pca,0.36452540319419385,2886,5,0.36521136521136527,0.3502272877004035
fold2_reference,2,reference,reference,0.3471519929412513,2612,5,0.34548402404302436,0.3244755537596697
fold2_without_pupil,2,without_pupil,modality,0.33780130883446624,2612,5,0.33475781222538575,0.31467018869003655
fold2_only_pupil,2,only_pupil,unimodal,0.3245451138995146,2612,5,0.32333122429610883,0.28337772077509993
fold2_without_eye,2,without_eye,modality,0.3458399834688135,2612,5,0.3470420752926289,0.3188031247700315
fold2_only_eye,2,only_eye,unimodal,0.2933561886102725,2612,5,0.2919048121199339,0.2577446289714225
fold2_without_eeg,2,without_eeg,modality,0.3099975300560376,2612,5,0.30951263664803685,0.28163057553558074
fold2_only_eeg,2,only_eeg,unimodal,0.35080795136876863,2612,5,0.3509060072410278,0.3103491104349915
fold2_current_keep_smooth,2,current_keep_smooth,temporal,0.32257198449448726,2612,5,0.32559053042286196,0.2963547951751786
fold2_no_smooth,2,no_smooth,temporal,0.34497545027727405,2612,5,0.34433108369362714,0.32539239393739955
fold2_current_no_smooth,2,current_no_smooth,temporal,0.33624127089794215,2612,5,0.33745737987275476,0.31221831951379947
fold2_drop_pupil_mean_z,2,drop_pupil_mean_z,variable,0.3437063765846498,2612,5,0.34050845372420824,0.31780125786790697
fold2_drop_pupil_std_z,2,drop_pupil_std_z,variable,0.35020230757468807,2612,5,0.3500782101304088,0.3287152105098334
fold2_drop_pupil_min_z,2,drop_pupil_min_z,variable,0.3617105561699031,2612,5,0.3611796548209076,0.34198538552968455
fold2_drop_pupil_max_z,2,drop_pupil_max_z,variable,0.35203958212589564,2612,5,0.3500685437097965,0.33114859390173157
fold2_drop_pupil_slope_z_s,2,drop_pupil_slope_z_s,variable,0.3471195770455374,2612,5,0.34433020492811695,0.32559341042373724
fold2_drop_gaze_dispersion_x_px,2,drop_gaze_dispersion_x_px,variable,0.35278686149688093,2612,5,0.35084625118633345,0.33010449227544253
fold2_drop_gaze_dispersion_y_px,2,drop_gaze_dispersion_y_px,variable,0.35563999592613743,2612,5,0.3550590530422862,0.334369045050308
fold2_drop_gaze_dispersion_2d_px,2,drop_gaze_dispersion_2d_px,variable,0.35334050580598053,2612,5,0.35200007030124086,0.32959641232933157
fold2_drop_gaze_path_length_px,2,drop_gaze_path_length_px,variable,0.34022629549823963,2612,5,0.33818939154276073,0.317714391960121
fold2_drop_fixation_count,2,drop_fixation_count,variable,0.3645744275552466,2612,5,0.36349695947133465,0.33944402048449657
fold2_drop_fixation_total_ms,2,drop_fixation_total_ms,variable,0.35355494269653526,2612,5,0.3516213223663398,0.3285857582334269
fold2_drop_fixation_mean_ms,2,drop_fixation_mean_ms,variable,0.355665743411278,2612,5,0.3538982038032971,0.3359510506779219
fold2_drop_fixation_median_ms,2,drop_fixation_median_ms,variable,0.3486507083516448,2612,5,0.3473812787795705,0.33144466807330547
fold2_drop_saccade_count,2,drop_saccade_count,variable,0.34429810440032,2612,5,0.3435612851066821,0.3235927413780006
fold2_drop_saccade_mean_ms,2,drop_saccade_mean_ms,variable,0.3483024543514453,2612,5,0.3458698021020071,0.32302857510566213
fold2_drop_eeg_rms_uv,2,drop_eeg_rms_uv,variable,0.3505776053562095,2612,5,0.347778480790186,0.33018267482776453
fold2_drop_eeg_std_uv,2,drop_eeg_std_uv,variable,0.34451752223547966,2612,5,0.342017294105241,0.3282676629716341
fold2_drop_eeg_peak_to_peak_uv,2,drop_eeg_peak_to_peak_uv,variable,0.32298370162211476,2612,5,0.32209919505079265,0.30817621239790133
fold2_drop_eeg_delta_relative,2,drop_eeg_delta_relative,variable,0.34549584561852364,2612,5,0.34395672958627727,0.32198082040956927
fold2_drop_eeg_theta_relative,2,drop_eeg_theta_relative,variable,0.34776783741769374,2612,5,0.3454875391050652,0.3238245551372159
fold2_drop_eeg_alpha_relative,2,drop_eeg_alpha_relative,variable,0.34932697945029323,2612,5,0.34740236915181555,0.3256110633447911
fold2_drop_eeg_beta_relative,2,drop_eeg_beta_relative,variable,0.34685285623941925,2612,5,0.3451052761081233,0.3231445144900758
fold2_drop_eeg_gamma_relative,2,drop_eeg_gamma_relative,variable,0.34891265650294,2612,5,0.34740236915181555,0.32512471800571124
fold2_drop_eeg_line_noise_ratio,2,drop_eeg_line_noise_ratio,variable,0.35079814516791125,2612,5,0.34933565327428023,0.3228317687811438
fold2_pca_0.8,2,pca_0.8,pca,0.31595055367503305,2612,5,0.32250869977855107,0.30328224215582855
fold2_pca_0.9,2,pca_0.9,pca,0.32850080697684786,2612,5,0.3343465499666069,0.3199783405882814
fold2_pca_0.95,2,pca_0.95,pca,0.3220839509372685,2612,5,0.3258840381032725,0.31406775590575103
fold2_pca_full,2,pca_full,pca,0.3471519929412513,2612,5,0.34548402404302436,0.3244755537596697
fold3_reference,3,reference,reference,0.4144675885101721,2659,5,0.42078477682480014,0.4205863155374681
fold3_without_pupil,3,without_pupil,modality,0.39883595010586137,2659,5,0.40162171537220764,0.3994563729960821
fold3_only_pupil,3,only_pupil,unimodal,0.42730500674549116,2659,5,0.40598521401450344,0.3981456597685822
fold3_without_eye,3,without_eye,modality,0.4015389845627816,2659,5,0.40552915173446463,0.404134906138498
fold3_only_eye,3,only_eye,unimodal,0.3963654384791783,2659,5,0.39118846710545974,0.39191101222929475
