scope,reference,participant,delta
ordinal,previous_fixed_logistic,P26,-0.022857142857142854
ordinal,previous_fixed_logistic,P27,0.038625890238793426
ordinal,previous_fixed_logistic,P3,-0.05175983436852999
ordinal,previous_fixed_logistic,P30,-0.016082093971541145
ordinal,previous_fixed_logistic,P33,0.026464854947827077
ordinal,previous_fixed_logistic,P34,-0.031721384205856296
ordinal,previous_fixed_logistic,P35,-0.06851851851851848
ordinal,previous_fixed_logistic,P36,0.06081912054762739
ordinal,previous_fixed_logistic,P4,0.013071895424836555
ordinal,previous_fixed_logistic,P40,0.010111338332197184
ordinal,previous_fixed_logistic,P43,0.04096177625589398
ordinal,previous_fixed_logistic,P44,-0.04013290898536798
ordinal,previous_fixed_logistic,P46,-0.030612244897959218
ordinal,previous_fixed_logistic,P48,-0.054145516074450006
ordinal,previous_fixed_logistic,P8,-0.008012455380876415
ordinal,previous_fixed_logistic,P9,-0.013152161449375033
ordinal,unadjusted,P12,0.0435134757715403
ordinal,unadjusted,P13,0.012886228770206565
ordinal,unadjusted,P18,-0.023354564755838636
ordinal,unadjusted,P19,0.008660901467505311
ordinal,unadjusted,P2,0.028254727233210153
ordinal,unadjusted,P20,-0.0004664875354530307
ordinal,unadjusted,P21,0.05715877167490069
ordinal,unadjusted,P22,0.043363803378590304
ordinal,unadjusted,P24,0.10403504055204543
ordinal,unadjusted,P26,-0.03142857142857142
ordinal,unadjusted,P27,0.008448540706605168
ordinal,unadjusted,P3,-0.08281573498964812
ordinal,unadjusted,P30,0.03553119131008581
ordinal,unadjusted,P33,-0.014184153193441129
ordinal,unadjusted,P34,0.03278615794143741
ordinal,unadjusted,P35,-0.027777777777777846
ordinal,unadjusted,P36,0.08835131685810421
ordinal,unadjusted,P4,0.1372549019607843
ordinal,unadjusted,P40,0.006084475750460727
ordinal,unadjusted,P43,0.012079953256423914
ordinal,unadjusted,P44,-0.019390900538441447
ordinal,unadjusted,P46,-0.04974489795918369
ordinal,unadjusted,P48,-0.05499153976311333
ordinal,unadjusted,P8,-0.001769575453786032
ordinal,unadjusted,P9,0.0006765279211100039
ordinal,global,P12,0.036726714146068984
ordinal,global,P13,0.0029107837118886315
ordinal,global,P18,-0.03397027600849256
ordinal,global,P19,0.033556079664570304
ordinal,global,P2,0.040483952763891884
ordinal,global,P20,-0.004860800119420916
ordinal,global,P21,-0.012472149568923785
ordinal,global,P22,-0.03692812654030564
ordinal,global,P24,0.05964063270152792
ordinal,global,P26,0.0028571428571428914
ordinal,global,P27,0.02858539310152214
ordinal,global,P3,-0.046583850931676996
ordinal,global,P30,0.018730013704888082
ordinal,global,P33,-0.030982685471849625
ordinal,global,P34,-0.030811889973380635
ordinal,global,P35,-0.003703703703703709
