fold,id,epoch,smoothing,score
2,g21,8,1,0.28978610322267273
2,g21,8,8,0.30116860288665803
2,g21,8,32,0.30000066128487435
2,g21,16,1,0.34667255943500574
2,g21,16,8,0.3446300276367862
2,g21,16,32,0.3424040438873609
2,g22,2,1,0.29894398063014377
2,g22,2,8,0.30058486262120926
2,g22,2,32,0.30400998814865404
2,g22,4,1,0.3251854813573265
2,g22,4,8,0.3300110605729504
2,g22,4,32,0.32813238136707723
2,g22,8,1,0.33468062329180154
2,g22,8,8,0.33348945043700845
2,g22,8,32,0.33079492416782363
2,g22,16,1,0.35819618885276505
2,g22,16,8,0.35871692906353825
2,g22,16,32,0.3609538779881015
2,g23,2,1,0.2984990045733265
2,g23,2,8,0.3222000818659081
2,g23,2,32,0.3402494589059432
2,g23,4,1,0.3219135451822591
2,g23,4,8,0.32872533580168456
2,g23,4,32,0.3282158887278358
2,g23,8,1,0.33810620202091946
2,g23,8,8,0.3418126833337396
2,g23,8,32,0.33828945586093223
2,g23,16,1,0.3527368635701652
2,g23,16,8,0.3585613003432336
2,g23,16,32,0.3584339096098591
2,g24,2,1,0.3377835085849241
2,g24,2,8,0.34261692300009516
2,g24,2,32,0.3478211485859441
2,g24,4,1,0.33845498605309843
2,g24,4,8,0.34571313196721637
2,g24,4,32,0.3455628802956665
2,g24,8,1,0.33057009650203356
2,g24,8,8,0.3304757313384364
2,g24,8,32,0.3346565353128084
2,g24,16,1,0.3157639922951728
2,g24,16,8,0.32851351474445634
2,g24,16,32,0.3378952156920378
2,g25,2,1,0.34268752710649236
2,g25,2,8,0.3421816806602423
2,g25,2,32,0.34231640098796456
2,g25,4,1,0.33564829008128777
2,g25,4,8,0.3367134472245282
2,g25,4,32,0.33757114662612786
2,g25,8,1,0.3343302447067214
2,g25,8,8,0.33590872653782916
2,g25,8,32,0.33787994606012084
2,g25,16,1,0.3328994516330528
2,g25,16,8,0.3316283454926266
2,g25,16,32,0.33837960032236697
2,g26,2,1,0.3308159147993943
2,g26,2,8,0.33337063104643927
2,g26,2,32,0.3368535715929121
2,g26,4,1,0.33106085510112926
2,g26,4,8,0.328227241521246
2,g26,4,32,0.34084153731798267
2,g26,8,1,0.3218120217363231
2,g26,8,8,0.33092105263766936
2,g26,8,32,0.337778595193228
2,g26,16,1,0.3279728539102178
2,g26,16,8,0.3382612561254583
2,g26,16,32,0.34398644057450134
2,g27,2,1,0.33843564683820815
2,g27,2,8,0.33697189470850764
2,g27,2,32,0.3380101818450272
2,g27,4,1,0.3452408653148979
2,g27,4,8,0.34410348454728823
2,g27,4,32,0.35188155448312614
2,g27,8,1,0.33161571800494266
2,g27,8,8,0.32886761905305495
2,g27,8,32,0.3360326996533417
2,g27,16,1,0.33427927698692117
2,g27,16,8,0.3423026512238274
2,g27,16,32,0.3533632076919025
2,g28,2,1,0.3504237729575425
2,g28,2,8,0.3445411119410514
2,g28,2,32,0.349536785759168
2,g28,4,1,0.33721318981443166
2,g28,4,8,0.33502282309263043
2,g28,4,32,0.3369544506635954
2,g28,8,1,0.3205444614997589
2,g28,8,8,0.3232178510233348
2,g28,8,32,0.3308907536399121
2,g28,16,1,0.3146896175078988
2,g28,16,8,0.3131203947472947
2,g28,16,32,0.315743441527832
2,g29,2,1,0.34365922430949764
2,g29,2,8,0.34046779460201937
2,g29,2,32,0.3379910358734496
2,g29,4,1,0.3583837968329877
2,g29,4,8,0.3676998360412953
2,g29,4,32,0.36211270041229293
2,g29,8,1,0.31775820341458233
2,g29,8,8,0.31742920380169026
2,g29,8,32,0.3276589130660997
2,g29,16,1,0.3287686883386959
2,g29,16,8,0.3277263764209431
2,g29,16,32,0.3289300397044383
2,g30,2,1,0.30651916049422
2,g30,2,8,0.30133391617744243
2,g30,2,32,0.3021760773191544
2,g30,4,1,0.32886721997497737
2,g30,4,8,0.3368453561010821
2,g30,4,32,0.3403968967016964
2,g30,8,1,0.33349860933795095
2,g30,8,8,0.31223187268786856
2,g30,8,32,0.3097128399964221
2,g30,16,1,0.333343174795279
2,g30,16,8,0.338014729366239
2,g30,16,32,0.34010870533218895
2,g31,2,1,0.3118056990848861
2,g31,2,8,0.30797738857012313
2,g31,2,32,0.31058131502402064
2,g31,4,1,0.32122080430586997
2,g31,4,8,0.3300210623928669
2,g31,4,32,0.32592184694911364
2,g31,8,1,0.32917768998893987
2,g31,8,8,0.3157415072641496
2,g31,8,32,0.3151904787719447
2,g31,16,1,0.34150264664000063
2,g31,16,8,0.3345632277177827
2,g31,16,32,0.33600698616856806
3,g00,2,1,0.3324178462907897
3,g00,2,8,0.3432090964707661
3,g00,2,32,0.33583096204620205
3,g00,4,1,0.3021780076178745
3,g00,4,8,0.305315433919999
3,g00,4,32,0.3177595994464547
3,g00,8,1,0.3139579433156567
3,g00,8,8,0.31321263238352615
3,g00,8,32,0.3240114989443857
3,g00,16,1,0.33873972320498036
3,g00,16,8,0.34063846516529017
3,g00,16,32,0.3590736226408845
3,g01,2,1,0.33825921406140685
3,g01,2,8,0.34546936719955734
3,g01,2,32,0.33527771076110063
3,g01,4,1,0.31012275474863743
3,g01,4,8,0.32019983897178966
3,g01,4,32,0.3324169145611983
3,g01,8,1,0.30365141547739377
3,g01,8,8,0.30811390454066234
3,g01,8,32,0.3143703195983134
3,g01,16,1,0.33517640978943675
3,g01,16,8,0.33363494083390055
3,g01,16,32,0.3536510297272521
3,g02,2,1,0.3025061551851017
3,g02,2,8,0.30724477982945264
3,g02,2,32,0.31367376907097677
3,g02,4,1,0.32828094087951765
3,g02,4,8,0.336032550612837
3,g02,4,32,0.36019729133187195
3,g02,8,1,0.3411326123341143
3,g02,8,8,0.33119642123286536
3,g02,8,32,0.3431963741510689
3,g02,16,1,0.35206420155445095
3,g02,16,8,0.3371780963989599
3,g02,16,32,0.32852902833594416
3,g03,2,1,0.30003919498618
3,g03,2,8,0.3094100306438216
3,g03,2,32,0.3229537624040436
3,g03,4,1,0.3285121023590917
3,g03,4,8,0.3271410583844908
3,g03,4,32,0.35279477134101445
3,g03,8,1,0.3428407882657833
3,g03,8,8,0.3348937517221853
3,g03,8,32,0.34149752032097236
3,g03,16,1,0.34466496843200545
3,g03,16,8,0.34443112467563713
3,g03,16,32,0.3417371173640737
3,g04,2,1,0.3850318825237735
3,g04,2,8,0.3771017589501839
3,g04,2,32,0.37826908541194254
3,g04,4,1,0.35798682106773716
3,g04,4,8,0.35329945631488563
3,g04,4,32,0.3602156105708046
3,g04,8,1,0.34205218602353854
3,g04,8,8,0.3461199259155156
3,g04,8,32,0.3450527662377138
3,g04,16,1,0.35507977668264185
3,g04,16,8,0.34934648305802213
3,g04,16,32,0.34570136172187094
3,g05,2,1,0.38184942322949794
3,g05,2,8,0.3763040187173135
3,g05,2,32,0.37499999999999994
3,g05,4,1,0.3640488386159125
3,g05,4,8,0.3674168070925767
3,g05,4,32,0.37342771208752146
3,g05,8,1,0.34971944101397223
3,g05,8,8,0.3586929198337597
3,g05,8,32,0.36227229997056887
3,g05,16,1,0.3523628536677847
3,g05,16,8,0.34895201713389123
3,g05,16,32,0.35422141504105203
3,g06,2,1,0.34303448730008046
3,g06,2,8,0.36082368599216535
3,g06,2,32,0.37064519961099235
3,g06,4,1,0.34483211635967076
3,g06,4,8,0.3376800383845486
3,g06,4,32,0.34654684025785404
3,g06,8,1,0.3470255492923851
3,g06,8,8,0.3273223754639586
3,g06,8,32,0.3310871502341008
3,g06,16,1,0.3748983404162273
3,g06,16,8,0.3690723306952276
3,g06,16,32,0.37289531188531844
3,g07,2,1,0.35300753245027966
3,g07,2,8,0.3605489737113318
3,g07,2,32,0.3675667382626448
3,g07,4,1,0.3406432501750962
3,g07,4,8,0.3493679338753491
3,g07,4,32,0.35332695794457547
3,g07,8,1,0.35508716108965105
3,g07,8,8,0.34277555214852595
3,g07,8,32,0.3349721385544435
3,g07,16,1,0.37102545880474386
3,g07,16,8,0.3683790051123106
3,g07,16,32,0.36165412051669643
3,g08,2,1,0.33650927504298717
3,g08,2,8,0.3406762503439168
3,g08,2,32,0.32058164984792203
3,g08,4,1,0.3489288134416347
3,g08,4,8,0.3547803419423559
3,g08,4,32,0.3485975025654082
3,g08,8,1,0.3534781227533893
3,g08,8,8,0.36061433810619753
3,g08,8,32,0.36190882838529975
3,g08,16,1,0.36465439673890093
3,g08,16,8,0.35142170371566556
3,g08,16,32,0.3491060808604739
3,g09,2,1,0.3395681228151901
3,g09,2,8,0.34948922160961954
3,g09,2,32,0.33241614278132586
3,g09,4,1,0.3421802530986999
3,g09,4,8,0.33273743402820055
3,g09,4,32,0.3289413855868394
3,g09,8,1,0.3459103436335205
3,g09,8,8,0.3573914913810111
3,g09,8,32,0.3579498535854413
3,g09,16,1,0.35347164916494
3,g09,16,8,0.34917796921347716
3,g09,16,32,0.3518258776430389
3,g10,2,1,0.3584309602532624
3,g10,2,8,0.35810390697475036
3,g10,2,32,0.35929116790572935
3,g10,4,1,0.3655759046207486
3,g10,4,8,0.3490967668309815
3,g10,4,32,0.3535553142439147
3,g10,8,1,0.392599994590174
3,g10,8,8,0.3700843195283298
3,g10,8,32,0.3740858388341918
3,g10,16,1,0.3718421582637187
3,g10,16,8,0.37190443420194175
3,g10,16,32,0.3643424413018178
3,g11,2,1,0.349522920242686
3,g11,2,8,0.3566244226414692
3,g11,2,32,0.3486207000004412
3,g11,4,1,0.36666313379005555
3,g11,4,8,0.35885966072742
3,g11,4,32,0.36251290668356245
3,g11,8,1,0.37987711688165343
3,g11,8,8,0.3604513164263622
3,g11,8,32,0.3564772391782274
3,g11,16,1,0.38229821468069014
3,g11,16,8,0.36612264156153645
3,g11,16,32,0.362377261603916
3,g12,2,1,0.3252538509853798
3,g12,2,8,0.30205946934672306
3,g12,2,32,0.28794778796060067
3,g12,4,1,0.32118372402433043
3,g12,4,8,0.3120026000775704
3,g12,4,32,0.3015921898734674
3,g12,8,1,0.3465240057225652
3,g12,8,8,0.33700757776321827
3,g12,8,32,0.32789546115249396
3,g12,16,1,0.3619275226151056
3,g12,16,8,0.33897630085870506
3,g12,16,32,0.3323598682881894
3,g13,2,1,0.31977769308034404
3,g13,2,8,0.30367747878750684
3,g13,2,32,0.296758742526494
3,g13,4,1,0.31198967457373145
3,g13,4,8,0.3012663056940365
3,g13,4,32,0.2907563115474476
3,g13,8,1,0.34859449639268925
3,g13,8,8,0.3399141724528517
3,g13,8,32,0.3360954958714741
3,g13,16,1,0.35801114758573155
3,g13,16,8,0.3357782248955806
3,g13,16,32,0.33342940597171317
3,g14,2,1,0.34577176097524354
3,g14,2,8,0.34793563733402105
3,g14,2,32,0.34237050898789295
3,g14,4,1,0.3487136800505279
3,g14,4,8,0.34340169346139077
3,g14,4,32,0.33994484387696183
3,g14,8,1,0.3658005136406072
3,g14,8,8,0.3449725548042046
3,g14,8,32,0.35060282567928625
3,g14,16,1,0.3826290641925295
3,g14,16,8,0.38745107762506464
3,g14,16,32,0.38350891928595393
3,g15,2,1,0.3263134928888598
3,g15,2,8,0.3195781714197708
3,g15,2,32,0.3157253148350384
3,g15,4,1,0.34316117512631733
3,g15,4,8,0.3456986362319624
3,g15,4,32,0.34391500089350974
3,g15,8,1,0.34256835537610225
3,g15,8,8,0.33618907333891695
3,g15,8,32,0.3405653328464345
3,g15,16,1,0.3793981818807568
3,g15,16,8,0.3793520633500176
3,g15,16,32,0.3710612846882387
3,g16,2,1,0.3233464040930703
3,g16,2,8,0.3313479370596901
3,g16,2,32,0.3340909005754874
3,g16,4,1,0.30928646833373674
3,g16,4,8,0.32370158195454307
3,g16,4,32,0.3274851057484408
3,g16,8,1,0.34163059208506863
3,g16,8,8,0.3411947389729064
3,g16,8,32,0.34736178714425936
3,g16,16,1,0.3520685693461777
3,g16,16,8,0.34099820838125544
3,g16,16,32,0.35073561267843284
3,g17,2,1,0.32920792068717136
3,g17,2,8,0.33280811540696553
3,g17,2,32,0.3365902065644995
3,g17,4,1,0.3095161179042981
3,g17,4,8,0.3285065140021747
3,g17,4,32,0.3360874879286879
3,g17,8,1,0.3290160196297284
3,g17,8,8,0.33302512139233065
3,g17,8,32,0.345478490304417
3,g17,16,1,0.3513194501010111
3,g17,16,8,0.3495363353998908
3,g17,16,32,0.35142430329684743
3,g18,2,1,0.3376402531267929
3,g18,2,8,0.3454749898872922
3,g18,2,32,0.35663584713017077
3,g18,4,1,0.34428081851817766
3,g18,4,8,0.3483391423702175
3,g18,4,32,0.35727526400989557
3,g18,8,1,0.32455212574060494
3,g18,8,8,0.3299377437922533
3,g18,8,32,0.3298600610447814
3,g18,16,1,0.35139863877331545
3,g18,16,8,0.3500476389333394
3,g18,16,32,0.34888187348185973
3,g19,2,1,0.3272210293662762
