model_id,task,fold,scope,seed,macro_score,rows,participants,balanced_accuracy,macro_f1
arousal__fold1__early__20260911,arousal,1,early,20260911,0.3660033564869629,2886,5,0.3659043659043659,0.363584814164896
arousal__fold1__late_mean__20260910,arousal,1,late_mean,20260910,0.3693991249808393,2886,5,0.3686763686763687,0.36428959496707386
arousal__fold1__late_mean__20260911,arousal,1,late_mean,20260911,0.3693991249808393,2886,5,0.3686763686763687,0.36428959496707386
arousal__fold1__late_geometric__20260910,arousal,1,late_geometric,20260910,0.3698406329927463,2886,5,0.369022869022869,0.36518572785114034
arousal__fold1__late_geometric__20260911,arousal,1,late_geometric,20260911,0.3698406329927463,2886,5,0.369022869022869,0.36518572785114034
arousal__fold1__late_weighted__20260910,arousal,1,late_weighted,20260910,0.3737929249382803,2886,5,0.3738738738738739,0.3702401190701841
arousal__fold1__late_weighted__20260911,arousal,1,late_weighted,20260911,0.3737929249382803,2886,5,0.3738738738738739,0.3702401190701841
arousal__fold1__unimodal__20260910,arousal,1,unimodal,20260910,0.3128864067065712,2886,5,0.31531531531531526,0.3144919112989545
arousal__fold1__unimodal__20260911,arousal,1,unimodal,20260911,0.31091694134389225,2886,5,0.3135828135828136,0.3130430452967246
arousal__fold1__fixed_logistic__20260910,arousal,1,fixed_logistic,20260910,0.3408420494552081,2886,5,0.34234234234234234,0.3348019591517115
arousal__fold1__fixed_logistic__20260911,arousal,1,fixed_logistic,20260911,0.3408420494552081,2886,5,0.34234234234234234,0.3348019591517115
arousal__fold2__early__20260910,arousal,2,early,20260910,0.3423967929674608,2612,5,0.3449014025097543,0.34426795140720196
arousal__fold2__early__20260911,arousal,2,early,20260911,0.3423967929674608,2612,5,0.3449014025097543,0.34426795140720196
arousal__fold2__late_mean__20260910,arousal,2,late_mean,20260910,0.3454226241052698,2612,5,0.3476317269499807,0.34761408519736814
arousal__fold2__late_mean__20260911,arousal,2,late_mean,20260911,0.3454226241052698,2612,5,0.3476317269499807,0.34761408519736814
arousal__fold2__late_geometric__20260910,arousal,2,late_geometric,20260910,0.34693087921542914,2612,5,0.349159900172238,0.3494926635345628
arousal__fold2__late_geometric__20260911,arousal,2,late_geometric,20260911,0.34693087921542914,2612,5,0.349159900172238,0.3494926635345628
arousal__fold2__late_weighted__20260910,arousal,2,late_weighted,20260910,0.33796503523197374,2612,5,0.3411218320503357,0.34177594885822266
arousal__fold2__late_weighted__20260911,arousal,2,late_weighted,20260911,0.33796503523197374,2612,5,0.3411218320503357,0.34177594885822266
arousal__fold2__unimodal__20260910,arousal,2,unimodal,20260910,0.3388793184456147,2612,5,0.34222644029667126,0.3403486500725285
arousal__fold2__unimodal__20260911,arousal,2,unimodal,20260911,0.3388793184456147,2612,5,0.34222644029667126,0.3403486500725285
arousal__fold2__fixed_logistic__20260910,arousal,2,fixed_logistic,20260910,0.3448268620906414,2612,5,0.34680656613589234,0.34166408663149667
arousal__fold2__fixed_logistic__20260911,arousal,2,fixed_logistic,20260911,0.3448268620906414,2612,5,0.34680656613589234,0.34166408663149667
arousal__fold3__early__20260910,arousal,3,early,20260910,0.3773813897118806,2659,5,0.39307838771252285,0.3841381233898474
arousal__fold3__early__20260911,arousal,3,early,20260911,0.3773813897118806,2659,5,0.39307838771252285,0.3841381233898474
arousal__fold3__late_mean__20260910,arousal,3,late_mean,20260910,0.37288711664719476,2659,5,0.38913003121268536,0.3802100796595189
arousal__fold3__late_mean__20260911,arousal,3,late_mean,20260911,0.37288711664719476,2659,5,0.38913003121268536,0.3802100796595189
arousal__fold3__late_geometric__20260910,arousal,3,late_geometric,20260910,0.370965497188249,2659,5,0.3871098334071556,0.37769620676594284
arousal__fold3__late_geometric__20260911,arousal,3,late_geometric,20260911,0.370965497188249,2659,5,0.3871098334071556,0.37769620676594284
arousal__fold3__late_weighted__20260910,arousal,3,late_weighted,20260910,0.3624394223999575,2659,5,0.3810561730655245,0.37224121929271714
arousal__fold3__late_weighted__20260911,arousal,3,late_weighted,20260911,0.3624394223999575,2659,5,0.3810561730655245,0.37224121929271714
arousal__fold3__unimodal__20260910,arousal,3,unimodal,20260910,0.35531974245098147,2659,5,0.38008860604653627,0.3710911926353249
arousal__fold3__unimodal__20260911,arousal,3,unimodal,20260911,0.35531974245098147,2659,5,0.38008860604653627,0.3710911926353249
arousal__fold3__fixed_logistic__20260910,arousal,3,fixed_logistic,20260910,0.3791433794552643,2659,5,0.38989405526793747,0.3799651548785527
arousal__fold3__fixed_logistic__20260911,arousal,3,fixed_logistic,20260911,0.3791433794552643,2659,5,0.38989405526793747,0.3799651548785527
arousal__fold4__early__20260910,arousal,4,early,20260910,0.3389776370286347,2660,5,0.3410083617303022,0.33804456537124294
arousal__fold4__early__20260911,arousal,4,early,20260911,0.3389776370286347,2660,5,0.3410083617303022,0.33804456537124294
arousal__fold4__late_mean__20260910,arousal,4,late_mean,20260910,0.3543753710620509,2660,5,0.354895094513765,0.3514022972946746
arousal__fold4__late_mean__20260911,arousal,4,late_mean,20260911,0.3543753710620509,2660,5,0.354895094513765,0.3514022972946746
arousal__fold4__late_geometric__20260910,arousal,4,late_geometric,20260910,0.35618117254481735,2660,5,0.35677451152547923,0.3539202416498875
arousal__fold4__late_geometric__20260911,arousal,4,late_geometric,20260911,0.35618117254481735,2660,5,0.35677451152547923,0.3539202416498875
arousal__fold4__late_weighted__20260910,arousal,4,late_weighted,20260910,0.3549507470876894,2660,5,0.35451632687858997,0.35210988340257515
arousal__fold4__late_weighted__20260911,arousal,4,late_weighted,20260911,0.3549507470876894,2660,5,0.35451632687858997,0.35210988340257515
arousal__fold4__unimodal__20260910,arousal,4,unimodal,20260910,0.3378467758981449,2660,5,0.3360962587258647,0.3358096261912739
arousal__fold4__unimodal__20260911,arousal,4,unimodal,20260911,0.3378467758981449,2660,5,0.3360962587258647,0.3358096261912739
arousal__fold4__fixed_logistic__20260910,arousal,4,fixed_logistic,20260910,0.3583211733252115,2660,5,0.3594280057311403,0.357054844232483
arousal__fold4__fixed_logistic__20260911,arousal,4,fixed_logistic,20260911,0.3583211733252115,2660,5,0.3594280057311403,0.357054844232483
arousal__fold5__early__20260910,arousal,5,early,20260910,0.3721240245618009,2707,5,0.3626669790060932,0.36240991429134195
arousal__fold5__early__20260911,arousal,5,early,20260911,0.3721240245618009,2707,5,0.3626669790060932,0.36240991429134195
arousal__fold5__late_mean__20260910,arousal,5,late_mean,20260910,0.38113624949175523,2707,5,0.3720726846910308,0.371030900096615
arousal__fold5__late_mean__20260911,arousal,5,late_mean,20260911,0.38113624949175523,2707,5,0.3720726846910308,0.371030900096615
arousal__fold5__late_geometric__20260910,arousal,5,late_geometric,20260910,0.38150942216881856,2707,5,0.37123475605500666,0.37001935155166316
arousal__fold5__late_geometric__20260911,arousal,5,late_geometric,20260911,0.38150942216881856,2707,5,0.37123475605500666,0.37001935155166316
arousal__fold5__late_weighted__20260910,arousal,5,late_weighted,20260910,0.38339868228131146,2707,5,0.36680792962964315,0.36627537873084454
arousal__fold5__late_weighted__20260911,arousal,5,late_weighted,20260911,0.38339868228131146,2707,5,0.36680792962964315,0.36627537873084454
arousal__fold5__unimodal__20260910,arousal,5,unimodal,20260910,0.39361651689674887,2707,5,0.3970472836851941,0.3921849344394366
arousal__fold5__unimodal__20260911,arousal,5,unimodal,20260911,0.39361651689674887,2707,5,0.3970472836851941,0.3921849344394366
arousal__fold5__fixed_logistic__20260910,arousal,5,fixed_logistic,20260910,0.3696287266604811,2707,5,0.36121281229664065,0.358891911116954
arousal__fold5__fixed_logistic__20260911,arousal,5,fixed_logistic,20260911,0.3696287266604811,2707,5,0.36121281229664065,0.358891911116954
