task,scope,reference,participant,delta
arousal,unimodal,early,P35,0.05370370370370364
arousal,unimodal,early,P36,-0.02558301427079701
arousal,unimodal,early,P4,0.10021786492374724
arousal,unimodal,early,P40,0.018266050645055376
arousal,unimodal,early,P43,-0.011668908727732186
arousal,unimodal,early,P44,0.018305010108288833
arousal,unimodal,early,P46,-0.05484693877551017
arousal,unimodal,early,P48,-0.046531302876480496
arousal,unimodal,early,P8,0.038239538239538184
arousal,unimodal,early,P9,-0.00919619309712183
arousal,unimodal,fixed_logistic,P12,0.01090629800307219
arousal,unimodal,fixed_logistic,P13,0.025885001023122634
arousal,unimodal,fixed_logistic,P18,-0.05944798301486198
arousal,unimodal,fixed_logistic,P19,-0.06675838574423482
arousal,unimodal,fixed_logistic,P2,0.013714409910888903
arousal,unimodal,fixed_logistic,P20,-0.059113300492610876
arousal,unimodal,fixed_logistic,P21,0.04144144144144141
arousal,unimodal,fixed_logistic,P22,-0.03998633328852447
arousal,unimodal,fixed_logistic,P24,-0.003579110095442928
arousal,unimodal,fixed_logistic,P26,-0.028571428571428636
arousal,unimodal,fixed_logistic,P27,0.015179444211702253
arousal,unimodal,fixed_logistic,P3,-0.020703933747411973
arousal,unimodal,fixed_logistic,P30,-0.07202680067001671
arousal,unimodal,fixed_logistic,P33,0.026866185070519355
arousal,unimodal,fixed_logistic,P34,0.04250221827861578
arousal,unimodal,fixed_logistic,P35,-0.0018518518518518823
arousal,unimodal,fixed_logistic,P36,-0.059032370344587526
arousal,unimodal,fixed_logistic,P4,-0.008714596949891129
arousal,unimodal,fixed_logistic,P40,0.014251811456992058
arousal,unimodal,fixed_logistic,P43,0.027573954044542326
arousal,unimodal,fixed_logistic,P44,0.038681719009587834
arousal,unimodal,fixed_logistic,P46,-0.03188775510204078
arousal,unimodal,fixed_logistic,P48,-0.05668358714043992
arousal,unimodal,fixed_logistic,P8,0.016070479228373957
arousal,unimodal,fixed_logistic,P9,-0.04070634101593851
arousal,unimodal,previous_pupil_logistic,P12,-0.006772797095377647
arousal,unimodal,previous_pupil_logistic,P13,-0.02959893595252705
arousal,unimodal,previous_pupil_logistic,P18,-0.04670912951167727
arousal,unimodal,previous_pupil_logistic,P19,-0.03288784067085959
arousal,unimodal,previous_pupil_logistic,P2,0.002861696732594343
arousal,unimodal,previous_pupil_logistic,P20,-0.06781484798726178
arousal,unimodal,previous_pupil_logistic,P21,0.021631308728082832
arousal,unimodal,previous_pupil_logistic,P22,-0.07437715642783521
arousal,unimodal,previous_pupil_logistic,P24,-0.06011672715866828
arousal,unimodal,previous_pupil_logistic,P26,-0.0685714285714285
arousal,unimodal,previous_pupil_logistic,P27,0.049867336964111164
arousal,unimodal,previous_pupil_logistic,P3,0.02070393374741203
arousal,unimodal,previous_pupil_logistic,P30,-0.05379591560496083
arousal,unimodal,previous_pupil_logistic,P33,0.009723655544088938
arousal,unimodal,previous_pupil_logistic,P34,0.14556344276841177
arousal,unimodal,previous_pupil_logistic,P35,0.0092592592592593
arousal,unimodal,previous_pupil_logistic,P36,-0.09039331709014958
arousal,unimodal,previous_pupil_logistic,P4,-0.004357298474945537
arousal,unimodal,previous_pupil_logistic,P40,-0.01704158145875939
arousal,unimodal,previous_pupil_logistic,P43,0.03250648838884135
arousal,unimodal,previous_pupil_logistic,P44,0.07749354470665942
arousal,unimodal,previous_pupil_logistic,P46,0.059948979591836815
arousal,unimodal,previous_pupil_logistic,P48,-0.03976311336717425
arousal,unimodal,previous_pupil_logistic,P8,0.030439735702893544
arousal,unimodal,previous_pupil_logistic,P9,-0.019412911363375807
arousal,early,fixed_logistic,P12,0.05203183912861331
arousal,early,fixed_logistic,P13,-0.007581338244321667
arousal,early,fixed_logistic,P18,-0.00849256900212314
arousal,early,fixed_logistic,P19,-0.035547693920335355
arousal,early,fixed_logistic,P2,0.030935303919437773
arousal,early,fixed_logistic,P20,-0.022938747076678145
arousal,early,fixed_logistic,P21,-0.010975491620652922
arousal,early,fixed_logistic,P22,0.04634359456916248
arousal,early,fixed_logistic,P24,0.07907648877537304
arousal,early,fixed_logistic,P26,0.022857142857142798
arousal,early,fixed_logistic,P27,0.03234185169669035
arousal,early,fixed_logistic,P3,0.043478260869565244
arousal,early,fixed_logistic,P30,-0.028704126694076404
arousal,early,fixed_logistic,P33,0.023185414516683822
arousal,early,fixed_logistic,P34,-0.012200532386867802
arousal,early,fixed_logistic,P35,-0.055555555555555525
