task,fold,inner,candidate_id,score,fit_participants,evaluation_participants,context,estimator,strategy,weights,modality
attention,1,2,"1__lda__late_weighted__0.25,0.75",0.3183799372255487,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,lda,late_weighted,"[0.25, 0.75]",
attention,1,2,"1__lda__late_weighted__0.5,0.5",0.3324626425710869,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,lda,late_weighted,"[0.5, 0.5]",
attention,1,2,"1__lda__late_weighted__0.75,0.25",0.3480680576525082,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,lda,late_weighted,"[0.75, 0.25]",
attention,1,2,"1__lda__unimodal__1.0,0.0",0.3519498901806012,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,lda,unimodal,"[1.0, 0.0]",EEG
attention,1,2,"1__lda__unimodal__0.0,1.0",0.3150182271964938,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,lda,unimodal,"[0.0, 1.0]",GSR
attention,1,2,1__extra_trees__early__,0.344786684321591,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,extra_trees,early,,
attention,1,2,"1__extra_trees__late_mean__0.5,0.5",0.3509463556324579,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,extra_trees,late_mean,"[0.5, 0.5]",
attention,1,2,"1__extra_trees__late_geometric__0.5,0.5",0.3523856570043552,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,extra_trees,late_geometric,"[0.5, 0.5]",
attention,1,2,"1__extra_trees__late_weighted__0.25,0.75",0.3411809115883376,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,extra_trees,late_weighted,"[0.25, 0.75]",
attention,1,2,"1__extra_trees__late_weighted__0.5,0.5",0.3509463556324579,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,extra_trees,late_weighted,"[0.5, 0.5]",
attention,1,2,"1__extra_trees__late_weighted__0.75,0.25",0.3593610037578005,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,extra_trees,late_weighted,"[0.75, 0.25]",
attention,1,2,"1__extra_trees__unimodal__1.0,0.0",0.3484379900931002,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,extra_trees,unimodal,"[1.0, 0.0]",EEG
attention,1,2,"1__extra_trees__unimodal__0.0,1.0",0.3416287438936945,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,1,extra_trees,unimodal,"[0.0, 1.0]",GSR
attention,1,2,8__logistic__early__,0.3346529876980627,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,logistic,early,,
attention,1,2,"8__logistic__late_mean__0.5,0.5",0.3308688638888376,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,logistic,late_mean,"[0.5, 0.5]",
attention,1,2,"8__logistic__late_geometric__0.5,0.5",0.331641931181627,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,logistic,late_geometric,"[0.5, 0.5]",
attention,1,2,"8__logistic__late_weighted__0.25,0.75",0.3233440599530798,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,logistic,late_weighted,"[0.25, 0.75]",
attention,1,2,"8__logistic__late_weighted__0.5,0.5",0.3308688638888376,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,logistic,late_weighted,"[0.5, 0.5]",
attention,1,2,"8__logistic__late_weighted__0.75,0.25",0.3374162818998255,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,logistic,late_weighted,"[0.75, 0.25]",
attention,1,2,"8__logistic__unimodal__1.0,0.0",0.3403167704172398,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,logistic,unimodal,"[1.0, 0.0]",EEG
attention,1,2,"8__logistic__unimodal__0.0,1.0",0.3237648928463453,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,logistic,unimodal,"[0.0, 1.0]",GSR
attention,1,2,8__lda__early__,0.3340303356253488,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,lda,early,,
attention,1,2,"8__lda__late_mean__0.5,0.5",0.333074252901015,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,lda,late_mean,"[0.5, 0.5]",
attention,1,2,"8__lda__late_geometric__0.5,0.5",0.3328405626754374,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,lda,late_geometric,"[0.5, 0.5]",
attention,1,2,"8__lda__late_weighted__0.25,0.75",0.3264002988573365,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,lda,late_weighted,"[0.25, 0.75]",
attention,1,2,"8__lda__late_weighted__0.5,0.5",0.333074252901015,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,lda,late_weighted,"[0.5, 0.5]",
attention,1,2,"8__lda__late_weighted__0.75,0.25",0.3351507135218135,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,lda,late_weighted,"[0.75, 0.25]",
attention,1,2,"8__lda__unimodal__1.0,0.0",0.3401353655900473,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,lda,unimodal,"[1.0, 0.0]",EEG
attention,1,2,"8__lda__unimodal__0.0,1.0",0.3193023221944387,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,lda,unimodal,"[0.0, 1.0]",GSR
attention,1,2,8__extra_trees__early__,0.3307621766826781,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,extra_trees,early,,
attention,1,2,"8__extra_trees__late_mean__0.5,0.5",0.3346112953280054,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,extra_trees,late_mean,"[0.5, 0.5]",
attention,1,2,"8__extra_trees__late_geometric__0.5,0.5",0.3342960630214375,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,extra_trees,late_geometric,"[0.5, 0.5]",
attention,1,2,"8__extra_trees__late_weighted__0.25,0.75",0.3322023531936996,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,extra_trees,late_weighted,"[0.25, 0.75]",
attention,1,2,"8__extra_trees__late_weighted__0.5,0.5",0.3346112953280054,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,extra_trees,late_weighted,"[0.5, 0.5]",
attention,1,2,"8__extra_trees__late_weighted__0.75,0.25",0.343102009403732,P12|P19|P2|P21|P27|P3|P33|P34|P35|P36|P4|P44|P46,P13|P18|P20|P26|P40|P8|P9,8,extra_trees,late_weighted,"[0.75, 0.25]",
