fold,inner,candidate_id,family,window,score,alpha,shrink,temperature
2,1,mean_64,mean,64.0,0.33982010739088664,,,
2,1,ema_0.02,ema,,0.34493434848147336,0.02,,
2,1,ema_0.1,ema,,0.3359917388368611,0.1,,
2,1,ema_0.3,ema,,0.3365027469224699,0.3,,
2,1,hmm_0.01_0.25,hmm,,0.3409550198878126,,0.01,0.25
2,1,hmm_0.01_1.0,hmm,,0.3404255393001138,,0.01,1.0
2,1,hmm_0.01_4.0,hmm,,0.32633546947248826,,0.01,4.0
2,1,hmm_0.1_0.25,hmm,,0.3443649139128026,,0.1,0.25
2,1,hmm_0.1_1.0,hmm,,0.3426684399207652,,0.1,1.0
2,1,hmm_0.1_4.0,hmm,,0.3247495538023737,,0.1,4.0
2,1,hmm_0.5_0.25,hmm,,0.3417467506539017,,0.5,0.25
2,1,hmm_0.5_1.0,hmm,,0.3495007365033465,,0.5,1.0
2,1,hmm_0.5_4.0,hmm,,0.3358170004337809,,0.5,4.0
2,2,mean_1,mean,1.0,0.3568473809498688,,,
2,2,mean_4,mean,4.0,0.376586207872872,,,
2,2,mean_16,mean,16.0,0.37255062847167736,,,
2,2,mean_64,mean,64.0,0.3712891038304667,,,
2,2,ema_0.02,ema,,0.39717985237169423,0.02,,
2,2,ema_0.1,ema,,0.3814137898002113,0.1,,
2,2,ema_0.3,ema,,0.36857539835516634,0.3,,
2,2,hmm_0.01_0.25,hmm,,0.37537036467430196,,0.01,0.25
2,2,hmm_0.01_1.0,hmm,,0.38191563001424594,,0.01,1.0
2,2,hmm_0.01_4.0,hmm,,0.3927854548519225,,0.01,4.0
2,2,hmm_0.1_0.25,hmm,,0.37852566570446505,,0.1,0.25
2,2,hmm_0.1_1.0,hmm,,0.38298927535302124,,0.1,1.0
2,2,hmm_0.1_4.0,hmm,,0.3894617502117598,,0.1,4.0
2,2,hmm_0.5_0.25,hmm,,0.3735874665407154,,0.5,0.25
2,2,hmm_0.5_1.0,hmm,,0.3738478393915257,,0.5,1.0
2,2,hmm_0.5_4.0,hmm,,0.3881034218287038,,0.5,4.0
2,3,mean_1,mean,1.0,0.3775110738031691,,,
2,3,mean_4,mean,4.0,0.3806483458003195,,,
2,3,mean_16,mean,16.0,0.3661619128273602,,,
2,3,mean_64,mean,64.0,0.36920822962892685,,,
2,3,ema_0.02,ema,,0.34523232780960744,0.02,,
2,3,ema_0.1,ema,,0.36326262786217145,0.1,,
2,3,ema_0.3,ema,,0.37169473020884125,0.3,,
