candidate_id,base_id,family,context,smoothing,mean,std,min,max
b11_ctx8_smooth1,b11_ctx8,hgb,8,1,0.3433517893737701,0.01878605018002493,0.3147915184959274,0.3782820194895036
b18_ctx8_smooth1,b18_ctx8,fusion_logistic,8,1,0.34325458184582824,0.018298521429472983,0.3141595297306991,0.3811625364618903
b07_ctx1_smooth1,b07_ctx1,hgb,1,1,0.3432083184504056,0.014034370226151551,0.32160932492783,0.367604030914606
b18_ctx1_smooth1,b18_ctx1,fusion_logistic,1,1,0.34316028165325474,0.01115060543876569,0.3261933110415355,0.3644479939012477
b06_ctx8_smooth1,b06_ctx8,hgb,8,1,0.34305534795475945,0.01456006238617794,0.3086115622202974,0.3704696507252745
b17_ctx8_smooth1,b17_ctx8,fusion_logistic,8,1,0.3429153019750821,0.01730536777369914,0.3166117668714651,0.3799591776755801
b12_ctx1_smooth1,b12_ctx1,qda,1,1,0.34285965151908593,0.019764419121949546,0.3132344262643607,0.3778533549018382
b19_ctx1_smooth1,b19_ctx1,fusion_lda,1,1,0.3427535567525901,0.010565709830563465,0.3281389095486898,0.3592570944349845
b16_ctx1_smooth1,b16_ctx1,fusion_logistic,1,1,0.3427108022659835,0.010162365206506263,0.3292796843180079,0.3615269632617176
b11_ctx8_smooth4,b11_ctx8,hgb,8,4,0.3426210031639897,0.02235319109972181,0.2993788188865288,0.3810966235848232
b05_ctx8_smooth1,b05_ctx8,svm_rbf,8,1,0.34255067606248685,0.012872365815532428,0.3137243430692689,0.3658962419337714
b13_ctx1_smooth1,b13_ctx1,qda,1,1,0.3425079235159545,0.018882115437561423,0.3129302751796351,0.3769310037120952
b04_ctx8_smooth1,b04_ctx8,svm_rbf,8,1,0.3425044286288099,0.014900448082422298,0.3149791143268355,0.3661417641996892
b14_ctx8_smooth1,b14_ctx8,qda,8,1,0.3425011710863257,0.02331080507854026,0.3032843147944226,0.3874395548920534
b20_ctx1_smooth4,b20_ctx1,fusion_lda,1,4,0.34241796901715466,0.011570785056333584,0.319566195586848,0.3583784028760137
b15_ctx1_smooth1,b15_ctx1,fusion_logistic,1,1,0.3416436922004333,0.009487016481386825,0.3235891930739373,0.3559922286712474
b17_ctx8_smooth4,b17_ctx8,fusion_logistic,8,4,0.34153823230887626,0.02698082160569415,0.299938319737439,0.3880628076605449
b16_ctx8_smooth4,b16_ctx8,fusion_logistic,8,4,0.34132340845960724,0.025773189716245485,0.3027565721315998,0.3861353554273656
b18_ctx8_smooth4,b18_ctx8,fusion_logistic,8,4,0.3412473432698457,0.0260677254468574,0.3036083046008811,0.3820894152326561
b19_ctx8_smooth4,b19_ctx8,fusion_lda,8,4,0.3411982626956002,0.024194550685314568,0.3051844204832533,0.3814648716158402
b02_ctx8_smooth1,b02_ctx8,svm_rbf,8,1,0.34103471611400943,0.014217700189976966,0.3182495058138752,0.3700707765727274
b13_ctx8_smooth4,b13_ctx8,qda,8,4,0.34093545978518697,0.029722713571838304,0.2764644016376803,0.3831400816919382
b20_ctx8_smooth1,b20_ctx8,fusion_lda,8,1,0.3408132013445789,0.014424772803675765,0.3065542312798515,0.3714628491727349
b06_ctx8_smooth4,b06_ctx8,hgb,8,4,0.3405912670852475,0.013905458161785303,0.3086772932089454,0.3651821342748509
b08_ctx8_smooth1,b08_ctx8,hgb,8,1,0.34055655447504946,0.014435403419594827,0.3109971998603059,0.3702791719162239
b14_ctx8_smooth4,b14_ctx8,qda,8,4,0.34054513857075447,0.023428525719879422,0.3063696109361831,0.3859979762348077
b15_ctx8_smooth4,b15_ctx8,fusion_logistic,8,4,0.34053339627737084,0.021896509455229335,0.3063274383771506,0.3764577988160714
b13_ctx8_smooth1,b13_ctx8,qda,8,1,0.3404332251953429,0.02947204311915043,0.2898397332889789,0.3910061581669254
b20_ctx1_smooth1,b20_ctx1,fusion_lda,1,1,0.34041383649204976,0.010505811215345717,0.3249406663499876,0.3550949773265628
b05_ctx8_smooth4,b05_ctx8,svm_rbf,8,4,0.3399971694693221,0.01653895293534232,0.3089249367589854,0.3737267482873543
b06_ctx1_smooth4,b06_ctx1,hgb,1,4,0.3397257278956705,0.019059280405999322,0.3163083878898965,0.3760450294780084
b00_ctx8_smooth1,b00_ctx8,svm_rbf,8,1,0.3395598440328252,0.018580205718128406,0.3102769991790661,0.3785659517562587
b07_ctx8_smooth1,b07_ctx8,hgb,8,1,0.33938557690525883,0.019007715963630368,0.3127839588373876,0.3686638093428795
b08_ctx8_smooth4,b08_ctx8,hgb,8,4,0.3390688445849302,0.017510479681092664,0.3076515748523388,0.3694126307710016
