scope,reference,participant,delta
fusion_lda,previous_fixed_logistic,P21,-0.0250702315218444
fusion_lda,previous_fixed_logistic,P22,-0.003931980104852739
fusion_lda,previous_fixed_logistic,P24,0.00765111798180762
fusion_lda,previous_fixed_logistic,P26,0.03428571428571431
fusion_lda,previous_fixed_logistic,P27,0.05636084345761766
fusion_lda,previous_fixed_logistic,P3,0.0331262939958592
fusion_lda,previous_fixed_logistic,P30,0.010084090486100594
fusion_lda,previous_fixed_logistic,P33,-0.01565187478500174
fusion_lda,previous_fixed_logistic,P34,0.034605146406388565
fusion_lda,previous_fixed_logistic,P35,-0.08518518518518511
fusion_lda,previous_fixed_logistic,P36,-0.0332405151409676
fusion_lda,previous_fixed_logistic,P4,-0.052287581699346386
fusion_lda,previous_fixed_logistic,P40,-0.036721452195208226
fusion_lda,previous_fixed_logistic,P43,0.017997635644694476
fusion_lda,previous_fixed_logistic,P44,0.020216577593626717
fusion_lda,previous_fixed_logistic,P46,0.03443877551020408
fusion_lda,previous_fixed_logistic,P48,0.0016920473773265887
fusion_lda,previous_fixed_logistic,P8,-0.011187058555479579
fusion_lda,previous_fixed_logistic,P9,-0.03323013415892673
fusion,previous_late_geometric,P12,0.021533305404273173
fusion,previous_late_geometric,P13,-0.018242275424595833
fusion,previous_late_geometric,P18,-0.02547770700636942
fusion,previous_late_geometric,P19,0.03557389937106925
fusion,previous_late_geometric,P2,0.00459320437586036
fusion,previous_late_geometric,P20,-0.01413768224113049
fusion,previous_late_geometric,P21,0.021631308728082888
fusion,previous_late_geometric,P22,-0.07722812205941654
fusion,previous_late_geometric,P24,-0.09461397141192818
fusion,previous_late_geometric,P26,-0.02666666666666656
fusion,previous_late_geometric,P27,-0.004049713727133142
fusion,previous_late_geometric,P3,-0.012422360248447284
fusion,previous_late_geometric,P30,0.042011403820449045
fusion,previous_late_geometric,P33,-0.056266483201467765
fusion,previous_late_geometric,P34,0.059804791481810116
fusion,previous_late_geometric,P35,-0.025925925925925963
fusion,previous_late_geometric,P36,0.008051978187724795
fusion,previous_late_geometric,P4,0.008714596949891129
fusion,previous_late_geometric,P40,-0.0041278497311217355
