task,kind,subset,architecture,seed,split,reference_scope,baseline,baseline_subset,participant,gain
attention_primary,classification,full,LSTM,20260908,validation,full,logistic,full,P38,-0.02656482004308086
attention_primary,classification,full,LSTM,20260908,validation,full,logistic,full,P41,0.024805692391899226
attention_primary,classification,full,LSTM,20260908,validation,full,logistic,full,P47,-0.014608233731739695
attention_primary,classification,full,LSTM,20260908,validation,full,logistic,full,P6,0.011871517535234355
attention_primary,classification,full,LSTM,20260908,test,matched,logistic,full,P10,0.019815790106533893
attention_primary,classification,full,LSTM,20260908,test,matched,logistic,full,P11,-0.004140786749482428
attention_primary,classification,full,LSTM,20260908,test,matched,logistic,full,P15,-0.02769867348180599
attention_primary,classification,full,LSTM,20260908,test,matched,logistic,full,P16,-0.04089979550102252
attention_primary,classification,full,LSTM,20260908,test,matched,logistic,full,P37,0.037433155080214
attention_primary,classification,full,LSTM,20260908,test,matched,logistic,full,P39,0.03333333333333338
attention_primary,classification,full,LSTM,20260908,test,matched,logistic,full,P45,-0.012760463580135772
attention_primary,classification,full,LSTM,20260908,test,matched,logistic,full,P5,0.03632478632478631
attention_primary,classification,full,LSTM,20260908,test,full,logistic,full,P10,0.019815790106533893
attention_primary,classification,full,LSTM,20260908,test,full,logistic,full,P11,-0.004140786749482428
attention_primary,classification,full,LSTM,20260908,test,full,logistic,full,P15,-0.02769867348180599
attention_primary,classification,full,LSTM,20260908,test,full,logistic,full,P16,-0.04089979550102252
attention_primary,classification,full,LSTM,20260908,test,full,logistic,full,P37,0.037433155080214
attention_primary,classification,full,LSTM,20260908,test,full,logistic,full,P39,0.03333333333333338
attention_primary,classification,full,LSTM,20260908,test,full,logistic,full,P45,-0.012760463580135772
attention_primary,classification,full,LSTM,20260908,test,full,logistic,full,P5,0.03632478632478631
attention_primary,classification,full,BiLSTM,20260907,validation,matched,logistic,full,P23,-0.10386473429951687
attention_primary,classification,full,BiLSTM,20260907,validation,matched,logistic,full,P28,0.029642058165548102
attention_primary,classification,full,BiLSTM,20260907,validation,matched,logistic,full,P31,0.07179487179487176
attention_primary,classification,full,BiLSTM,20260907,validation,matched,logistic,full,P32,0.031314537649379304
attention_primary,classification,full,BiLSTM,20260907,validation,matched,logistic,full,P38,-0.03165715122236856
attention_primary,classification,full,BiLSTM,20260907,validation,matched,logistic,full,P41,-0.015073891625615787
attention_primary,classification,full,BiLSTM,20260907,validation,matched,logistic,full,P47,0.0026560424966799445
attention_primary,classification,full,BiLSTM,20260907,validation,matched,logistic,full,P6,0.0045427728613569585
attention_primary,classification,full,BiLSTM,20260907,validation,full,logistic,full,P23,-0.10386473429951687
attention_primary,classification,full,BiLSTM,20260907,validation,full,logistic,full,P28,0.029642058165548102
attention_primary,classification,full,BiLSTM,20260907,validation,full,logistic,full,P31,0.07179487179487176
attention_primary,classification,full,BiLSTM,20260907,validation,full,logistic,full,P32,0.031314537649379304
attention_primary,classification,full,BiLSTM,20260907,validation,full,logistic,full,P38,-0.03165715122236856
attention_primary,classification,full,BiLSTM,20260907,validation,full,logistic,full,P41,-0.015073891625615787
attention_primary,classification,full,BiLSTM,20260907,validation,full,logistic,full,P47,0.0026560424966799445
attention_primary,classification,full,BiLSTM,20260907,validation,full,logistic,full,P6,0.0045427728613569585
attention_primary,classification,full,BiLSTM,20260907,test,matched,logistic,full,P10,0.023759709496669335
attention_primary,classification,full,BiLSTM,20260907,test,matched,logistic,full,P11,0.010351966873705987
attention_primary,classification,full,BiLSTM,20260907,test,matched,logistic,full,P15,-0.0115857368869417
attention_primary,classification,full,BiLSTM,20260907,test,matched,logistic,full,P16,-0.06543967280163604
attention_primary,classification,full,BiLSTM,20260907,test,matched,logistic,full,P37,0.048128342245989275
attention_primary,classification,full,BiLSTM,20260907,test,matched,logistic,full,P39,-0.0020833333333332704
attention_primary,classification,full,BiLSTM,20260907,test,matched,logistic,full,P45,-0.009387697912288107
attention_primary,classification,full,BiLSTM,20260907,test,matched,logistic,full,P5,0.03632478632478631
attention_primary,classification,full,BiLSTM,20260907,test,full,logistic,full,P10,0.023759709496669335
attention_primary,classification,full,BiLSTM,20260907,test,full,logistic,full,P11,0.010351966873705987
attention_primary,classification,full,BiLSTM,20260907,test,full,logistic,full,P15,-0.0115857368869417
attention_primary,classification,full,BiLSTM,20260907,test,full,logistic,full,P16,-0.06543967280163604
attention_primary,classification,full,BiLSTM,20260907,test,full,logistic,full,P37,0.048128342245989275
attention_primary,classification,full,BiLSTM,20260907,test,full,logistic,full,P39,-0.0020833333333332704
attention_primary,classification,full,BiLSTM,20260907,test,full,logistic,full,P45,-0.009387697912288107
attention_primary,classification,full,BiLSTM,20260907,test,full,logistic,full,P5,0.03632478632478631
attention_primary,classification,full,BiLSTM,20260908,validation,matched,logistic,full,P23,-0.07729468599033817
attention_primary,classification,full,BiLSTM,20260908,validation,matched,logistic,full,P28,-0.020149343974847356
attention_primary,classification,full,BiLSTM,20260908,validation,matched,logistic,full,P31,0.05641025641025643
attention_primary,classification,full,BiLSTM,20260908,validation,matched,logistic,full,P32,0.068755075994895
attention_primary,classification,full,BiLSTM,20260908,validation,matched,logistic,full,P38,-0.001322751322751281
attention_primary,classification,full,BiLSTM,20260908,validation,matched,logistic,full,P41,0.02532019704433497
attention_primary,classification,full,BiLSTM,20260908,validation,matched,logistic,full,P47,-0.03585657370517925
attention_primary,classification,full,BiLSTM,20260908,validation,matched,logistic,full,P6,0.04882333661094718
attention_primary,classification,full,BiLSTM,20260908,validation,full,logistic,full,P23,-0.07729468599033817
attention_primary,classification,full,BiLSTM,20260908,validation,full,logistic,full,P28,-0.020149343974847356
attention_primary,classification,full,BiLSTM,20260908,validation,full,logistic,full,P31,0.05641025641025643
attention_primary,classification,full,BiLSTM,20260908,validation,full,logistic,full,P32,0.068755075994895
attention_primary,classification,full,BiLSTM,20260908,validation,full,logistic,full,P38,-0.001322751322751281
attention_primary,classification,full,BiLSTM,20260908,validation,full,logistic,full,P41,0.02532019704433497
attention_primary,classification,full,BiLSTM,20260908,validation,full,logistic,full,P47,-0.03585657370517925
attention_primary,classification,full,BiLSTM,20260908,validation,full,logistic,full,P6,0.04882333661094718
attention_primary,classification,full,BiLSTM,20260908,test,matched,logistic,full,P10,0.017531202654931077
attention_primary,classification,full,BiLSTM,20260908,test,matched,logistic,full,P11,-0.0331262939958592
attention_primary,classification,full,BiLSTM,20260908,test,matched,logistic,full,P15,0.03702081051478645
attention_primary,classification,full,BiLSTM,20260908,test,matched,logistic,full,P16,-0.036809815950920255
attention_primary,classification,full,BiLSTM,20260908,test,matched,logistic,full,P37,0.04278074866310161
attention_primary,classification,full,BiLSTM,20260908,test,matched,logistic,full,P39,0.010416666666666685
attention_primary,classification,full,BiLSTM,20260908,test,matched,logistic,full,P45,-0.02938409495786548
attention_primary,classification,full,BiLSTM,20260908,test,matched,logistic,full,P5,0.02777777777777779
attention_primary,classification,full,BiLSTM,20260908,test,full,logistic,full,P10,0.017531202654931077
attention_primary,classification,full,BiLSTM,20260908,test,full,logistic,full,P11,-0.0331262939958592
attention_primary,classification,full,BiLSTM,20260908,test,full,logistic,full,P15,0.03702081051478645
attention_primary,classification,full,BiLSTM,20260908,test,full,logistic,full,P16,-0.036809815950920255
attention_primary,classification,full,BiLSTM,20260908,test,full,logistic,full,P37,0.04278074866310161
attention_primary,classification,full,BiLSTM,20260908,test,full,logistic,full,P39,0.010416666666666685
attention_primary,classification,full,BiLSTM,20260908,test,full,logistic,full,P45,-0.02938409495786548
attention_primary,classification,full,BiLSTM,20260908,test,full,logistic,full,P5,0.02777777777777779
attention_primary,classification,full,MLP_current,20260907,validation,matched,logistic,full,P23,-0.019323671497584516
attention_primary,classification,full,MLP_current,20260907,validation,matched,logistic,full,P28,-0.024593385331640405
attention_primary,classification,full,MLP_current,20260907,validation,matched,logistic,full,P31,0.01025641025641022
attention_primary,classification,full,MLP_current,20260907,validation,matched,logistic,full,P32,0.02646478709827127
attention_primary,classification,full,MLP_current,20260907,validation,matched,logistic,full,P38,0.010378108204195158
attention_primary,classification,full,MLP_current,20260907,validation,matched,logistic,full,P41,0.02973180076628351
attention_primary,classification,full,MLP_current,20260907,validation,matched,logistic,full,P47,0.02257636122177964
attention_primary,classification,full,MLP_current,20260907,validation,matched,logistic,full,P6,0.05021304490331041
attention_primary,classification,full,MLP_current,20260907,validation,full,logistic,full,P23,-0.019323671497584516
attention_primary,classification,full,MLP_current,20260907,validation,full,logistic,full,P28,-0.024593385331640405
attention_primary,classification,full,MLP_current,20260907,validation,full,logistic,full,P31,0.01025641025641022
attention_primary,classification,full,MLP_current,20260907,validation,full,logistic,full,P32,0.02646478709827127
attention_primary,classification,full,MLP_current,20260907,validation,full,logistic,full,P38,0.010378108204195158
attention_primary,classification,full,MLP_current,20260907,validation,full,logistic,full,P41,0.02973180076628351
attention_primary,classification,full,MLP_current,20260907,validation,full,logistic,full,P47,0.02257636122177964
attention_primary,classification,full,MLP_current,20260907,validation,full,logistic,full,P6,0.05021304490331041
attention_primary,classification,full,MLP_current,20260907,test,matched,logistic,full,P10,0.02604429694827215
attention_primary,classification,full,MLP_current,20260907,test,matched,logistic,full,P11,-0.026915113871635643
attention_primary,classification,full,MLP_current,20260907,test,matched,logistic,full,P15,-0.007569672629913593
attention_primary,classification,full,MLP_current,20260907,test,matched,logistic,full,P16,-0.02862985685071573
attention_primary,classification,full,MLP_current,20260907,test,matched,logistic,full,P37,0.003565062388591833
attention_primary,classification,full,MLP_current,20260907,test,matched,logistic,full,P39,0.006249999999999922
attention_primary,classification,full,MLP_current,20260907,test,matched,logistic,full,P45,-0.027102223823535332
attention_primary,classification,full,MLP_current,20260907,test,matched,logistic,full,P5,-0.021367521367521347
attention_primary,classification,full,MLP_current,20260907,test,full,logistic,full,P10,0.02604429694827215
attention_primary,classification,full,MLP_current,20260907,test,full,logistic,full,P11,-0.026915113871635643
attention_primary,classification,full,MLP_current,20260907,test,full,logistic,full,P15,-0.007569672629913593
attention_primary,classification,full,MLP_current,20260907,test,full,logistic,full,P16,-0.02862985685071573
attention_primary,classification,full,MLP_current,20260907,test,full,logistic,full,P37,0.003565062388591833
attention_primary,classification,full,MLP_current,20260907,test,full,logistic,full,P39,0.006249999999999922
attention_primary,classification,full,MLP_current,20260907,test,full,logistic,full,P45,-0.027102223823535332
attention_primary,classification,full,MLP_current,20260907,test,full,logistic,full,P5,-0.021367521367521347
attention_primary,classification,full,MLP_current,20260908,validation,matched,logistic,full,P23,-0.106280193236715
attention_primary,classification,full,MLP_current,20260908,validation,matched,logistic,full,P28,0.02503174315254847
attention_primary,classification,full,MLP_current,20260908,validation,matched,logistic,full,P31,0.04957264957264962
attention_primary,classification,full,MLP_current,20260908,validation,matched,logistic,full,P32,0.0762965541246084
attention_primary,classification,full,MLP_current,20260908,validation,matched,logistic,full,P38,-0.040895497417236526
attention_primary,classification,full,MLP_current,20260908,validation,matched,logistic,full,P41,0.021499726327312507
attention_primary,classification,full,MLP_current,20260908,validation,matched,logistic,full,P47,0.01726427622841964
attention_primary,classification,full,MLP_current,20260908,validation,matched,logistic,full,P6,0.03129465748934779
attention_primary,classification,full,MLP_current,20260908,validation,full,logistic,full,P23,-0.106280193236715
attention_primary,classification,full,MLP_current,20260908,validation,full,logistic,full,P28,0.02503174315254847
attention_primary,classification,full,MLP_current,20260908,validation,full,logistic,full,P31,0.04957264957264962
attention_primary,classification,full,MLP_current,20260908,validation,full,logistic,full,P32,0.0762965541246084
