task,kind,subset,model,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
arousal_primary_6s,classification,Eye_Pupil_no_quality,logistic,test,all,0.3539100964038365,4025,8,0.3322472000933332,0.3263303449973331,,,
arousal_primary_6s,classification,Eye_Pupil_no_quality,logistic,test,history_8,0.33531856518398356,1375,8,0.32818779760726347,0.31160884878511447,,,
arousal_primary_6s,classification,full,random_forest,validation,all,0.3332106454141537,4662,8,0.324337740489266,0.3187443059447876,,,
arousal_primary_6s,classification,full,random_forest,validation,history_8,0.3335124149196086,1591,8,0.3323220313760505,0.321386227003868,,,
arousal_primary_6s,classification,full,random_forest,test,all,0.3522082670963455,4025,8,0.33646187703304536,0.33585510185942513,,,
arousal_primary_6s,classification,full,random_forest,test,history_8,0.33653753531399594,1375,8,0.33326814171723623,0.33372875131879803,,,
arousal_primary_6s,classification,Pupil,random_forest,validation,all,0.3542155334693491,4662,8,0.356349061960078,0.3503714940108424,,,
arousal_primary_6s,classification,Pupil,random_forest,validation,history_8,0.3497317969044995,1591,8,0.3551222001053999,0.34815365811114196,,,
arousal_primary_6s,classification,Pupil,random_forest,test,all,0.34079410401483123,4025,8,0.33146042502388123,0.33094091882903587,,,
arousal_primary_6s,classification,Pupil,random_forest,test,history_8,0.3146450079928767,1375,8,0.3215374452689414,0.32151312140584404,,,
arousal_primary_6s,classification,Eye_Pupil,random_forest,validation,all,0.3509955983922262,4662,8,0.35264695898205817,0.3443512372547463,,,
arousal_primary_6s,classification,Eye_Pupil,random_forest,validation,history_8,0.3518121934406374,1591,8,0.3467335765810824,0.3379884863217866,,,
arousal_primary_6s,classification,Eye_Pupil,random_forest,test,all,0.34561374086223146,4025,8,0.3302927623973191,0.3297956535089021,,,
arousal_primary_6s,classification,Eye_Pupil,random_forest,test,history_8,0.33125762676720505,1375,8,0.3225529582511691,0.32138149603417093,,,
arousal_primary_6s,classification,Pupil_no_quality,random_forest,validation,all,0.34560738900648774,4662,8,0.34579005104499433,0.34310280450394576,,,
arousal_primary_6s,classification,Pupil_no_quality,random_forest,validation,history_8,0.3289859668762723,1591,8,0.3374034477627137,0.3362287817206529,,,
arousal_primary_6s,classification,Pupil_no_quality,random_forest,test,all,0.34485724443626153,4025,8,0.33710353994023423,0.335265052817149,,,
arousal_primary_6s,classification,Pupil_no_quality,random_forest,test,history_8,0.3526046449612037,1375,8,0.33985276149525934,0.3366777315943062,,,
arousal_primary_6s,classification,Eye_Pupil_no_quality,random_forest,validation,all,0.3456662429237695,4662,8,0.35035664748338496,0.3468787049044981,,,
arousal_primary_6s,classification,Eye_Pupil_no_quality,random_forest,validation,history_8,0.35390879434124034,1591,8,0.35256845678660104,0.35044259861128,,,
arousal_primary_6s,classification,Eye_Pupil_no_quality,random_forest,test,all,0.35217452376406155,4025,8,0.33773736985877,0.33680523458067485,,,
arousal_primary_6s,classification,Eye_Pupil_no_quality,random_forest,test,history_8,0.33377656851630055,1375,8,0.32834828556025775,0.32445534563408085,,,
arousal_primary_6s,regression,full,dummy_mean,validation,all,-0.9999999996369124,4662,8,,,0.0,0.6698679234697206,0.999999999621039
arousal_primary_6s,regression,full,dummy_mean,validation,history_8,-0.9137886233807578,1591,8,,,-2.7093719587645282e-05,0.6639322673736079,0.9360264654675391
arousal_primary_6s,regression,full,dummy_mean,test,all,-0.9999999974567013,4025,8,,,0.0,0.6452380661794039,0.9999999974726288
arousal_primary_6s,regression,full,dummy_mean,test,history_8,-1.079250841988439,1375,8,,,-8.822120460694194e-05,0.7135751679503067,1.077626467931308
arousal_primary_6s,regression,full,ridge,validation,all,-0.9939618957039973,4662,8,,,0.0054268447700625,0.6647032667689019,0.994573154853033
arousal_primary_6s,regression,full,ridge,validation,history_8,-0.9104277290980417,1591,8,,,0.002831863663081635,0.6632547361666665,0.9333504781961657
arousal_primary_6s,regression,full,ridge,test,all,-0.9948261417590517,4025,8,,,0.005100988430309705,0.6486429360847853,0.9948990090552111
arousal_primary_6s,regression,full,ridge,test,history_8,-1.0771515767222302,1375,8,,,0.0012112624212711198,0.719488434794711,1.0762262335117854
arousal_primary_6s,regression,Pupil,ridge,validation,all,-0.9972688170272006,4662,8,,,0.002285935214153212,0.6652249965035307,0.9977140644077521
arousal_primary_6s,regression,Pupil,ridge,validation,history_8,-0.911599912445933,1591,8,,,0.0002442899358826578,0.6595958199650658,0.9357724500659457
arousal_primary_6s,regression,Pupil,ridge,test,all,-1.0007168525801038,4025,8,,,-0.00067177134430918,0.6461741650016045,1.00067176881524
arousal_primary_6s,regression,Pupil,ridge,test,history_8,-1.0813585012552738,1375,8,,,-0.002071478644933844,0.7145265212829467,1.0797634901110549
arousal_primary_6s,regression,Eye_Pupil,ridge,validation,all,-0.9936356439327338,4662,8,,,0.005766272967978048,0.6634076451105048,0.9942337266552462
arousal_primary_6s,regression,Eye_Pupil,ridge,validation,history_8,-0.9082194002634024,1591,8,,,0.004414378886891446,0.6592228230536691,0.9318692421968671
arousal_primary_6s,regression,Eye_Pupil,ridge,test,all,-0.9938060768664954,4025,8,,,0.006117171060902593,0.6463435585264968,0.9938828264271866
arousal_primary_6s,regression,Eye_Pupil,ridge,test,history_8,-1.0712214087775196,1375,8,,,0.0071329247670371965,0.7146330176747155,1.069845456353683
arousal_primary_6s,regression,Pupil_no_quality,ridge,validation,all,-0.997147289103721,4662,8,,,0.0026807787109818237,0.6659060952570331,0.9973192209110731
arousal_primary_6s,regression,Pupil_no_quality,ridge,validation,history_8,-0.9104851766239008,1591,8,,,0.00220178120006731,0.6608201988360536,0.9339402360782393
arousal_primary_6s,regression,Pupil_no_quality,ridge,test,all,-1.0008014940193528,4025,8,,,-0.0008363690838857352,0.6462782360853676,1.0008363665544007
arousal_primary_6s,regression,Pupil_no_quality,ridge,test,history_8,-1.080868279430693,1375,8,,,-0.001989737348845333,0.7149398277884574,1.079675411297286
arousal_primary_6s,regression,Eye_Pupil_no_quality,ridge,validation,all,-0.9938396474202861,4662,8,,,0.00579839766138901,0.6638238014785148,0.9942016019618474
arousal_primary_6s,regression,Eye_Pupil_no_quality,ridge,validation,history_8,-0.9084176132695818,1591,8,,,0.004706217400272328,0.6603195011812409,0.9315960810256521
arousal_primary_6s,regression,Eye_Pupil_no_quality,ridge,test,all,-0.9937239194762175,4025,8,,,0.00612733276212718,0.6465380202869213,0.9938726647259877
arousal_primary_6s,regression,Eye_Pupil_no_quality,ridge,test,history_8,-1.0707612824329014,1375,8,,,0.007218929158399612,0.7151505385893975,1.0697527839208663
arousal_primary_6s,regression,full,random_forest,validation,all,-1.029975304647635,4662,8,,,-0.0352220966456096,0.6931701910714176,1.0352220962533007
arousal_primary_6s,regression,full,random_forest,validation,history_8,-0.9481927169059491,1591,8,,,-0.043542909928008466,0.6860784449028708,0.9767573175547573
arousal_primary_6s,regression,full,random_forest,test,all,-1.0072807954844167,4025,8,,,-0.0073306902174126165,0.6496459962009374,1.007330687671514
arousal_primary_6s,regression,full,random_forest,test,history_8,-1.0768677759710623,1375,8,,,0.00026401007501808404,0.7164509813467043,1.07724692766505
arousal_primary_6s,regression,Pupil,random_forest,validation,all,-1.0390332960362554,4662,8,,,-0.0395192621290108,0.6885042554542964,1.0395192617350737
arousal_primary_6s,regression,Pupil,random_forest,validation,history_8,-0.9481619642582595,1591,8,,,-0.0363795012393926,0.6771611345219751,0.9700523591015169
arousal_primary_6s,regression,Pupil,random_forest,test,all,-1.0321335910596585,4025,8,,,-0.03228563935050577,0.6622410335162539,1.0322856367415367
arousal_primary_6s,regression,Pupil,random_forest,test,history_8,-1.1060271058262527,1375,8,,,-0.02686586581564887,0.730224160058004,1.1064802210001716
arousal_primary_6s,regression,Eye_Pupil,random_forest,validation,all,-1.0225017390545588,4662,8,,,-0.021444219541653986,0.6788033289724146,1.0214442191545665
arousal_primary_6s,regression,Eye_Pupil,random_forest,validation,history_8,-0.9526971368063663,1591,8,,,-0.03987961239202131,0.6784198123793611,0.9733284670105063
arousal_primary_6s,regression,Eye_Pupil,random_forest,test,all,-1.0158264237255255,4025,8,,,-0.01601698073193103,0.6603199296092428,1.0160169781640789
arousal_primary_6s,regression,Eye_Pupil,random_forest,test,history_8,-1.097330894162506,1375,8,,,-0.01969725094041319,0.7308994805164118,1.0987558133287612
arousal_primary_6s,regression,Pupil_no_quality,random_forest,validation,all,-1.0406000801548443,4662,8,,,-0.04127398320868392,0.6933100454109117,1.0412739828140816
arousal_primary_6s,regression,Pupil_no_quality,random_forest,validation,history_8,-0.9466467249326148,1591,8,,,-0.03349719257553874,0.6862666871507289,0.9673545150051347
arousal_primary_6s,regression,Pupil_no_quality,random_forest,test,all,-1.0445624505159632,4025,8,,,-0.04455932552850084,0.6673361479139409,1.0445593228885117
arousal_primary_6s,regression,Pupil_no_quality,random_forest,test,history_8,-1.1273130642138782,1375,8,,,-0.04600865660569142,0.7341106670001705,1.1271071792904854
arousal_primary_6s,regression,Eye_Pupil_no_quality,random_forest,validation,all,-1.016728531859366,4662,8,,,-0.014671665549645274,0.677912472868097,1.0146716651651242
arousal_primary_6s,regression,Eye_Pupil_no_quality,random_forest,validation,history_8,-0.944270496635355,1591,8,,,-0.028156152852838234,0.6777234967409758,0.9623552959190138
arousal_primary_6s,regression,Eye_Pupil_no_quality,random_forest,test,all,-1.017277271382585,4025,8,,,-0.01763820552026707,0.6611473991252026,1.0176382029483177
arousal_primary_6s,regression,Eye_Pupil_no_quality,random_forest,test,history_8,-1.1019689584961867,1375,8,,,-0.023713766626929145,0.7325144010311261,1.1030837351269376
