task,kind,subset,architecture,seed,split,feature,baseline,temporal_importance,temporal_low,temporal_high,baseline_importance,differential_importance,differential_low,differential_high,positive_participants,participants,gain_before,gain_after,repeats
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,eeg_theta_relative,ridge,-0.0026298459372559786,-0.005639431821230228,-0.00014850959359217494,0.0008300316421359839,-0.0034598775793919625,-0.006436180999929633,-0.001177681673263631,1,8,-0.00036338747331014776,0.0030964901060818143,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,eeg_alpha_relative,ridge,-0.00043801035373068896,-0.001602682772619469,0.0008058847171674892,0.00034857810967131586,-0.0007865884634020047,-0.0026963783621456014,0.0010055077072229736,2,8,-0.00036338747331014776,0.00042320099009185777,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,eeg_beta_relative,ridge,-0.0014846128564597215,-0.0024290849797394113,-0.0005210580710774537,0.0039165180393068546,-0.005401130895766576,-0.009435171418532496,-0.001667542883025869,1,8,-0.00036338747331014776,0.005037743422456428,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,eeg_gamma_relative,ridge,0.0016939557697157577,0.0002702435368434952,0.0034699090286597484,0.0013476867409669996,0.000346269028748758,-0.002123777377462678,0.002948189628836205,4,8,-0.00036338747331014776,-0.0007096565020589054,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,eeg_line_noise_ratio,ridge,8.306641520670064e-05,-0.002287740261285764,0.0022623166457198625,0.00013479198579876005,-5.172557059205936e-05,-0.002310002677563641,0.0018732736013351331,4,8,-0.00036338747331014776,-0.0003116619027180886,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,gaze_dispersion_x_px,ridge,0.0019233734284152286,0.000524346351808885,0.003683705568219464,-3.503157194545414e-06,0.001926876585609774,0.0004996069467886119,0.0036975412595020084,6,8,-0.00036338747331014776,-0.0022902640589199216,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,gaze_dispersion_y_px,ridge,-5.738553786684703e-05,-0.0010784377434676917,0.0011095224914723877,0.0002082331880483207,-0.00026561872591516773,-0.0015474485533372119,0.0011811340659850763,4,8,-0.00036338747331014776,-9.776874739497905e-05,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,gaze_dispersion_2d_px,ridge,0.0007783858936031701,-0.0002905429593247938,0.0019182929691964616,0.00013334023991740386,0.0006450456536857663,-0.000491332677031721,0.001646638968529453,6,8,-0.00036338747331014776,-0.0010084331269959138,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,gaze_path_length_px,ridge,0.003419520505856346,-0.000997734998781991,0.010100043756701791,0.0019263488193941025,0.001493171686462244,-0.0010005552301367573,0.005012919405215995,5,8,-0.00036338747331014776,-0.0018565591597723909,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,fixation_count,ridge,0.00017185688908331328,-0.0008995768274661612,0.0012508546088856056,0.0002509300653443262,-7.907317626101298e-05,-0.002665132658564907,0.0023277138615989852,5,8,-0.00036338747331014776,-0.00028431429704913434,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,fixation_total_ms,ridge,-0.00044327869487324745,-0.0018324165929820026,0.0008243285132400769,-2.4361302047418157e-05,-0.00041891739282582947,-0.001790149671709433,0.0008297751718026979,3,8,-0.00036338747331014776,5.552991951568095e-05,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,fixation_mean_ms,ridge,0.001778604480979723,2.866597274601369e-05,0.004105244054813207,-0.0002699533310154961,0.0020485578119952192,-0.00047290019149673747,0.004950541543081955,5,8,-0.00036338747331014776,-0.0024119452853053674,5
arousal_primary_6s,regression,full,BiLSTM,20260907,validation,fixation_median_ms,ridge,0.00028087733103759904,-0.0032655060504251255,0.0038006235769450854,0.00011097474741221802,0.0001699025836253807,-0.0031677672591707423,0.0033744227736325905,5,8,-0.00036338747331014776,-0.0005332900569355286,5
