task,kind,subset,architecture,seed,split,feature,participant,temporal_importance,baseline_importance,differential_importance
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,validation,modalidad:Pupil,P6,0.05781055391674855,-0.01771878072763028,0.07552933464437883
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_mean_z,P10,-0.0031310872231440634,-0.0018300747901786707,-0.0013010124329653928
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_mean_z,P11,-0.00331262939958592,-0.009937888198757749,0.006625258799171829
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_mean_z,P15,0.01683826213946696,-0.005904831447000131,0.02274309358646709
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_mean_z,P16,0.015132924335378283,0.02576687116564417,-0.010633946830265886
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_mean_z,P37,-0.11810926949048499,0.08434622467771638,-0.20245549416820136
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_mean_z,P39,0.012083333333333302,-0.01499999999999998,0.027083333333333282
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_mean_z,P45,-0.017446305970896126,-0.02281070477791789,0.005364398807021765
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_mean_z,P5,-0.0038461538461538325,-0.018376068376068377,0.014529914529914544
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_std_z,P10,-0.03398985162205707,-0.0388572253084193,0.004867373686362232
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_std_z,P11,-0.0178053830227743,-0.008695652173912983,-0.009109730848861318
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_std_z,P15,-0.013769015455762446,-0.03908969210174033,0.025320676645977883
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_std_z,P16,0.021676891615541892,0.03394683026584868,-0.012269938650306789
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_std_z,P37,0.04999999999999997,-0.08459177409453654,0.13459177409453651
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_std_z,P39,-0.014166666666666694,-0.02124999999999998,0.007083333333333287
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_std_z,P45,0.05861606517344224,-0.0245901639344262,0.08320622910786844
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_std_z,P5,0.049572649572649605,0.00982905982905984,0.03974358974358977
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_min_z,P10,-0.010290262847798359,-0.022559699877353696,0.012269437029555337
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_min_z,P11,0.002898550724637694,-0.003312629399585898,0.006211180124223592
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_min_z,P15,-0.014460265303638786,-0.04341487160764272,0.028954606304003934
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_min_z,P16,0.01717791411042937,0.047443762781186075,-0.030265848670756705
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_min_z,P37,0.06461019030079804,0.056230816451810925,0.008379373848987112
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_min_z,P39,-0.03416666666666668,-0.005833333333333324,-0.028333333333333356
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_min_z,P45,-0.04308532997057586,-0.03342941211793669,-0.009655917852639175
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_min_z,P5,0.013675213675213727,0.002136752136752129,0.011538461538461598
arousal_primary_6s,classification,Pupil_no_quality,BiLSTM,20260907,test,pupil_max_z,P10,0.0068465478681192125,-0.028134093259264588,0.0349806411273838
