task,subset,kind,architecture,seed,epoch,train_loss,validation_macro_score
attention_primary,EEG,regression,TCN,20260907,8,0.9990474588241284,-1.001983660862904
attention_primary,EEG,regression,TCN,20260907,9,0.9986582003518415,-1.0013171459067034
attention_primary,EEG,regression,TCN,20260907,10,0.9956195629302371,-1.0016804096067862
attention_primary,EEG,regression,TCN,20260907,11,0.9986665293649257,-1.0016702302579084
attention_primary,EEG,regression,TCN,20260907,12,0.998116883096946,-1.0016595961900912
attention_primary,EEG,regression,TCN,20260908,1,1.0266166304526545,-0.999181570514271
attention_primary,EEG,regression,TCN,20260908,2,1.011978562821019,-0.9980794995046209
attention_primary,EEG,regression,TCN,20260908,3,1.0055636036364295,-0.9985479410562988
attention_primary,EEG,regression,TCN,20260908,4,1.005079462467584,-0.9993743975748206
attention_primary,EEG,regression,TCN,20260908,5,0.9999636948302595,-1.0000515401929162
attention_primary,EEG,regression,TCN,20260908,6,1.0002428941457309,-0.9993056501787585
attention_primary,EEG,regression,TCN,20260908,7,0.9975430036007177,-0.9993115225689327
attention_primary,EEG,regression,TCN,20260908,8,1.000469701771763,-0.9996577828365353
attention_primary,EEG,regression,LSTM,20260907,1,1.004036884729554,-1.000676147299429
attention_primary,EEG,regression,LSTM,20260907,2,1.0013795966264307,-0.9999289609744593
attention_primary,EEG,regression,LSTM,20260907,3,0.9987541860428409,-1.0001430252504795
attention_primary,EEG,regression,LSTM,20260907,4,0.9998781389119674,-1.0004673658617529
attention_primary,EEG,regression,LSTM,20260907,5,0.998572167896089,-0.999413578256491
attention_primary,EEG,regression,LSTM,20260907,6,0.9977533247512461,-0.9995393105289878
attention_primary,EEG,regression,LSTM,20260907,7,0.9981596033201525,-0.9991425918228083
attention_primary,EEG,regression,LSTM,20260907,8,0.9972478486983178,-0.9997789736228772
attention_primary,EEG,regression,LSTM,20260907,9,0.9966743042115733,-0.9994492332409712
attention_primary,EEG,regression,LSTM,20260907,10,0.9970176723961716,-0.9999105772971526
attention_primary,EEG,regression,LSTM,20260907,11,0.9958085039951716,-0.9996522588202159
attention_primary,EEG,regression,LSTM,20260907,12,0.9943797443435588,-0.9997907052018176
attention_primary,EEG,regression,LSTM,20260907,13,0.9956959782003545,-1.0006959335398269
attention_primary,EEG,regression,LSTM,20260908,1,1.0033929959375878,-0.999604875827902
attention_primary,EEG,regression,LSTM,20260908,2,1.0003849871586639,-0.9994687542387923
attention_primary,EEG,regression,LSTM,20260908,3,0.9988258572698028,-0.9990255110847398
attention_primary,EEG,regression,LSTM,20260908,4,0.9990457286851641,-0.9994399154745489
attention_primary,EEG,regression,LSTM,20260908,5,0.9987690008381209,-0.9997246575009041
attention_primary,EEG,regression,LSTM,20260908,6,0.9995497244414899,-0.9999047876199594
attention_primary,EEG,regression,LSTM,20260908,7,0.9978325400116951,-0.9998309145654005
attention_primary,EEG,regression,LSTM,20260908,8,0.9982457801245684,-1.0002624418053414
attention_primary,EEG,regression,LSTM,20260908,9,0.99744539707238,-1.0011524712789446
attention_primary,EEG,regression,BiLSTM,20260907,1,1.0024037722898143,-0.9991440021102472
attention_primary,EEG,regression,BiLSTM,20260907,2,1.0009344459390965,-0.9991756207019142
attention_primary,EEG,regression,BiLSTM,20260907,3,0.9982251390237422,-1.0003170233147323
attention_primary,EEG,regression,BiLSTM,20260907,4,0.9982263113189399,-0.9990326319089768
attention_primary,EEG,regression,BiLSTM,20260907,5,0.9966396632119771,-0.999408674266887
attention_primary,EEG,regression,BiLSTM,20260907,6,0.9971002389678797,-0.9996842436309301
attention_primary,EEG,regression,BiLSTM,20260907,7,0.9949960270177609,-0.9990169551934454
attention_primary,EEG,regression,BiLSTM,20260907,8,0.9943307081435214,-0.9993784277113124
attention_primary,EEG,regression,BiLSTM,20260907,9,0.9935567362426266,-1.001025538236259
attention_primary,EEG,regression,BiLSTM,20260907,10,0.9948128853560693,-1.001841445285383
attention_primary,EEG,regression,BiLSTM,20260908,1,1.0041698368827607,-1.0006819011780883
attention_primary,EEG,regression,BiLSTM,20260908,2,1.0006684472806988,-1.0005740962450855
attention_primary,EEG,regression,BiLSTM,20260908,3,0.9991434752958761,-1.00063834919335
attention_primary,EEG,regression,BiLSTM,20260908,4,0.9985157156336135,-1.00081500750899
attention_primary,EEG,regression,BiLSTM,20260908,5,0.9976273319207152,-1.0007557892622183
attention_primary,EEG,regression,BiLSTM,20260908,6,0.9976274484856106,-1.0004518456744131
attention_primary,EEG,regression,BiLSTM,20260908,7,0.9964466338783846,-1.0011174976990542
attention_primary,EEG,regression,BiLSTM,20260908,8,0.99499373304107,-1.0014222092912428
attention_primary,EEG,regression,BiLSTM,20260908,9,0.9967808504493869,-1.0010946541197963
attention_primary,EEG,regression,BiLSTM,20260908,10,0.9929404139553997,-1.0017909329558639
attention_primary,EEG,regression,BiLSTM,20260908,11,0.9935596755572728,-1.0019301829155376
attention_primary,EEG,regression,BiLSTM,20260908,12,0.9920244639669428,-1.0041153847073199
attention_primary,compact_no_noise,classification,TCN,20260907,1,1.1269066526635234,0.34031318096958296
attention_primary,compact_no_noise,classification,TCN,20260907,2,1.1056379860796473,0.3350939471610062
attention_primary,compact_no_noise,classification,TCN,20260907,3,1.1036860101570642,0.3358420843809695
attention_primary,compact_no_noise,classification,TCN,20260907,4,1.1000591781286755,0.3394306778271656
attention_primary,compact_no_noise,classification,TCN,20260907,5,1.0990043908877685,0.3293024052118138
attention_primary,compact_no_noise,classification,TCN,20260907,6,1.0969712036102348,0.3348808713114234
attention_primary,compact_no_noise,classification,TCN,20260907,7,1.0965321638357777,0.33875044458772235
attention_primary,compact_no_noise,classification,TCN,20260907,8,1.0944303522022545,0.3366762973773554
attention_primary,compact_no_noise,classification,TCN,20260908,1,1.1132454245938805,0.33171146667324936
attention_primary,compact_no_noise,classification,TCN,20260908,2,1.1033085747535185,0.3343082260443297
attention_primary,compact_no_noise,classification,TCN,20260908,3,1.100888880954202,0.3341860897331468
attention_primary,compact_no_noise,classification,TCN,20260908,4,1.0982581459534517,0.33489568250236673
attention_primary,compact_no_noise,classification,TCN,20260908,5,1.0974199844161212,0.33178325684411647
attention_primary,compact_no_noise,classification,TCN,20260908,6,1.0966254946960567,0.33091692363455055
attention_primary,compact_no_noise,classification,TCN,20260908,7,1.095732429153783,0.33642950854279596
attention_primary,compact_no_noise,classification,TCN,20260908,8,1.0951553708665718,0.3297144781096394
attention_primary,compact_no_noise,classification,TCN,20260908,9,1.0944702293843922,0.32861375791393344
attention_primary,compact_no_noise,classification,TCN,20260908,10,1.0923157457556467,0.321784418956779
attention_primary,compact_no_noise,classification,TCN,20260908,11,1.0931280511471337,0.3296525035122272
attention_primary,compact_no_noise,classification,TCN,20260908,12,1.0935778917204309,0.3278403249044328
attention_primary,compact_no_noise,classification,TCN,20260908,13,1.0926745138870686,0.32818369708728423
attention_primary,compact_no_noise,classification,LSTM,20260907,1,1.1005817189508555,0.3261820222207179
attention_primary,compact_no_noise,classification,LSTM,20260907,2,1.0985026905008477,0.32623660069238625
attention_primary,compact_no_noise,classification,LSTM,20260907,3,1.0976814021375962,0.33185493641563113
attention_primary,compact_no_noise,classification,LSTM,20260907,4,1.0970847082363717,0.32943465667049465
attention_primary,compact_no_noise,classification,LSTM,20260907,5,1.0966503721339855,0.32358050417173945
attention_primary,compact_no_noise,classification,LSTM,20260907,6,1.0960878133773804,0.33133516965419
attention_primary,compact_no_noise,classification,LSTM,20260907,7,1.0955170707496726,0.32148220734915667
attention_primary,compact_no_noise,classification,LSTM,20260907,8,1.094567219980438,0.3237730959654052
attention_primary,compact_no_noise,classification,LSTM,20260907,9,1.0940932074230616,0.324176187285245
attention_primary,compact_no_noise,classification,LSTM,20260908,1,1.1010976888060886,0.33250397752227323
attention_primary,compact_no_noise,classification,LSTM,20260908,2,1.0984217141091348,0.32628604960031227
attention_primary,compact_no_noise,classification,LSTM,20260908,3,1.097579963564767,0.3280154080469895
