task,kind,subset,architecture,seed,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
attention_primary,classification,EEG,TCN,20260908,validation,history_8,0.3442304563096392,1591,8,0.353013123077034,0.34257872122045346,,,
attention_primary,classification,EEG,TCN,20260908,test,all,0.3285168019964519,4025,8,0.32922728587818256,0.32165341587987706,,,
attention_primary,classification,EEG,TCN,20260908,test,history_8,0.33483952821871565,1375,8,0.3430143888629162,0.33610137520154887,,,
attention_primary,classification,EEG,LSTM,20260907,validation,all,0.34751343057779743,4662,8,0.34537777174509793,0.3434437166281808,,,
attention_primary,classification,EEG,LSTM,20260907,validation,history_8,0.3535371946142172,1591,8,0.35999505681725763,0.3446877443226241,,,
attention_primary,classification,EEG,LSTM,20260907,test,all,0.3221811646068259,4025,8,0.3217234878583762,0.319834460863746,,,
attention_primary,classification,EEG,LSTM,20260907,test,history_8,0.3178545356388863,1375,8,0.3332112617526362,0.32167201418876723,,,
attention_primary,classification,EEG,LSTM,20260908,validation,all,0.35132630476153065,4662,8,0.3486267284869211,0.33958593367228335,,,
attention_primary,classification,EEG,LSTM,20260908,validation,history_8,0.3507050692247996,1591,8,0.35406382105007755,0.3440054435514071,,,
attention_primary,classification,EEG,LSTM,20260908,test,all,0.3318322643878065,4025,8,0.3311536163335041,0.32249302131779745,,,
attention_primary,classification,EEG,LSTM,20260908,test,history_8,0.323726776805181,1375,8,0.33626720689834294,0.33067364004689953,,,
attention_primary,classification,EEG,BiLSTM,20260907,validation,all,0.35058941312652203,4662,8,0.34746042571223784,0.34563692367365206,,,
attention_primary,classification,EEG,BiLSTM,20260907,validation,history_8,0.35610149317499346,1591,8,0.3581830952875606,0.35713380874671197,,,
attention_primary,classification,EEG,BiLSTM,20260907,test,all,0.3389260850349468,4025,8,0.3388869069912089,0.33607229135593514,,,
attention_primary,classification,EEG,BiLSTM,20260907,test,history_8,0.3242445394979779,1375,8,0.33116565373227363,0.3304388370646389,,,
attention_primary,classification,EEG,BiLSTM,20260908,validation,all,0.34402630716452953,4662,8,0.34263009759147095,0.33722844035016425,,,
attention_primary,classification,EEG,BiLSTM,20260908,validation,history_8,0.3561124320436852,1591,8,0.34519651582749095,0.3451176510847349,,,
attention_primary,classification,EEG,BiLSTM,20260908,test,all,0.3303381371048576,4025,8,0.32992780335722355,0.32823130289391,,,
attention_primary,classification,EEG,BiLSTM,20260908,test,history_8,0.3232529769108507,1375,8,0.3264235624123422,0.3214493840027121,,,
attention_primary,regression,EEG,TCN,20260907,validation,all,-1.0013166386049037,4662,8,,,-0.0011741551221962077,0.7376149572813914,1.0011741554935183
attention_primary,regression,EEG,TCN,20260907,validation,history_8,-0.9562908009210073,1591,8,,,0.0016487223799096506,0.7217145970771816,0.9342782445175806
attention_primary,regression,EEG,TCN,20260907,test,all,-1.0033492841331535,4025,8,,,-0.00347224159554238,0.7349539756198965,1.0034722427768374
attention_primary,regression,EEG,TCN,20260907,test,history_8,-0.9739913446868198,1375,8,,,-0.004878853040454656,0.7295605904884952,0.974943079163788
attention_primary,regression,EEG,TCN,20260908,validation,all,-0.9980794995046209,4662,8,,,0.002161349307009397,0.7375155046304369,0.9978386510630756
attention_primary,regression,EEG,TCN,20260908,validation,history_8,-0.9550146111287892,1591,8,,,0.0020191494912064067,0.7212008625496601,0.933931590990889
attention_primary,regression,EEG,TCN,20260908,test,all,-1.001670362930426,4025,8,,,-0.0018385434683383384,0.7354554945339176,1.0018385446477103
attention_primary,regression,EEG,TCN,20260908,test,history_8,-0.9748441076019241,1375,8,,,-0.005486492948477473,0.7291462450594678,0.9755326172172142
attention_primary,regression,EEG,LSTM,20260907,validation,all,-0.9991425918228083,4662,8,,,0.0009215387315284485,0.735954711717098,0.9990784616390164
attention_primary,regression,EEG,LSTM,20260907,validation,history_8,-0.9524701463533974,1591,8,,,0.005351249852327933,0.7192100479035569,0.9308133409863754
attention_primary,regression,EEG,LSTM,20260907,test,all,-1.003091356639211,4025,8,,,-0.0032758325559285595,0.7348102086455348,1.0032758337369925
attention_primary,regression,EEG,LSTM,20260907,test,history_8,-0.9719623685019056,1375,8,,,-0.002349952882302775,0.7278307722019455,0.9724895160306537
attention_primary,regression,EEG,LSTM,20260908,validation,all,-0.9990255110847398,4662,8,,,0.001215608654361322,0.7373048426299873,0.9987843917160745
attention_primary,regression,EEG,LSTM,20260908,validation,history_8,-0.9530684124252047,1591,8,,,0.004888089142094931,0.7193165749898308,0.9312467765766194
