task,kind,subset,architecture,split,reference_scope,baseline,baseline_subset,mean_gain,low,high,positive_participants,participants,seeds
attention_primary,classification,full,BiLSTM,validation,full,logistic,full,0.003377501055478273,-0.030772237361498728,0.03188036673246833,5,8,2
attention_primary,classification,full,BiLSTM,validation,matched,logistic,full,0.003377501055478273,-0.030772237361498728,0.03188036673246833,5,8,2
attention_primary,classification,full,LSTM,test,MLP_current_full,MLP_current,full,0.011545982530658187,-0.003596792713626877,0.027866229588153577,5,8,2
attention_primary,classification,full,LSTM,test,full,logistic,full,0.009442199936194103,-0.007761930299027717,0.027641786135746693,6,8,2
attention_primary,classification,full,LSTM,test,matched,logistic,full,0.009442199936194103,-0.007761930299027717,0.027641786135746693,6,8,2
attention_primary,classification,full,LSTM,validation,MLP_current_full,MLP_current,full,-0.007686012588371295,-0.017449201073926373,0.0032093439722594153,2,8,2
attention_primary,classification,full,LSTM,validation,full,logistic,full,0.003531948153001216,-0.02418505879813572,0.02638587901598783,5,8,2
attention_primary,classification,full,LSTM,validation,matched,logistic,full,0.003531948153001216,-0.02418505879813572,0.02638587901598783,5,8,2
attention_primary,classification,full,MLP_current,test,full,logistic,full,-0.002103782594464084,-0.016098812853456886,0.010268564187869795,5,8,2
attention_primary,classification,full,MLP_current,test,matched,logistic,full,-0.002103782594464084,-0.016098812853456886,0.010268564187869795,5,8,2
attention_primary,classification,full,MLP_current,validation,full,logistic,full,0.011217960741372511,-0.014991619186705153,0.032719746458889094,6,8,2
attention_primary,classification,full,MLP_current,validation,matched,logistic,full,0.011217960741372511,-0.014991619186705153,0.032719746458889094,6,8,2
attention_primary,classification,full,TCN,test,MLP_current_full,MLP_current,full,0.013292566603706358,-0.0029724929132430916,0.0266517231459447,6,8,2
attention_primary,classification,full,TCN,test,full,logistic,full,0.011188784009242274,-0.002320690504214318,0.026209277267833044,5,8,2
attention_primary,classification,full,TCN,test,matched,logistic,full,0.011188784009242274,-0.002320690504214318,0.026209277267833044,5,8,2
attention_primary,classification,full,TCN,validation,MLP_current_full,MLP_current,full,-0.003024702627978996,-0.01036046585098002,0.004703470197070696,3,8,2
attention_primary,classification,full,TCN,validation,full,logistic,full,0.008193258113393515,-0.019497151828791286,0.032391395366409136,6,8,2
attention_primary,classification,full,TCN,validation,matched,logistic,full,0.008193258113393515,-0.019497151828791286,0.032391395366409136,6,8,2
attention_primary,regression,EEG,BiLSTM,test,full,ridge,full,-0.0016676448396035631,-0.006212234790547862,0.0039650380250640035,2,8,2
attention_primary,regression,EEG,BiLSTM,test,matched,dummy_mean,full,-0.004129585548722628,-0.008779007236480556,0.0007768805492041064,2,8,2
attention_primary,regression,EEG,BiLSTM,validation,full,ridge,full,4.5530116384716324e-05,-0.002630070522669628,0.0033879258642075987,3,8,2
attention_primary,regression,EEG,BiLSTM,validation,matched,dummy_mean,full,0.00025776140207515313,-0.0028219648987311136,0.0034725380413032103,4,8,2
