fold,inner,base_id,family,representation,smoothing,candidate_id,score
1,2,delayed4_m0,ridge,delayed4,1,delayed4_m0_s1,0.3565547617069714
1,2,delayed4_m0,ridge,delayed4,8,delayed4_m0_s8,0.36786416810263384
1,2,delayed4_m0,ridge,delayed4,32,delayed4_m0_s32,0.3693466911723628
1,2,delayed4_m1,ridge,delayed4,1,delayed4_m1_s1,0.36171550039660494
1,2,delayed4_m1,ridge,delayed4,8,delayed4_m1_s8,0.3710928868983671
1,2,delayed4_m1,ridge,delayed4,32,delayed4_m1_s32,0.37596986275965244
1,2,delayed4_m2,rbf,delayed4,1,delayed4_m2_s1,0.34509441349119
1,2,delayed4_m2,rbf,delayed4,8,delayed4_m2_s8,0.3520448670814514
1,2,delayed4_m2,rbf,delayed4,32,delayed4_m2_s32,0.3622069327599172
1,2,delayed4_m3,rbf,delayed4,1,delayed4_m3_s1,0.3533662393421849
1,2,delayed4_m3,rbf,delayed4,8,delayed4_m3_s8,0.3675727733375648
1,2,delayed4_m3,rbf,delayed4,32,delayed4_m3_s32,0.36364869243869397
1,2,delayed4_m4,trees,delayed4,1,delayed4_m4_s1,0.3415288922797733
1,2,delayed4_m4,trees,delayed4,8,delayed4_m4_s8,0.3431931948657348
1,2,delayed4_m4,trees,delayed4,32,delayed4_m4_s32,0.3422018177399039
1,2,delayed4_m5,trees,delayed4,1,delayed4_m5_s1,0.3491686436712189
1,2,delayed4_m5,trees,delayed4,8,delayed4_m5_s8,0.35049305222251814
1,2,delayed4_m5,trees,delayed4,32,delayed4_m5_s32,0.3489684454878274
1,2,relative_m0,ridge,relative,1,relative_m0_s1,0.34048597739108205
1,2,relative_m0,ridge,relative,8,relative_m0_s8,0.34842765325515773
1,2,relative_m0,ridge,relative,32,relative_m0_s32,0.3499427310161487
1,2,relative_m1,ridge,relative,1,relative_m1_s1,0.33891621450566467
1,2,relative_m1,ridge,relative,8,relative_m1_s8,0.345784147904205
1,2,relative_m1,ridge,relative,32,relative_m1_s32,0.3450651780080885
1,2,relative_m2,rbf,relative,1,relative_m2_s1,0.3291832751764741
1,2,relative_m2,rbf,relative,8,relative_m2_s8,0.33605769766334653
1,2,relative_m2,rbf,relative,32,relative_m2_s32,0.34173726353806533
1,2,relative_m3,rbf,relative,1,relative_m3_s1,0.33024471326992333
1,2,relative_m3,rbf,relative,8,relative_m3_s8,0.3451763300502796
1,2,relative_m3,rbf,relative,32,relative_m3_s32,0.34808782876009764
1,2,relative_m4,trees,relative,1,relative_m4_s1,0.3309726936617693
1,2,relative_m4,trees,relative,8,relative_m4_s8,0.3484801721776511
