scope,seed,label,predicted_fraction,global_recall,participant_recall
stack_participant_C0.01,20260911,alto,0.4606625258799172,0.48137142857142856,0.48084368249489967
stack_participant_C0.01,20260912,bajo,0.47833481218574386,0.5222333000997009,0.5224357468039063
stack_participant_C0.01,20260912,medio,0.06100266193433895,0.0641025641025641,0.06375865745390463
stack_participant_C0.01,20260912,alto,0.4606625258799172,0.48137142857142856,0.48084368249489967
stack_participant_C0.1,20260911,bajo,0.4574829931972789,0.4915254237288136,0.49115499978204646
stack_participant_C0.1,20260911,medio,0.09915705412599822,0.10135462022254475,0.1015091263132316
stack_participant_C0.1,20260911,alto,0.44335995267672285,0.4582857142857143,0.45365177632295856
stack_participant_C0.1,20260912,bajo,0.4574829931972789,0.4915254237288136,0.49115499978204646
stack_participant_C0.1,20260912,medio,0.09915705412599822,0.10135462022254475,0.1015091263132316
stack_participant_C0.1,20260912,alto,0.44335995267672285,0.4582857142857143,0.45365177632295856
