fold,inner,candidate_id,family,score
2,2,both_h0.25_geometric_s4,both,0.35455728412179743
2,2,both_h0.5_mean_s1,both,0.3584860465475563
2,2,both_h0.5_mean_s4,both,0.3635847793051431
2,2,both_h0.5_geometric_s1,both,0.3573454047471488
2,2,both_h0.5_geometric_s4,both,0.3637827639751774
2,2,both_h0.75_mean_s1,both,0.35880818703450273
2,2,both_h0.75_mean_s4,both,0.37144392429071305
2,2,both_h0.75_geometric_s1,both,0.3577611744592838
2,2,both_h0.75_geometric_s4,both,0.37105462773714437
2,2,both_h1.0_mean_s1,both,0.3568473809498688
2,2,both_h1.0_mean_s4,both,0.376586207872872
2,2,both_h1.0_geometric_s1,both,0.3577474141076669
2,2,both_h1.0_geometric_s4,both,0.375248469932232
2,2,logistic_h0.0_mean_s1,logistic,0.3354358785154552
2,2,logistic_h0.0_mean_s4,logistic,0.33939268380956195
2,2,logistic_h0.0_geometric_s1,logistic,0.3349751888093305
2,2,logistic_h0.0_geometric_s4,logistic,0.3389146975840159
2,2,logistic_h0.25_mean_s1,logistic,0.34853635404225913
2,2,logistic_h0.25_mean_s4,logistic,0.3534423290584611
2,2,logistic_h0.25_geometric_s1,logistic,0.3501524494579712
2,2,logistic_h0.25_geometric_s4,logistic,0.35298000127020296
2,2,logistic_h0.5_mean_s1,logistic,0.36021481941300304
2,2,logistic_h0.5_mean_s4,logistic,0.37181024847592375
2,2,logistic_h0.5_geometric_s1,logistic,0.35863379315741883
2,2,logistic_h0.5_geometric_s4,logistic,0.37091947386916446
2,2,logistic_h0.75_mean_s1,logistic,0.3599205351765417
2,2,logistic_h0.75_mean_s4,logistic,0.3728526038405691
2,2,logistic_h0.75_geometric_s1,logistic,0.35871113163761126
2,2,logistic_h0.75_geometric_s4,logistic,0.37359569973741835
2,2,logistic_h1.0_mean_s1,logistic,0.3586636810230897
2,2,logistic_h1.0_mean_s4,logistic,0.37369780580996176
2,2,logistic_h1.0_geometric_s1,logistic,0.3586636810230897
2,2,logistic_h1.0_geometric_s4,logistic,0.37437347290219547
2,2,lda_h0.0_mean_s1,lda,0.3366512438655089
2,2,lda_h0.0_mean_s4,lda,0.3465283680483674
2,2,lda_h0.0_geometric_s1,lda,0.33660619418024545
2,2,lda_h0.0_geometric_s4,lda,0.3464366191900151
2,2,lda_h0.25_mean_s1,lda,0.35108028241491757
2,2,lda_h0.25_mean_s4,lda,0.3614083776812996
2,2,lda_h0.25_geometric_s1,lda,0.3500777074477568
2,2,lda_h0.25_geometric_s4,lda,0.36051510828562916
2,2,lda_h0.5_mean_s1,lda,0.3554500286946786
2,2,lda_h0.5_mean_s4,lda,0.3687375030458481
2,2,lda_h0.5_geometric_s1,lda,0.35529492056847883
2,2,lda_h0.5_geometric_s4,lda,0.36943292508021214
2,2,lda_h0.75_mean_s1,lda,0.3541868105234821
2,2,lda_h0.75_mean_s4,lda,0.3682691971249055
2,2,lda_h0.75_geometric_s1,lda,0.35436845302788367
2,2,lda_h0.75_geometric_s4,lda,0.3690427605185169
2,2,lda_h1.0_mean_s1,lda,0.3567847452195902
2,2,lda_h1.0_mean_s4,lda,0.3656806030649066
2,2,lda_h1.0_geometric_s1,lda,0.3567044455411904
2,2,lda_h1.0_geometric_s4,lda,0.3657941578035723
2,3,both_h0.0_mean_s1,both,0.358105300077414
2,3,both_h0.0_mean_s4,both,0.35971977181999226
2,3,both_h0.0_geometric_s1,both,0.3577514430356588
2,3,both_h0.0_geometric_s4,both,0.35971977181999226
2,3,both_h0.25_mean_s1,both,0.36975384317321514
2,3,both_h0.25_mean_s4,both,0.368136086810708
2,3,both_h0.25_geometric_s1,both,0.3694024970865283
2,3,both_h0.25_geometric_s4,both,0.36861856160780904
2,3,both_h0.5_mean_s1,both,0.3728849346542862
2,3,both_h0.5_mean_s4,both,0.3702520502654784
2,3,both_h0.5_geometric_s1,both,0.37309656808123615
