scope,reference,participant,delta
current,previous_MLP_current,P3,5.551115123125783e-17
current,previous_MLP_current,P30,-0.0015481447642251012
current,previous_MLP_current,P33,-0.0012957229675495952
current,previous_MLP_current,P34,0.005235137533274203
current,previous_MLP_current,P35,-0.002777777777777768
current,previous_MLP_current,P36,0.022630235526163167
current,previous_MLP_current,P4,-0.005446623093681879
current,previous_MLP_current,P40,0.01233305561867265
current,previous_MLP_current,P43,0.0022522522522523403
current,previous_MLP_current,P44,0.016668668308012613
current,previous_MLP_current,P46,-0.01211734693877542
current,previous_MLP_current,P48,0.020304568527918787
current,previous_MLP_current,P8,-0.001701222753854259
current,previous_MLP_current,P9,0.019040247678018596
current,previous_LSTM,P12,0.024619466554950398
current,previous_LSTM,P13,0.0008747697974217372
current,previous_LSTM,P18,-0.010615711252653925
current,previous_LSTM,P19,0.02815120545073374
current,previous_LSTM,P2,0.015181482286459436
current,previous_LSTM,P20,0.027096705976016322
current,previous_LSTM,P21,0.019519519519519524
current,previous_LSTM,P22,-0.013817941479589535
current,previous_LSTM,P24,-0.0338867231258681
current,previous_LSTM,P26,-0.037142857142857144
current,previous_LSTM,P27,-0.01877531071079458
current,previous_LSTM,P3,-0.01656314699792949
current,previous_LSTM,P30,0.003426222019186853
current,previous_LSTM,P33,0.029176699919733984
current,previous_LSTM,P34,-0.09891304347826091
current,previous_LSTM,P35,-0.05740740740740741
current,previous_LSTM,P36,-0.017415013342615082
current,previous_LSTM,P4,-0.02832244008714596
current,previous_LSTM,P40,0.018726804514125728
current,previous_LSTM,P43,-0.011349584878996621
current,previous_LSTM,P44,0.044006084989691496
current,previous_LSTM,P46,-0.06823979591836726
current,previous_LSTM,P48,-0.005076142131979711
current,previous_LSTM,P8,-0.002692336902863135
current,previous_LSTM,P9,0.02571379428964571
current,previous_BiLSTM,P12,0.026770004189358987
current,previous_BiLSTM,P13,-0.01664108860241459
current,previous_BiLSTM,P18,-0.03609341825902329
current,previous_BiLSTM,P19,-0.006322064989517817
current,previous_BiLSTM,P2,-0.02048829964500476
current,previous_BiLSTM,P20,0.07529108822212272
current,previous_BiLSTM,P21,0.00243146372178632
current,previous_BiLSTM,P22,-0.01584554375588121
current,previous_BiLSTM,P24,-0.009006586906842251
current,previous_BiLSTM,P26,-0.07619047619047614
current,previous_BiLSTM,P27,-0.031790252757994686
current,previous_BiLSTM,P3,-0.02380952380952378
current,previous_BiLSTM,P30,0.010354804324653633
current,previous_BiLSTM,P33,-0.008966861598440568
current,previous_BiLSTM,P34,-0.060980479148181
current,previous_BiLSTM,P35,5.551115123125783e-17
current,previous_BiLSTM,P36,0.03751595312681294
current,previous_BiLSTM,P4,0.01633986928104575
current,previous_BiLSTM,P40,0.04326668181473914
current,previous_BiLSTM,P43,-0.005065019770902124
current,previous_BiLSTM,P44,0.031130527032166344
current,previous_BiLSTM,P46,-0.11734693877551017
current,previous_BiLSTM,P48,-0.005076142131979711
current,previous_BiLSTM,P8,0.023555099870889384
current,previous_BiLSTM,P9,0.0032278408439399
