model_id,scope,seed,fold,participant,score
fold5__temporal__20260908,temporal,20260908,5,P26,0.3466666666666667
fold5__temporal__20260908,temporal,20260908,5,P34,0.26175687666370895
fold5__temporal__20260908,temporal,20260908,5,P44,0.38969955363397984
fold5__temporal__20260909,temporal,20260909,5,P13,0.34862901575608757
fold5__temporal__20260909,temporal,20260909,5,P21,0.36964060835028584
fold5__temporal__20260909,temporal,20260909,5,P26,0.3523809523809524
fold5__temporal__20260909,temporal,20260909,5,P34,0.2824755989352262
fold5__temporal__20260909,temporal,20260909,5,P44,0.3805620608899298
fold5__current__20260908,current,20260908,5,P13,0.3706875383670964
fold5__current__20260908,current,20260908,5,P21,0.3390777874648842
fold5__current__20260908,current,20260908,5,P26,0.34476190476190477
fold5__current__20260908,current,20260908,5,P34,0.2529281277728483
fold5__current__20260908,current,20260908,5,P44,0.3750875718088833
fold5__current__20260909,current,20260909,5,P13,0.3578064252097401
fold5__current__20260909,current,20260909,5,P21,0.344463818657367
fold5__current__20260909,current,20260909,5,P26,0.35047619047619044
fold5__current__20260909,current,20260909,5,P34,0.27058562555456966
fold5__current__20260909,current,20260909,5,P44,0.3787405672651574
fold5__fixed_logistic__20260908,fixed_logistic,20260908,5,P13,0.3748004910988336
fold5__fixed_logistic__20260908,fixed_logistic,20260908,5,P21,0.3413251961639059
fold5__fixed_logistic__20260908,fixed_logistic,20260908,5,P26,0.43238095238095237
fold5__fixed_logistic__20260908,fixed_logistic,20260908,5,P34,0.31672582076308786
fold5__fixed_logistic__20260908,fixed_logistic,20260908,5,P44,0.3563321923977662
fold5__fixed_logistic__20260909,fixed_logistic,20260909,5,P13,0.3748004910988336
fold5__fixed_logistic__20260909,fixed_logistic,20260909,5,P21,0.3413251961639059
fold5__fixed_logistic__20260909,fixed_logistic,20260909,5,P26,0.43238095238095237
fold5__fixed_logistic__20260909,fixed_logistic,20260909,5,P34,0.31672582076308786
fold5__fixed_logistic__20260909,fixed_logistic,20260909,5,P44,0.3563321923977662
