fold,inner,representation,estimator,smoothing,score,evaluation_participants,fit_participants
1,1,segment_16,hgb,1,0.36414020594307134,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,hgb,4,0.3642686263579487,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,hgb,8,0.3551565685861444,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,rbf,1,0.35114884483352204,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,rbf,4,0.34670556502106326,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,segment_16,rbf,8,0.34660702717972985,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,logistic_0.01,1,0.3572314756486433,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,logistic_0.01,4,0.3587194638092659,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,logistic_0.01,8,0.35291244754257756,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,logistic_0.1,1,0.35753956356571903,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,logistic_0.1,4,0.36073578848194215,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,logistic_0.1,8,0.34938714939154264,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,logistic_1,1,0.3571128151232406,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,logistic_1,4,0.35831200472338526,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,logistic_1,8,0.34605007472668664,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,hgb,1,0.3513900828608875,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,hgb,4,0.34158321348783477,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,hgb,8,0.34109647328644804,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,rbf,1,0.36708347983725786,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,rbf,4,0.35739428568233,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_4,rbf,8,0.3505117759192542,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,logistic_0.01,1,0.36075927347198167,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,logistic_0.01,4,0.3511378682790702,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,logistic_0.01,8,0.34177357750945375,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,logistic_0.1,1,0.3586584573676504,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,logistic_0.1,4,0.35671218949441147,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,logistic_0.1,8,0.3484068001749926,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,logistic_1,1,0.3617381060054628,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,logistic_1,4,0.3582083509906849,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,logistic_1,8,0.35063508088447704,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
1,1,recording_8,hgb,1,0.35816781697712524,P12|P18|P2|P34|P36|P40|P9,P13|P19|P20|P21|P26|P27|P3|P33|P35|P4|P44|P46|P8
