fold,inner,candidate_id,family,window,low,high,score,strength,scale
1,2,center_w64_s1.0_scaleTrue,center,64,,,0.35877470294353386,1.0,True
1,3,rank_w1_l0.200_h0.600,rank,1,0.2,0.6,0.33193687507079783,,
1,3,rank_w1_l0.200_h0.667,rank,1,0.2,0.6666666666666666,0.31734677055210225,,
1,3,rank_w1_l0.200_h0.800,rank,1,0.2,0.8,0.30222649986464434,,
1,3,rank_w1_l0.333_h0.600,rank,1,0.3333333333333333,0.6,0.3535618973354963,,
1,3,rank_w1_l0.333_h0.667,rank,1,0.3333333333333333,0.6666666666666666,0.3389717928168007,,
1,3,rank_w1_l0.333_h0.800,rank,1,0.3333333333333333,0.8,0.32385152212934276,,
1,3,rank_w1_l0.400_h0.600,rank,1,0.4,0.6,0.3615689008312264,,
1,3,rank_w1_l0.400_h0.667,rank,1,0.4,0.6666666666666666,0.34697879631253087,,
1,3,rank_w1_l0.400_h0.800,rank,1,0.4,0.8,0.331858525625073,,
1,3,center_w1_s0.25_scaleFalse,center,1,,,0.33608565779964084,0.25,False
1,3,center_w1_s0.25_scaleTrue,center,1,,,0.36036503319482,0.25,True
1,3,center_w1_s0.5_scaleFalse,center,1,,,0.3334617930638399,0.5,False
1,3,center_w1_s0.5_scaleTrue,center,1,,,0.3535991923840418,0.5,True
1,3,center_w1_s1.0_scaleFalse,center,1,,,0.33125258507552346,1.0,False
1,3,center_w1_s1.0_scaleTrue,center,1,,,0.3311855918406995,1.0,True
1,3,rank_w8_l0.200_h0.600,rank,8,0.2,0.6,0.3245499275862304,,
1,3,rank_w8_l0.200_h0.667,rank,8,0.2,0.6666666666666666,0.30341607983667984,,
1,3,rank_w8_l0.200_h0.800,rank,8,0.2,0.8,0.27378896322613944,,
1,3,rank_w8_l0.333_h0.600,rank,8,0.3333333333333333,0.6,0.3397495541734104,,
1,3,rank_w8_l0.333_h0.667,rank,8,0.3333333333333333,0.6666666666666666,0.31861570642385995,,
1,3,rank_w8_l0.333_h0.800,rank,8,0.3333333333333333,0.8,0.28898858981331954,,
1,3,rank_w8_l0.400_h0.600,rank,8,0.4,0.6,0.3482730744798663,,
1,3,rank_w8_l0.400_h0.667,rank,8,0.4,0.6666666666666666,0.3271392267303158,,
1,3,rank_w8_l0.400_h0.800,rank,8,0.4,0.8,0.29751211011977535,,
1,3,center_w8_s0.25_scaleFalse,center,8,,,0.2852065021439106,0.25,False
1,3,center_w8_s0.25_scaleTrue,center,8,,,0.3336917163231752,0.25,True
1,3,center_w8_s0.5_scaleFalse,center,8,,,0.29421271918876285,0.5,False
1,3,center_w8_s0.5_scaleTrue,center,8,,,0.3276514669562954,0.5,True
1,3,center_w8_s1.0_scaleFalse,center,8,,,0.3055989624264695,1.0,False
1,3,center_w8_s1.0_scaleTrue,center,8,,,0.30415115641897533,1.0,True
1,3,rank_w32_l0.200_h0.600,rank,32,0.2,0.6,0.33363162165394555,,
1,3,rank_w32_l0.200_h0.667,rank,32,0.2,0.6666666666666666,0.312783858564385,,
1,3,rank_w32_l0.200_h0.800,rank,32,0.2,0.8,0.28024889008218146,,
1,3,rank_w32_l0.333_h0.600,rank,32,0.3333333333333333,0.6,0.35305631013182165,,
1,3,rank_w32_l0.333_h0.667,rank,32,0.3333333333333333,0.6666666666666666,0.33220854704226116,,
1,3,rank_w32_l0.333_h0.800,rank,32,0.3333333333333333,0.8,0.2996735785600576,,
1,3,rank_w32_l0.400_h0.600,rank,32,0.4,0.6,0.3627734305101008,,
1,3,rank_w32_l0.400_h0.667,rank,32,0.4,0.6666666666666666,0.3419256674205403,,
1,3,rank_w32_l0.400_h0.800,rank,32,0.4,0.8,0.30939069893833676,,
1,3,center_w32_s0.25_scaleFalse,center,32,,,0.2929205721244011,0.25,False
1,3,center_w32_s0.25_scaleTrue,center,32,,,0.33358557132905536,0.25,True
1,3,center_w32_s0.5_scaleFalse,center,32,,,0.297773334332035,0.5,False
1,3,center_w32_s0.5_scaleTrue,center,32,,,0.32814136212547196,0.5,True
1,3,center_w32_s1.0_scaleFalse,center,32,,,0.31711406976146667,1.0,False
1,3,center_w32_s1.0_scaleTrue,center,32,,,0.3142004751031064,1.0,True
1,3,rank_w64_l0.200_h0.600,rank,64,0.2,0.6,0.33363162165394555,,
1,3,rank_w64_l0.200_h0.667,rank,64,0.2,0.6666666666666666,0.312783858564385,,
1,3,rank_w64_l0.200_h0.800,rank,64,0.2,0.8,0.28024889008218146,,
1,3,rank_w64_l0.333_h0.600,rank,64,0.3333333333333333,0.6,0.35305631013182165,,
1,3,rank_w64_l0.333_h0.667,rank,64,0.3333333333333333,0.6666666666666666,0.33220854704226116,,
1,3,rank_w64_l0.333_h0.800,rank,64,0.3333333333333333,0.8,0.2996735785600576,,
1,3,rank_w64_l0.400_h0.600,rank,64,0.4,0.6,0.3627734305101008,,
1,3,rank_w64_l0.400_h0.667,rank,64,0.4,0.6666666666666666,0.3419256674205403,,
1,3,rank_w64_l0.400_h0.800,rank,64,0.4,0.8,0.30939069893833676,,
1,3,center_w64_s0.25_scaleFalse,center,64,,,0.2929205721244011,0.25,False
1,3,center_w64_s0.25_scaleTrue,center,64,,,0.3338842571116121,0.25,True
1,3,center_w64_s0.5_scaleFalse,center,64,,,0.297773334332035,0.5,False
1,3,center_w64_s0.5_scaleTrue,center,64,,,0.32814136212547196,0.5,True
1,3,center_w64_s1.0_scaleFalse,center,64,,,0.31711406976146667,1.0,False
1,3,center_w64_s1.0_scaleTrue,center,64,,,0.3142004751031064,1.0,True
2,1,rank_w1_l0.200_h0.600,rank,1,0.2,0.6,0.31558809770660273,,
2,1,rank_w1_l0.200_h0.667,rank,1,0.2,0.6666666666666666,0.3185719263625451,,
2,1,rank_w1_l0.200_h0.800,rank,1,0.2,0.8,0.3289470856586275,,
2,1,rank_w1_l0.333_h0.600,rank,1,0.3333333333333333,0.6,0.3158980549689172,,
2,1,rank_w1_l0.333_h0.667,rank,1,0.3333333333333333,0.6666666666666666,0.31888188362485953,,
2,1,rank_w1_l0.333_h0.800,rank,1,0.3333333333333333,0.8,0.3292570429209419,,
2,1,rank_w1_l0.400_h0.600,rank,1,0.4,0.6,0.3176047582295603,,
2,1,rank_w1_l0.400_h0.667,rank,1,0.4,0.6666666666666666,0.32058858688550257,,
2,1,rank_w1_l0.400_h0.800,rank,1,0.4,0.8,0.33096374618158503,,
2,1,center_w1_s0.25_scaleFalse,center,1,,,0.3422937993530292,0.25,False
2,1,center_w1_s0.25_scaleTrue,center,1,,,0.3585310502960963,0.25,True
2,1,center_w1_s0.5_scaleFalse,center,1,,,0.34355217682807754,0.5,False
2,1,center_w1_s0.5_scaleTrue,center,1,,,0.36154973097452137,0.5,True
2,1,center_w1_s1.0_scaleFalse,center,1,,,0.34461556393343507,1.0,False
2,1,center_w1_s1.0_scaleTrue,center,1,,,0.34822487928851936,1.0,True
2,1,rank_w8_l0.200_h0.600,rank,8,0.2,0.6,0.3186639919083307,,
2,1,rank_w8_l0.200_h0.667,rank,8,0.2,0.6666666666666666,0.31791448601330097,,
2,1,rank_w8_l0.200_h0.800,rank,8,0.2,0.8,0.32402456864284984,,
2,1,rank_w8_l0.333_h0.600,rank,8,0.3333333333333333,0.6,0.31493607962028736,,
2,1,rank_w8_l0.333_h0.667,rank,8,0.3333333333333333,0.6666666666666666,0.3141865737252576,,
2,1,rank_w8_l0.333_h0.800,rank,8,0.3333333333333333,0.8,0.32029665635480653,,
2,1,rank_w8_l0.400_h0.600,rank,8,0.4,0.6,0.3180999898549312,,
2,1,rank_w8_l0.400_h0.667,rank,8,0.4,0.6666666666666666,0.3173504839599014,,
2,1,rank_w8_l0.400_h0.800,rank,8,0.4,0.8,0.3234605665894503,,
2,1,center_w8_s0.25_scaleFalse,center,8,,,0.33759165902063765,0.25,False
2,1,center_w8_s0.25_scaleTrue,center,8,,,0.3459230352938292,0.25,True
2,1,center_w8_s0.5_scaleFalse,center,8,,,0.33405234893339897,0.5,False
2,1,center_w8_s0.5_scaleTrue,center,8,,,0.35315318092559483,0.5,True
2,1,center_w8_s1.0_scaleFalse,center,8,,,0.3342161189100699,1.0,False
2,1,center_w8_s1.0_scaleTrue,center,8,,,0.3321410033198192,1.0,True
2,1,rank_w32_l0.200_h0.600,rank,32,0.2,0.6,0.3228784731673183,,
2,1,rank_w32_l0.200_h0.667,rank,32,0.2,0.6666666666666666,0.3227607275032341,,
2,1,rank_w32_l0.200_h0.800,rank,32,0.2,0.8,0.32820589356965435,,
2,1,rank_w32_l0.333_h0.600,rank,32,0.3333333333333333,0.6,0.31905443369500486,,
2,1,rank_w32_l0.333_h0.667,rank,32,0.3333333333333333,0.6666666666666666,0.3189366880309206,,
2,1,rank_w32_l0.333_h0.800,rank,32,0.3333333333333333,0.8,0.3243818540973409,,
2,1,rank_w32_l0.400_h0.600,rank,32,0.4,0.6,0.3231062462608203,,
2,1,rank_w32_l0.400_h0.667,rank,32,0.4,0.6666666666666666,0.32298850059673606,,
2,1,rank_w32_l0.400_h0.800,rank,32,0.4,0.8,0.3284336666631563,,
2,1,center_w32_s0.25_scaleFalse,center,32,,,0.3387738291346958,0.25,False
2,1,center_w32_s0.25_scaleTrue,center,32,,,0.36438032236110485,0.25,True
2,1,center_w32_s0.5_scaleFalse,center,32,,,0.33968702301927456,0.5,False
2,1,center_w32_s0.5_scaleTrue,center,32,,,0.36754448942212803,0.5,True
2,1,center_w32_s1.0_scaleFalse,center,32,,,0.3305014112933144,1.0,False
2,1,center_w32_s1.0_scaleTrue,center,32,,,0.3311120640664049,1.0,True
2,1,rank_w64_l0.200_h0.600,rank,64,0.2,0.6,0.3228784731673183,,
2,1,rank_w64_l0.200_h0.667,rank,64,0.2,0.6666666666666666,0.3227607275032341,,
2,1,rank_w64_l0.200_h0.800,rank,64,0.2,0.8,0.32820589356965435,,
2,1,rank_w64_l0.333_h0.600,rank,64,0.3333333333333333,0.6,0.31905443369500486,,
2,1,rank_w64_l0.333_h0.667,rank,64,0.3333333333333333,0.6666666666666666,0.3189366880309206,,
2,1,rank_w64_l0.333_h0.800,rank,64,0.3333333333333333,0.8,0.3243818540973409,,
2,1,rank_w64_l0.400_h0.600,rank,64,0.4,0.6,0.3231062462608203,,
2,1,rank_w64_l0.400_h0.667,rank,64,0.4,0.6666666666666666,0.32298850059673606,,
2,1,rank_w64_l0.400_h0.800,rank,64,0.4,0.8,0.3284336666631563,,
2,1,center_w64_s0.25_scaleFalse,center,64,,,0.33877222881719277,0.25,False
2,1,center_w64_s0.25_scaleTrue,center,64,,,0.36715045324162127,0.25,True
2,1,center_w64_s0.5_scaleFalse,center,64,,,0.33996707858229824,0.5,False
2,1,center_w64_s0.5_scaleTrue,center,64,,,0.3714205132824048,0.5,True
2,1,center_w64_s1.0_scaleFalse,center,64,,,0.3327194513524621,1.0,False
2,1,center_w64_s1.0_scaleTrue,center,64,,,0.33083360882088425,1.0,True
2,2,rank_w1_l0.200_h0.600,rank,1,0.2,0.6,0.3355791554606191,,
2,2,rank_w1_l0.200_h0.667,rank,1,0.2,0.6666666666666666,0.34072526703580763,,
2,2,rank_w1_l0.200_h0.800,rank,1,0.2,0.8,0.3303270259867132,,
2,2,rank_w1_l0.333_h0.600,rank,1,0.3333333333333333,0.6,0.3604407377924616,,
2,2,rank_w1_l0.333_h0.667,rank,1,0.3333333333333333,0.6666666666666666,0.3655868493676501,,
2,2,rank_w1_l0.333_h0.800,rank,1,0.3333333333333333,0.8,0.3551886083185557,,
2,2,rank_w1_l0.400_h0.600,rank,1,0.4,0.6,0.37130235345205825,,
