task,kind,model,subset,n_features,rows,participants,macro_score,delta_vs_full,delta_low,delta_high,balanced_accuracy,r2,mae,mse
attention_primary,regression,random_forest,EEG,9,4662,8,-1.0448186555229682,0.040951591861824566,0.015033003228551584,0.06813850085367786,,-0.0430475221539508,0.7562773911779316,1.0430475225408031
attention_primary,regression,random_forest,GSR,9,4662,8,-1.1435891335775,-0.057818886192707225,-0.06998572008178378,-0.04585736948685892,,-0.14280822862185483,0.7964265524793787,1.1428082290457071
attention_primary,regression,random_forest,top5_train,5,4662,8,-1.1097061730625803,-0.023935925677787545,-0.049001569687349575,6.647829133673716e-05,,-0.10638778122500514,0.7823313419833752,1.1063877816353496
attention_primary,regression,random_forest,top10_train,10,4662,8,-1.0877073620879303,-0.001937114703137538,-0.01980016714933339,0.01279950533153822,,-0.08251195316191895,0.7715487705537079,1.082511953563408
arousal_primary_6s,classification,logistic,full,25,4662,8,0.36611548488860296,0.0,0.0,0.0,0.362571241721164,,,
arousal_primary_6s,classification,logistic,EEG,9,4662,8,0.3421683628087717,-0.023947122079831275,-0.03888414426236325,-0.008026557043149802,0.3314317650896674,,,
arousal_primary_6s,classification,logistic,Eye,10,4662,8,0.35419319877562483,-0.011922286112978082,-0.03945287159904808,0.016504215417977707,0.3654995862419534,,,
arousal_primary_6s,classification,logistic,Pupil,6,4662,8,0.3691421378489448,0.0030266529603418107,-0.017632479439527615,0.02831840973374319,0.3712754642253899,,,
arousal_primary_6s,classification,logistic,top5_train,5,4662,8,0.3634506916461412,-0.0026647932424617507,-0.025173508458691717,0.018901754083377093,0.3640864163846538,,,
arousal_primary_6s,classification,logistic,top10_train,10,4662,8,0.35958871841104934,-0.006526766477553646,-0.019221619864938776,0.007001997763102473,0.35253793883590046,,,
arousal_primary_6s,classification,logistic,EEG_Eye,19,4662,8,0.34336613141817107,-0.022749353470431895,-0.05071683163139192,-0.00018919419434106283,0.338325758076819,,,
arousal_primary_6s,classification,logistic,EEG_Pupil,15,4662,8,0.365277847453218,-0.0008376374353849109,-0.014234378170781464,0.015184887803264272,0.3591323920898965,,,
arousal_primary_6s,classification,logistic,Eye_Pupil,16,4662,8,0.36865617333597844,0.0025406884473754554,-0.013587694701974427,0.021461210767409894,0.37528845396318183,,,
arousal_primary_6s,classification,random_forest,full,25,4662,8,0.3332106454141537,0.0,0.0,0.0,0.324337740489266,,,
arousal_primary_6s,classification,random_forest,EEG,9,4662,8,0.3425344939989666,0.009323848584812972,-0.010979062881678698,0.028104374689534955,0.32063143088735696,,,
arousal_primary_6s,classification,random_forest,Eye,10,4662,8,0.3291511420098699,-0.0040595034042838,-0.038221565340048655,0.02523660551178853,0.3399725817207244,,,
arousal_primary_6s,classification,random_forest,Pupil,6,4662,8,0.3542155334693491,0.021004888055195438,-0.011532337525100828,0.05342185126220461,0.356349061960078,,,
arousal_primary_6s,classification,random_forest,top5_train,5,4662,8,0.34129255524999225,0.008081909835838556,-0.024009370225910254,0.04030597183623208,0.3307176899677848,,,
arousal_primary_6s,classification,random_forest,top10_train,10,4662,8,0.32069085983917484,-0.012519785574978851,-0.03121150402099205,0.008768488645928205,0.3050898981209571,,,
arousal_primary_6s,classification,random_forest,EEG_Eye,19,4662,8,0.33538081000799624,0.0021701645938425745,-0.022620261269039904,0.025384947053719333,0.3156910085115258,,,
arousal_primary_6s,classification,random_forest,EEG_Pupil,15,4662,8,0.33408174601845586,0.0008711006043021149,-0.015368170459860135,0.017179504929683384,0.31843356898792696,,,
arousal_primary_6s,classification,random_forest,Eye_Pupil,16,4662,8,0.3509955983922262,0.017784952978072505,-0.002454595531064604,0.037351103195295186,0.35264695898205817,,,
arousal_primary_6s,regression,ridge,full,25,4662,8,-0.9939618957039973,0.0,0.0,0.0,,0.0054268447700625,0.6647032667689019,0.994573154853033
arousal_primary_6s,regression,ridge,EEG,9,4662,8,-0.9990491994215781,-0.005087303717580732,-0.009533671754146265,-0.0004642053971927243,,0.0008104078304815854,0.6692702553233166,0.9991895917908645
arousal_primary_6s,regression,ridge,Eye,10,4662,8,-0.9969768998202642,-0.0030150041162668867,-0.01007307672876935,0.004943872964437861,,0.0026798287902786155,0.6644798228331665,0.9973201708317759
arousal_primary_6s,regression,ridge,Pupil,6,4662,8,-0.9972688170272006,-0.0033069213232032185,-0.008840852699836789,0.002185827597967636,,0.002285935214153212,0.6652249965035307,0.9977140644077521
arousal_primary_6s,regression,ridge,top5_train,5,4662,8,-0.999704224125155,-0.005742328421157586,-0.010257562361257936,-0.0018047925709202336,,-6.780222199465058e-05,0.668123868120116,1.000067801843008
arousal_primary_6s,regression,ridge,top10_train,10,4662,8,-0.9976349255733421,-0.0036730298693446878,-0.00737552085514471,3.683136995769054e-05,,0.0019167708761269608,0.6679724099972943,0.9980832287456385
arousal_primary_6s,regression,ridge,EEG_Eye,19,4662,8,-0.9963813981167129,-0.002419502412715574,-0.005926668323824976,0.0008695247006946212,,0.003186969674993323,0.6660253683156976,0.9968130299472534
arousal_primary_6s,regression,ridge,EEG_Pupil,15,4662,8,-0.9971475213730175,-0.0031856256690201284,-0.007319156087549616,0.00040760927248169066,,0.002431699447993041,0.665456399636275,0.9975683001739675
arousal_primary_6s,regression,ridge,Eye_Pupil,16,4662,8,-0.9936356439327338,0.0003262517712635943,-0.004122414847641975,0.006383960734130833,,0.005766272967978048,0.6634076451105048,0.9942337266552462
arousal_primary_6s,regression,random_forest,full,25,4662,8,-1.029975304647635,0.0,0.0,0.0,,-0.0352220966456096,0.6931701910714176,1.0352220962533007
