task,kind,model,feature,importance,bootstrap_low,bootstrap_high,repeat_sd,positive_participants,participants,pooled_importance,shifted_fraction,metric
attention_primary,classification,logistic,gsr_min_z,0.007117796849778544,-0.002220126792685317,0.01742570092099953,0.0010958753819809988,5,8,0.005194744285185371,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,gsr_max_z,0.00031315166652762173,-0.0008561066246518164,0.001410174559284333,0.001034043423523542,4,8,0.0003431316560644049,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,gsr_tonic_mean_z,-0.0005192229885897764,-0.002902000610876014,0.0016252828556493995,0.0012041890669316402,5,8,-0.0004707145580519434,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,gsr_phasic_mean_z,0.001948572419129387,-0.0021215198311424948,0.006064238154536299,0.0019714581988239605,6,8,0.0011132639317659788,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,gsr_slope_z_s,0.0016063710343992284,-0.0034095704987566655,0.006888296257986001,0.0019520954926920875,5,8,0.000896887523443296,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,gsr_scr_count,-0.001332228626576063,-0.005873317350525006,0.0023128472446389027,0.001143521373236212,2,8,-0.0012189277904776808,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,gsr_scr_mean_prominence_z,0.00012609179861112831,-7.503103184134942e-05,0.0003367007423231762,0.00047698498867728746,3,8,0.00010748469805241801,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,modalidad:EEG,0.001202068966311252,-0.006880701359711443,0.00980521573023861,0.004058200885441125,3,8,-0.00017506266722064345,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,logistic,modalidad:GSR,-0.00030964727200287,-0.009797926349233259,0.007962602510810655,0.003777079632249699,6,8,-0.0006683170092327495,0.95002145002145,delta_balanced_accuracy
attention_primary,classification,random_forest,eeg_rms_uv,0.006883671229601021,0.0022489788396824017,0.01125677601730573,0.0011953340914271418,7,8,0.006726732294130689,0.95002145002145,delta_balanced_accuracy
